id,filepath,site,label,file,max_detection_conf,category,conf,bbox,bbox_true
ZJ000079,train_features/ZJ000079.jpg,S0008,bird,,,,,,False
ZJ000080,train_features/ZJ000080.jpg,S0080,monkey_prosimian,ZJ000080.jpg,0.686,animal,0.686,"[0.5125, 0.2416, 0.2937, 0.6833]",True
ZJ000081,train_features/ZJ000081.jpg,S0089,bird,,,,,,False
ZJ000082,train_features/ZJ000082.jpg,S0110,blank,,,,,,False
ZJ000083,train_features/ZJ000083.jpg,S0127,civet_genet,,,,,,False
ZJ000084,train_features/ZJ000084.jpg,S0159,blank,,,,,,False
ZJ000085,train_features/ZJ000085.jpg,S0051,civet_genet,ZJ000085.jpg,0.934,animal,0.934,"[0, 0.5074, 0.427, 0.2722]",True
ZJ000086,train_features/ZJ000086.jpg,S0112,leopard,ZJ000086.jpg,0.901,animal,0.901,"[0.4874, 0.2611, 0.5124, 0.6916]",True
ZJ000087,train_features/ZJ000087.jpg,S0108,bird,ZJ000087.jpg,0.793,animal,0.793,"[0.04531, 0.6583, 0.1062, 0.1805]",True
ZJ000088,train_features/ZJ000088.jpg,S0074,antelope_duiker,,,,,,False
ZJ000089,train_features/ZJ000089.jpg,S0157,monkey_prosimian,,,,,,False
ZJ000090,train_features/ZJ000090.jpg,S0155,leopard,,,,,,False
ZJ000091,train_features/ZJ000091.jpg,S0122,blank,,,,,,False
ZJ000092,train_features/ZJ000092.jpg,S0089,bird,,,,,,False
ZJ000093,train_features/ZJ000093.jpg,S0095,civet_genet,ZJ000093.jpg,0.951,animal,0.951,"[0.3895, 0.6314, 0.2364, 0.337]",True
ZJ000094,train_features/ZJ000094.jpg,S0123,antelope_duiker,ZJ000094.jpg,0.922,animal,0.922,"[0.5484, 0.6694, 0.1421, 0.2388]",True
ZJ000095,train_features/ZJ000095.jpg,S0071,rodent,ZJ000095.jpg,0.666,animal,0.666,"[0.5395, 0.6759, 0.1322, 0.2925]",True
ZJ000096,train_features/ZJ000096.jpg,S0014,leopard,,,,,,False
ZJ000097,train_features/ZJ000097.jpg,S0001,leopard,,,,,,False
ZJ000098,train_features/ZJ000098.jpg,S0075,antelope_duiker,ZJ000098.jpg,0.836,animal,0.836,"[0.4843, 0.5083, 0.1343, 0.1666]",True
ZJ000099,train_features/ZJ000099.jpg,S0023,leopard,,,,,,False
ZJ000100,train_features/ZJ000100.jpg,S0008,blank,ZJ000100.jpg,0.704,animal,0.704,"[0, 0.6972, 0.2343, 0.2555]",True
ZJ000101,train_features/ZJ000101.jpg,S0149,antelope_duiker,ZJ000101.jpg,0.924,animal,0.924,"[0.4406, 0.3527, 0.3031, 0.3888]",True
ZJ000102,train_features/ZJ000102.jpg,S0185,leopard,ZJ000102.jpg,0.843,animal,0.843,"[0, 0.09722, 1.0, 0.8999]",True
ZJ000103,train_features/ZJ000103.jpg,S0035,monkey_prosimian,ZJ000103.jpg,0.879,animal,0.879,"[0.1812, 0.4555, 0.339, 0.4138]",True
ZJ000104,train_features/ZJ000104.jpg,S0185,blank,,,,,,False
ZJ000105,train_features/ZJ000105.jpg,S0069,monkey_prosimian,,,,,,False
ZJ000106,train_features/ZJ000106.jpg,S0043,leopard,ZJ000106.jpg,0.924,animal,0.924,"[0.7468, 0, 0.2531, 1.0]",True
ZJ000107,train_features/ZJ000107.jpg,S0059,blank,,,,,,False
ZJ000108,train_features/ZJ000108.jpg,S0043,leopard,ZJ000108.jpg,0.884,animal,0.884,"[0.7437, 0, 0.2562, 1.0]",True
ZJ000109,train_features/ZJ000109.jpg,S0159,hog,,,,,,False
ZJ000110,train_features/ZJ000110.jpg,S0001,blank,,,,,,False
ZJ000111,train_features/ZJ000111.jpg,S0088,antelope_duiker,ZJ000111.jpg,0.908,animal,0.908,"[0.5203, 0.4499, 0.1156, 0.25]",True
ZJ000112,train_features/ZJ000112.jpg,S0130,rodent,,,,,,False
ZJ000113,train_features/ZJ000113.jpg,S0060,civet_genet,ZJ000113.jpg,0.941,animal,0.941,"[0, 0.7277, 0.1791, 0.2407]",True
ZJ000114,train_features/ZJ000114.jpg,S0088,bird,ZJ000114.jpg,0.745,animal,0.745,"[0.3046, 0.5671, 0.05468, 0.182]",True
ZJ000115,train_features/ZJ000115.jpg,S0186,civet_genet,ZJ000115.jpg,0.879,animal,0.879,"[0, 0.7296, 0.3447, 0.2388]",True
ZJ000116,train_features/ZJ000116.jpg,S0124,civet_genet,ZJ000116.jpg,0.937,animal,0.937,"[0.5166, 0.7629, 0.4822, 0.2055]",True
ZJ000117,train_features/ZJ000117.jpg,S0009,monkey_prosimian,ZJ000117.jpg,0.715,animal,0.715,"[0.4781, 0.4611, 0.09218, 0.1194]",True
ZJ000118,train_features/ZJ000118.jpg,S0130,rodent,,,,,,False
ZJ000119,train_features/ZJ000119.jpg,S0023,leopard,,,,,,False
ZJ000120,train_features/ZJ000120.jpg,S0070,monkey_prosimian,,,,,,False
ZJ000121,train_features/ZJ000121.jpg,S0069,monkey_prosimian,,,,,,False
ZJ000122,train_features/ZJ000122.jpg,S0009,rodent,,,,,,False
ZJ000123,train_features/ZJ000123.jpg,S0021,antelope_duiker,ZJ000123.jpg,0.818,animal,0.818,"[0.3562, 0.4638, 0.2781, 0.3305]",True
ZJ000124,train_features/ZJ000124.jpg,S0108,antelope_duiker,ZJ000124.jpg,0.701,animal,0.701,"[0.03281, 0.35, 0.1421, 0.4277]",True
ZJ000125,train_features/ZJ000125.jpg,S0008,bird,ZJ000125.jpg,0.717,animal,0.717,"[0, 0.6722, 0.2109, 0.2805]",True
ZJ000126,train_features/ZJ000126.jpg,S0043,rodent,,,,,,False
ZJ000127,train_features/ZJ000127.jpg,S0031,antelope_duiker,ZJ000127.jpg,0.905,animal,0.905,"[0.3828, 0.5527, 0.2171, 0.2944]",True
ZJ000128,train_features/ZJ000128.jpg,S0046,leopard,,,,,,False
ZJ000129,train_features/ZJ000129.jpg,S0136,bird,,,,,,False
ZJ000130,train_features/ZJ000130.jpg,S0174,rodent,ZJ000130.jpg,0.77,animal,0.77,"[0.7687, 0.6027, 0.2312, 0.2055]",True
ZJ000131,train_features/ZJ000131.jpg,S0056,antelope_duiker,,,,,,False
ZJ000132,train_features/ZJ000132.jpg,S0060,civet_genet,ZJ000132.jpg,0.676,animal,0.676,"[0.5781, 0.6555, 0.2479, 0.2388]",True
ZJ000133,train_features/ZJ000133.jpg,S0060,civet_genet,ZJ000133.jpg,0.835,animal,0.835,"[0.1656, 0.5981, 0.1958, 0.1777]",True
ZJ000134,train_features/ZJ000134.jpg,S0019,hog,ZJ000134.jpg,0.896,animal,0.896,"[0, 0.1203, 1.0, 0.8314]",True
ZJ000135,train_features/ZJ000135.jpg,S0013,civet_genet,ZJ000135.jpg,0.882,animal,0.882,"[0.5578, 0.7583, 0.3421, 0.2416]",True
ZJ000136,train_features/ZJ000136.jpg,S0020,civet_genet,,,,,,False
ZJ000137,train_features/ZJ000137.jpg,S0013,antelope_duiker,,,,,,False
ZJ000138,train_features/ZJ000138.jpg,S0043,leopard,ZJ000138.jpg,0.723,animal,0.723,"[0.5906, 0, 0.4093, 1.0]",True
ZJ000139,train_features/ZJ000139.jpg,S0060,civet_genet,,,,,,False
ZJ000140,train_features/ZJ000140.jpg,S0063,antelope_duiker,ZJ000140.jpg,0.707,animal,0.707,"[0.6687, 0.5185, 0.05729, 0.1574]",True
ZJ000141,train_features/ZJ000141.jpg,S0005,blank,,,,,,False
ZJ000142,train_features/ZJ000142.jpg,S0022,blank,,,,,,False
ZJ000143,train_features/ZJ000143.jpg,S0120,rodent,,,,,,False
ZJ000144,train_features/ZJ000144.jpg,S0013,blank,,,,,,False
ZJ000145,train_features/ZJ000145.jpg,S0123,antelope_duiker,ZJ000145.jpg,0.685,animal,0.685,"[0.3078, 0.7166, 0.2578, 0.2361]",True
ZJ000146,train_features/ZJ000146.jpg,S0120,rodent,ZJ000146.jpg,0.739,animal,0.739,"[0.1052, 0.5277, 0.2291, 0.224]",True
ZJ000147,train_features/ZJ000147.jpg,S0059,rodent,,,,,,False
ZJ000148,train_features/ZJ000148.jpg,S0026,rodent,,,,,,False
ZJ000149,train_features/ZJ000149.jpg,S0030,antelope_duiker,ZJ000149.jpg,0.877,animal,0.877,"[0.8718, 0.3333, 0.1145, 0.25]",True
ZJ000150,train_features/ZJ000150.jpg,S0184,antelope_duiker,,,,,,False
ZJ000151,train_features/ZJ000151.jpg,S0059,civet_genet,ZJ000151.jpg,0.844,animal,0.844,"[0.5562, 0.5574, 0.2072, 0.3444]",True
ZJ000152,train_features/ZJ000152.jpg,S0063,antelope_duiker,,,,,,False
ZJ000153,train_features/ZJ000153.jpg,S0008,rodent,,,,,,False
ZJ000154,train_features/ZJ000154.jpg,S0009,bird,ZJ000154.jpg,0.795,animal,0.795,"[0.8796, 0.825, 0.1203, 0.1277]",True
ZJ000155,train_features/ZJ000155.jpg,S0136,blank,,,,,,False
ZJ000156,train_features/ZJ000156.jpg,S0038,leopard,ZJ000156.jpg,0.843,animal,0.843,"[0, 0.3844, 1.0, 0.6116]",True
ZJ000157,train_features/ZJ000157.jpg,S0158,antelope_duiker,ZJ000157.jpg,0.953,animal,0.953,"[0, 0, 0.7984, 0.9527]",True
ZJ000158,train_features/ZJ000158.jpg,S0060,civet_genet,,,,,,False
ZJ000159,train_features/ZJ000159.jpg,S0156,leopard,,,,,,False
ZJ000160,train_features/ZJ000160.jpg,S0071,rodent,ZJ000160.jpg,0.769,animal,0.769,"[0.127, 0.4925, 0.1291, 0.09629]",True
ZJ000161,train_features/ZJ000161.jpg,S0022,leopard,,,,,,False
ZJ000162,train_features/ZJ000162.jpg,S0071,bird,ZJ000162.jpg,0.801,animal,0.801,"[0.6656, 0.4407, 0.1416, 0.1537]",True
ZJ000163,train_features/ZJ000163.jpg,S0004,bird,ZJ000163.jpg,0.801,animal,0.801,"[0.5828, 0.8833, 0.125, 0.07222]",True
ZJ000164,train_features/ZJ000164.jpg,S0077,monkey_prosimian,,,,,,False
ZJ000165,train_features/ZJ000165.jpg,S0001,blank,,,,,,False
ZJ000166,train_features/ZJ000166.jpg,S0043,leopard,ZJ000166.jpg,0.944,animal,0.944,"[0.4421, 0.3223, 0.25, 0.6776]",True
ZJ000167,train_features/ZJ000167.jpg,S0016,bird,ZJ000167.jpg,0.814,animal,0.814,"[0.3083, 0.4462, 0.1052, 0.5055]",True
ZJ000168,train_features/ZJ000168.jpg,S0008,blank,,,,,,False
ZJ000169,train_features/ZJ000169.jpg,S0036,rodent,,,,,,False
ZJ000170,train_features/ZJ000170.jpg,S0063,antelope_duiker,ZJ000170.jpg,0.964,animal,0.964,"[0.4989, 0.6166, 0.501, 0.3499]",True
ZJ000171,train_features/ZJ000171.jpg,S0009,monkey_prosimian,ZJ000171.jpg,0.779,animal,0.779,"[0.1359, 0.5361, 0.075, 0.2027]",True
ZJ000172,train_features/ZJ000172.jpg,S0036,blank,,,,,,False
ZJ000173,train_features/ZJ000173.jpg,S0026,monkey_prosimian,ZJ000173.jpg,0.694,animal,0.694,"[0.7062, 0.3638, 0.2937, 0.5166]",True
ZJ000174,train_features/ZJ000174.jpg,S0080,bird,,,,,,False
ZJ000175,train_features/ZJ000175.jpg,S0043,leopard,ZJ000175.jpg,0.894,animal,0.894,"[0.8218, 0.08955, 0.1781, 0.9104]",True
ZJ000176,train_features/ZJ000176.jpg,S0081,civet_genet,,,,,,False
ZJ000177,train_features/ZJ000177.jpg,S0009,monkey_prosimian,ZJ000177.jpg,0.815,animal,0.815,"[0.5218, 0.475, 0.06718, 0.125]",True
ZJ000178,train_features/ZJ000178.jpg,S0184,civet_genet,ZJ000178.jpg,0.807,animal,0.807,"[0.1906, 0.55, 0.2458, 0.2814]",True
ZJ000179,train_features/ZJ000179.jpg,S0084,leopard,ZJ000179.jpg,0.971,animal,0.971,"[0, 0, 0.376, 0.9685]",True
ZJ000180,train_features/ZJ000180.jpg,S0027,blank,,,,,,False
ZJ000181,train_features/ZJ000181.jpg,S0042,blank,,,,,,False
ZJ000182,train_features/ZJ000182.jpg,S0021,monkey_prosimian,ZJ000182.jpg,0.834,animal,0.834,"[0.6375, 0.3916, 0.3625, 0.4499]",True
ZJ000183,train_features/ZJ000183.jpg,S0179,monkey_prosimian,,,,,,False
ZJ000184,train_features/ZJ000184.jpg,S0059,rodent,ZJ000184.jpg,0.634,animal,0.634,"[0.7437, 0.874, 0.1489, 0.09444]",True
ZJ000185,train_features/ZJ000185.jpg,S0031,leopard,,,,,,False
ZJ000186,train_features/ZJ000186.jpg,S0070,civet_genet,,,,,,False
ZJ000187,train_features/ZJ000187.jpg,S0023,antelope_duiker,,,,,,False
ZJ000188,train_features/ZJ000188.jpg,S0053,antelope_duiker,ZJ000188.jpg,0.981,animal,0.981,"[0.002083, 0.3666, 0.4041, 0.6018]",True
ZJ000189,train_features/ZJ000189.jpg,S0096,leopard,ZJ000189.jpg,0.716,animal,0.716,"[0, 0.005555, 1.0, 0.9888]",True
ZJ000190,train_features/ZJ000190.jpg,S0009,bird,ZJ000190.jpg,0.677,animal,0.677,"[0.7468, 0.8138, 0.1656, 0.1416]",True
ZJ000191,train_features/ZJ000191.jpg,S0069,antelope_duiker,,,,,,False
ZJ000192,train_features/ZJ000192.jpg,S0095,bird,ZJ000192.jpg,0.935,animal,0.935,"[0.03749, 0.4555, 0.1989, 0.4611]",True
ZJ000193,train_features/ZJ000193.jpg,S0059,blank,,,,,,False
ZJ000194,train_features/ZJ000194.jpg,S0036,monkey_prosimian,,,,,,False
ZJ000195,train_features/ZJ000195.jpg,S0022,blank,,,,,,False
ZJ000196,train_features/ZJ000196.jpg,S0110,blank,,,,,,False
ZJ000197,train_features/ZJ000197.jpg,S0123,antelope_duiker,ZJ000197.jpg,0.913,animal,0.913,"[0.2328, 0.6361, 0.1656, 0.1805]",True
ZJ000198,train_features/ZJ000198.jpg,S0137,rodent,,,,,,False
ZJ000199,train_features/ZJ000199.jpg,S0163,monkey_prosimian,,,,,,False
ZJ000200,train_features/ZJ000200.jpg,S0073,blank,,,,,,False
ZJ000201,train_features/ZJ000201.jpg,S0121,monkey_prosimian,,,,,,False
ZJ000202,train_features/ZJ000202.jpg,S0071,civet_genet,ZJ000202.jpg,0.931,animal,0.931,"[0.2906, 0.6129, 0.4729, 0.3037]",True
ZJ000203,train_features/ZJ000203.jpg,S0063,rodent,,,,,,False
ZJ000204,train_features/ZJ000204.jpg,S0063,blank,,,,,,False
ZJ000205,train_features/ZJ000205.jpg,S0088,rodent,,,,,,False
ZJ000206,train_features/ZJ000206.jpg,S0062,rodent,ZJ000206.jpg,0.853,animal,0.853,"[0.6906, 0.5185, 0.1791, 0.1037]",True
ZJ000207,train_features/ZJ000207.jpg,S0029,antelope_duiker,ZJ000207.jpg,0.637,animal,0.637,"[0.8781, 0.6685, 0.1218, 0.1722]",True
ZJ000208,train_features/ZJ000208.jpg,S0009,bird,,,,,,False
ZJ000209,train_features/ZJ000209.jpg,S0071,rodent,,,,,,False
ZJ000210,train_features/ZJ000210.jpg,S0029,antelope_duiker,ZJ000210.jpg,0.895,animal,0.895,"[0.8729, 0.8518, 0.08124, 0.1166]",True
ZJ000211,train_features/ZJ000211.jpg,S0136,antelope_duiker,,,,,,False
ZJ000212,train_features/ZJ000212.jpg,S0069,rodent,,,,,,False
ZJ000213,train_features/ZJ000213.jpg,S0153,leopard,,,,,,False
ZJ000214,train_features/ZJ000214.jpg,S0069,monkey_prosimian,ZJ000214.jpg,0.849,animal,0.849,"[0.5604, 0, 0.1322, 0.9666]",True
ZJ000215,train_features/ZJ000215.jpg,S0025,monkey_prosimian,,,,,,False
ZJ000216,train_features/ZJ000216.jpg,S0061,antelope_duiker,,,,,,False
ZJ000217,train_features/ZJ000217.jpg,S0002,rodent,,,,,,False
ZJ000218,train_features/ZJ000218.jpg,S0060,civet_genet,,,,,,False
ZJ000219,train_features/ZJ000219.jpg,S0080,rodent,,,,,,False
ZJ000220,train_features/ZJ000220.jpg,S0144,hog,ZJ000220.jpg,0.87,animal,0.87,"[0.1114, 0.4407, 0.1395, 0.3572]",True
ZJ000221,train_features/ZJ000221.jpg,S0032,blank,,,,,,False
ZJ000222,train_features/ZJ000222.jpg,S0060,antelope_duiker,ZJ000222.jpg,0.917,animal,0.917,"[0.5739, 0.4777, 0.301, 0.4166]",True
ZJ000223,train_features/ZJ000223.jpg,S0147,rodent,,,,,,False
ZJ000224,train_features/ZJ000224.jpg,S0023,civet_genet,,,,,,False
ZJ000225,train_features/ZJ000225.jpg,S0120,rodent,,,,,,False
ZJ000226,train_features/ZJ000226.jpg,S0031,rodent,,,,,,False
ZJ000227,train_features/ZJ000227.jpg,S0013,monkey_prosimian,ZJ000227.jpg,0.7,animal,0.7,"[0.2624, 0.5027, 0.3234, 0.3527]",True
ZJ000228,train_features/ZJ000228.jpg,S0104,antelope_duiker,ZJ000228.jpg,0.642,animal,0.642,"[0.3531, 0.6138, 0.09218, 0.2888]",True
ZJ000229,train_features/ZJ000229.jpg,S0083,leopard,,,,,,False
ZJ000230,train_features/ZJ000230.jpg,S0063,monkey_prosimian,ZJ000230.jpg,0.954,animal,0.954,"[0.1499, 0.4833, 0.3416, 0.3481]",True
ZJ000231,train_features/ZJ000231.jpg,S0022,bird,ZJ000231.jpg,0.883,animal,0.883,"[0.875, 0.5305, 0.125, 0.4694]",True
ZJ000232,train_features/ZJ000232.jpg,S0175,blank,,,,,,False
ZJ000233,train_features/ZJ000233.jpg,S0035,monkey_prosimian,,,,,,False
ZJ000234,train_features/ZJ000234.jpg,S0186,civet_genet,ZJ000234.jpg,0.698,animal,0.698,"[0.7958, 0.6444, 0.1927, 0.2759]",True
ZJ000235,train_features/ZJ000235.jpg,S0022,leopard,,,,,,False
ZJ000236,train_features/ZJ000236.jpg,S0014,leopard,,,,,,False
ZJ000237,train_features/ZJ000237.jpg,S0031,leopard,,,,,,False
