id,filepath,site,split,conf,bbox,bbox_normalized,bbox_true
ZJ000046,train_features/ZJ000046.jpg,S0022,0.0,0.527,"(244, 4, 112, 144)","[0, 0.6666, 0.2374, 0.3333]",True
ZJ000047,train_features/ZJ000047.jpg,S0089,3.0,0.209,"(287, 150, 52, 77)","[0.2281, 0.7861, 0.1328, 0.1666]",True
ZJ000048,train_features/ZJ000048.jpg,S0025,4.0,0.935,"(65, 113, 290, 229)","[0.1703, 0.1694, 0.3703, 0.8277]",True
ZJ000049,train_features/ZJ000049.jpg,S0063,1.0,0.953,"(245, 523, 191, 121)","[0.5406, 0.4462, 0.1343, 0.3685]",True
ZJ000050,train_features/ZJ000050.jpg,S0120,2.0,0.748,"(271, 57, 89, 132)","[0.0552, 0.4944, 0.1458, 0.1796]",True
ZJ000051,train_features/ZJ000051.jpg,S0042,3.0,,,,False
ZJ000052,train_features/ZJ000052.jpg,S0170,1.0,0.786,"(129, 138, 85, 123)","[0.3722, 0.5208, 0.3638, 0.3874]",True
ZJ000053,train_features/ZJ000053.jpg,S0071,1.0,,,,False
ZJ000054,train_features/ZJ000054.jpg,S0063,1.0,0.358,"(425, 619, 47, 111)","[0.6406, 0.7796, 0.1239, 0.1018]",True
ZJ000055,train_features/ZJ000055.jpg,S0021,2.0,0.116,"(163, 332, 59, 57)","[0.5124, 0.4416, 0.1015, 0.1861]",True
ZJ000056,train_features/ZJ000056.jpg,S0060,2.0,0.901,"(297, 396, 119, 220)","[0.4083, 0.5425, 0.2374, 0.2351]",True
ZJ000057,train_features/ZJ000057.jpg,S0184,0.0,0.735,"(235, 215, 62, 69)","[0.2197, 0.4277, 0.0802, 0.1296]",True
ZJ000058,train_features/ZJ000058.jpg,S0027,3.0,0.296,"(164, 469, 159, 167)","[0.7265, 0.4444, 0.2734, 0.4638]",True
ZJ000059,train_features/ZJ000059.jpg,S0026,0.0,0.693,"(124, 4, 87, 22)","[0, 0.3333, 0.04687, 0.2638]",True
ZJ000060,train_features/ZJ000060.jpg,S0004,2.0,0.307,"(290, 556, 33, 56)","[0.8625, 0.7944, 0.1, 0.1138]",True
ZJ000061,train_features/ZJ000061.jpg,S0022,0.0,0.0275,"(268, 455, 29, 67)","[0.7046, 0.7333, 0.1171, 0.1027]",True
ZJ000062,train_features/ZJ000062.jpg,S0120,2.0,,,,False
ZJ000063,train_features/ZJ000063.jpg,S0024,2.0,0.363,"(5, 330, 325, 306)","[0.5093, 0.002985, 0.4906, 0.994]",True
ZJ000064,train_features/ZJ000064.jpg,S0035,3.0,0.113,"(4, 606, 348, 30)","[0.9406, 0, 0.05937, 0.9888]",True
ZJ000065,train_features/ZJ000065.jpg,S0063,1.0,0.968,"(186, 738, 333, 188)","[0.7645, 0.337, 0.2041, 0.6314]",True
ZJ000066,train_features/ZJ000066.jpg,S0019,0.0,0.845,"(405, 99, 115, 601)","[0.09895, 0.7425, 0.6343, 0.2277]",True
ZJ000067,train_features/ZJ000067.jpg,S0018,3.0,0.905,"(348, 689, 147, 90)","[0.7135, 0.637, 0.102, 0.287]",True
ZJ000068,train_features/ZJ000068.jpg,S0069,3.0,0.726,"(459, 351, 61, 65)","[0.3614, 0.8425, 0.07604, 0.1277]",True
ZJ000069,train_features/ZJ000069.jpg,S0060,2.0,0.709,"(277, 50, 186, 384)","[0.04791, 0.5055, 0.4083, 0.3592]",True
ZJ000070,train_features/ZJ000070.jpg,S0008,4.0,0.0314,"(254, 4, 85, 128)","[0, 0.6944, 0.2125, 0.2583]",True
ZJ000071,train_features/ZJ000071.jpg,S0081,1.0,0.83,"(418, 4, 99, 55)","[0, 0.7666, 0.06562, 0.1981]",True
ZJ000072,train_features/ZJ000072.jpg,S0014,4.0,0.872,"(119, 278, 220, 256)","[0.4281, 0.3194, 0.4124, 0.6333]",True
ZJ000073,train_features/ZJ000073.jpg,S0060,2.0,0.49,"(317, 307, 74, 170)","[0.3156, 0.5796, 0.1854, 0.1518]",True
ZJ000074,train_features/ZJ000074.jpg,S0008,4.0,0.754,"(180, 212, 87, 44)","[0.3249, 0.4888, 0.08124, 0.2638]",True
ZJ000075,train_features/ZJ000075.jpg,S0060,2.0,0.718,"(313, 712, 88, 244)","[0.7374, 0.5722, 0.2624, 0.1777]",True
ZJ000076,train_features/ZJ000076.jpg,S0120,2.0,0.914,"(184, 649, 59, 100)","[0.6718, 0.3333, 0.1124, 0.124]",True
ZJ000077,train_features/ZJ000077.jpg,S0069,3.0,0.124,"(393, 488, 126, 324)","[0.5041, 0.7203, 0.3458, 0.2481]",True
ZJ000078,train_features/ZJ000078.jpg,S0125,2.0,0.901,"(5, 244, 514, 653)","[0.25, 0.001851, 0.6885, 0.9666]",True
ZJ000079,train_features/ZJ000079.jpg,S0008,4.0,0.256,"(4, 5, 335, 563)","[0.001562, 0, 0.8921, 0.9527]",True
ZJ000080,train_features/ZJ000080.jpg,S0080,1.0,0.686,"(33, 86, 74, 39)","[0.5125, 0.2416, 0.2937, 0.6833]",True
ZJ000081,train_features/ZJ000081.jpg,S0089,3.0,,,,False
ZJ000082,train_features/ZJ000082.jpg,S0110,4.0,0.109,"(171, 146, 54, 41)","[0.2218, 0.4638, 0.07656, 0.1722]",True
ZJ000083,train_features/ZJ000083.jpg,S0127,3.0,0.0301,"(249, 80, 52, 80)","[0.1187, 0.6805, 0.1375, 0.1666]",True
ZJ000084,train_features/ZJ000084.jpg,S0159,2.0,0.0324,"(131, 483, 180, 153)","[0.7484, 0.3527, 0.2515, 0.5222]",True
ZJ000085,train_features/ZJ000085.jpg,S0051,4.0,0.934,"(278, 4, 139, 402)","[0, 0.5074, 0.427, 0.2722]",True
ZJ000086,train_features/ZJ000086.jpg,S0112,0.0,0.901,"(98, 316, 241, 320)","[0.4874, 0.2611, 0.5124, 0.6916]",True
ZJ000087,train_features/ZJ000087.jpg,S0108,0.0,0.793,"(241, 33, 57, 60)","[0.04531, 0.6583, 0.1062, 0.1805]",True
ZJ000088,train_features/ZJ000088.jpg,S0074,0.0,0.292,"(243, 223, 39, 57)","[0.3421, 0.6638, 0.1015, 0.1305]",True
ZJ000089,train_features/ZJ000089.jpg,S0157,0.0,0.496,"(155, 5, 108, 67)","[0.001562, 0.4194, 0.1171, 0.3222]",True
ZJ000090,train_features/ZJ000090.jpg,S0155,1.0,0.0143,"(57, 648, 68, 31)","[0.6708, 0.1029, 0.04062, 0.1475]",True
ZJ000091,train_features/ZJ000091.jpg,S0122,0.0,0.0437,"(213, 477, 126, 35)","[0.739, 0.5805, 0.06718, 0.3722]",True
ZJ000092,train_features/ZJ000092.jpg,S0089,3.0,0.0763,"(296, 410, 43, 55)","[0.6343, 0.8111, 0.09843, 0.1416]",True
ZJ000093,train_features/ZJ000093.jpg,S0095,2.0,0.951,"(345, 378, 174, 219)","[0.3895, 0.6314, 0.2364, 0.337]",True
ZJ000094,train_features/ZJ000094.jpg,S0123,0.0,0.922,"(245, 355, 78, 83)","[0.5484, 0.6694, 0.1421, 0.2388]",True
ZJ000095,train_features/ZJ000095.jpg,S0071,1.0,0.666,"(369, 522, 150, 119)","[0.5395, 0.6759, 0.1322, 0.2925]",True
ZJ000096,train_features/ZJ000096.jpg,S0014,4.0,0.255,"(5, 4, 349, 631)","[0, 0.002777, 0.9984, 0.9916]",True
ZJ000097,train_features/ZJ000097.jpg,S0001,0.0,0.372,"(4, 5, 335, 630)","[0.001562, 0, 0.9968, 0.9527]",True
ZJ000098,train_features/ZJ000098.jpg,S0075,4.0,0.836,"(187, 314, 52, 78)","[0.4843, 0.5083, 0.1343, 0.1666]",True
ZJ000099,train_features/ZJ000099.jpg,S0023,2.0,0.00806,"(326, 547, 5, 33)","[0.8484, 0.9611, 0.06406, 0.0388]",True
ZJ000100,train_features/ZJ000100.jpg,S0008,4.0,0.704,"(255, 4, 84, 142)","[0, 0.6972, 0.2343, 0.2555]",True
ZJ000101,train_features/ZJ000101.jpg,S0149,0.0,0.924,"(131, 286, 132, 186)","[0.4406, 0.3527, 0.3031, 0.3888]",True
ZJ000102,train_features/ZJ000102.jpg,S0185,0.0,0.843,"(39, 4, 316, 632)","[0, 0.09722, 1.0, 0.8999]",True
ZJ000103,train_features/ZJ000103.jpg,S0035,3.0,0.879,"(168, 120, 141, 209)","[0.1812, 0.4555, 0.339, 0.4138]",True
ZJ000104,train_features/ZJ000104.jpg,S0185,0.0,,,,False
ZJ000105,train_features/ZJ000105.jpg,S0069,3.0,0.53,"(45, 511, 193, 62)","[0.5281, 0.07592, 0.07291, 0.3722]",True
ZJ000106,train_features/ZJ000106.jpg,S0043,3.0,0.924,"(4, 482, 327, 154)","[0.7468, 0, 0.2531, 1.0]",True
ZJ000107,train_features/ZJ000107.jpg,S0059,4.0,,,,False
ZJ000108,train_features/ZJ000108.jpg,S0043,3.0,0.884,"(4, 480, 327, 156)","[0.7437, 0, 0.2562, 1.0]",True
ZJ000109,train_features/ZJ000109.jpg,S0159,2.0,0.478,"(82, 4, 34, 41)","[0, 0.6499, 0.3062, 0.3499]",True
ZJ000110,train_features/ZJ000110.jpg,S0001,0.0,0.0227,"(5, 4, 335, 632)","[0, 0.002777, 1.0, 0.9527]",True
ZJ000111,train_features/ZJ000111.jpg,S0088,1.0,0.908,"(166, 337, 82, 66)","[0.5203, 0.4499, 0.1156, 0.25]",True
ZJ000112,train_features/ZJ000112.jpg,S0130,4.0,0.144,"(242, 311, 47, 90)","[0.4796, 0.6611, 0.1531, 0.1527]",True
ZJ000113,train_features/ZJ000113.jpg,S0060,2.0,0.941,"(397, 4, 122, 164)","[0, 0.7277, 0.1791, 0.2407]",True
ZJ000114,train_features/ZJ000114.jpg,S0088,1.0,0.745,"(194, 199, 53, 27)","[0.3046, 0.5671, 0.05468, 0.182]",True
ZJ000115,train_features/ZJ000115.jpg,S0186,4.0,0.879,"(398, 4, 121, 323)","[0, 0.7296, 0.3447, 0.2388]",True
ZJ000116,train_features/ZJ000116.jpg,S0124,1.0,0.937,"(416, 500, 103, 455)","[0.5166, 0.7629, 0.4822, 0.2055]",True
ZJ000117,train_features/ZJ000117.jpg,S0009,0.0,0.715,"(170, 310, 35, 51)","[0.4781, 0.4611, 0.09218, 0.1194]",True
ZJ000118,train_features/ZJ000118.jpg,S0130,4.0,0.0172,"(243, 306, 49, 157)","[0.4718, 0.6638, 0.2578, 0.1583]",True
ZJ000119,train_features/ZJ000119.jpg,S0023,2.0,0.0199,"(320, 4, 11, 29)","[0, 0.9432, 0.05781, 0.05671]",True
ZJ000120,train_features/ZJ000120.jpg,S0070,1.0,0.0345,"(352, 599, 54, 127)","[0.6197, 0.6444, 0.1406, 0.1148]",True
ZJ000121,train_features/ZJ000121.jpg,S0069,3.0,0.568,"(4, 392, 515, 82)","[0.4041, 0, 0.09375, 0.9685]",True
ZJ000122,train_features/ZJ000122.jpg,S0009,0.0,0.316,"(242, 411, 25, 85)","[0.6359, 0.6611, 0.1453, 0.09166]",True
ZJ000123,train_features/ZJ000123.jpg,S0021,2.0,0.818,"(171, 232, 111, 170)","[0.3562, 0.4638, 0.2781, 0.3305]",True
ZJ000124,train_features/ZJ000124.jpg,S0108,0.0,0.701,"(130, 25, 146, 83)","[0.03281, 0.35, 0.1421, 0.4277]",True
ZJ000125,train_features/ZJ000125.jpg,S0008,4.0,0.717,"(246, 4, 93, 127)","[0, 0.6722, 0.2109, 0.2805]",True
ZJ000126,train_features/ZJ000126.jpg,S0043,3.0,,,,False
ZJ000127,train_features/ZJ000127.jpg,S0031,2.0,0.905,"(203, 249, 98, 131)","[0.3828, 0.5527, 0.2171, 0.2944]",True
ZJ000128,train_features/ZJ000128.jpg,S0046,2.0,0.0573,"(110, 152, -3, -4)","[0.9249, 0.8833, 0.025, 0.04166]",True
ZJ000129,train_features/ZJ000129.jpg,S0136,0.0,,,,False
ZJ000130,train_features/ZJ000130.jpg,S0174,1.0,0.77,"(221, 496, 66, 140)","[0.7687, 0.6027, 0.2312, 0.2055]",True
ZJ000131,train_features/ZJ000131.jpg,S0056,2.0,0.0768,"(4, 4, 112, 152)","[0, 0, 1.0, 1.0]",True
ZJ000132,train_features/ZJ000132.jpg,S0060,2.0,0.676,"(358, 559, 121, 230)","[0.5781, 0.6555, 0.2479, 0.2388]",True
ZJ000133,train_features/ZJ000133.jpg,S0060,2.0,0.835,"(327, 163, 88, 180)","[0.1656, 0.5981, 0.1958, 0.1777]",True
ZJ000134,train_features/ZJ000134.jpg,S0019,0.0,0.896,"(69, 4, 441, 952)","[0, 0.1203, 1.0, 0.8314]",True
ZJ000135,train_features/ZJ000135.jpg,S0013,3.0,0.882,"(277, 361, 79, 211)","[0.5578, 0.7583, 0.3421, 0.2416]",True
ZJ000136,train_features/ZJ000136.jpg,S0020,4.0,,,,False
ZJ000137,train_features/ZJ000137.jpg,S0013,3.0,0.183,"(178, 159, 76, 121)","[0.2421, 0.4833, 0.2015, 0.2333]",True
ZJ000138,train_features/ZJ000138.jpg,S0043,3.0,0.723,"(4, 382, 327, 254)","[0.5906, 0, 0.4093, 1.0]",True
ZJ000139,train_features/ZJ000139.jpg,S0060,2.0,0.592,"(358, 68, 107, 128)","[0.06666, 0.6555, 0.1416, 0.2129]",True
ZJ000140,train_features/ZJ000140.jpg,S0063,1.0,0.707,"(284, 646, 77, 47)","[0.6687, 0.5185, 0.05729, 0.1574]",True
ZJ000141,train_features/ZJ000141.jpg,S0005,4.0,0.015,"(274, 487, 10, 24)","[0.7546, 0.7499, 0.05, 0.05]",True
ZJ000142,train_features/ZJ000142.jpg,S0022,0.0,0.0932,"(170, 23, 59, 38)","[0.02968, 0.4611, 0.07187, 0.1861]",True
ZJ000143,train_features/ZJ000143.jpg,S0120,2.0,0.133,"(146, 340, 45, 95)","[0.35, 0.2629, 0.1072, 0.09814]",True
ZJ000144,train_features/ZJ000144.jpg,S0013,3.0,0.0302,"(87, 4, 165, 69)","[0, 0.2305, 0.1203, 0.4805]",True
ZJ000145,train_features/ZJ000145.jpg,S0123,0.0,0.685,"(262, 201, 77, 157)","[0.3078, 0.7166, 0.2578, 0.2361]",True
ZJ000146,train_features/ZJ000146.jpg,S0120,2.0,0.739,"(289, 105, 113, 212)","[0.1052, 0.5277, 0.2291, 0.224]",True
ZJ000147,train_features/ZJ000147.jpg,S0059,4.0,0.395,"(355, 424, 38, 71)","[0.4374, 0.65, 0.08229, 0.08518]",True
ZJ000148,train_features/ZJ000148.jpg,S0026,0.0,0.486,"(226, 20, 54, 108)","[0.02499, 0.6166, 0.1812, 0.1722]",True
ZJ000149,train_features/ZJ000149.jpg,S0030,1.0,0.877,"(184, 841, 127, 102)","[0.8718, 0.3333, 0.1145, 0.25]",True
ZJ000150,train_features/ZJ000150.jpg,S0184,0.0,0.101,"(347, 755, 63, 131)","[0.7822, 0.6351, 0.1447, 0.1314]",True
ZJ000151,train_features/ZJ000151.jpg,S0059,4.0,0.844,"(305, 538, 178, 191)","[0.5562, 0.5574, 0.2072, 0.3444]",True
ZJ000152,train_features/ZJ000152.jpg,S0063,1.0,0.553,"(222, 528, 121, 131)","[0.5458, 0.4037, 0.1447, 0.2388]",True
ZJ000153,train_features/ZJ000153.jpg,S0008,4.0,0.574,"(260, 44, 79, 86)","[0.0625, 0.7111, 0.1468, 0.2416]",True
ZJ000154,train_features/ZJ000154.jpg,S0009,0.0,0.795,"(301, 567, 38, 69)","[0.8796, 0.825, 0.1203, 0.1277]",True
ZJ000155,train_features/ZJ000155.jpg,S0136,0.0,0.00531,"(219, 4, 109, 31)","[0, 0.5972, 0.06093, 0.3249]",True
ZJ000156,train_features/ZJ000156.jpg,S0038,1.0,0.843,"(202, 4, 307, 952)","[0, 0.3844, 1.0, 0.6116]",True
ZJ000157,train_features/ZJ000157.jpg,S0158,0.0,0.953,"(4, 4, 335, 503)","[0, 0, 0.7984, 0.9527]",True
ZJ000158,train_features/ZJ000158.jpg,S0060,2.0,0.44,"(405, 4, 112, 122)","[0, 0.7425, 0.1354, 0.2222]",True
ZJ000159,train_features/ZJ000159.jpg,S0156,0.0,0.319,"(423, 311, 86, 125)","[0.3197, 0.7759, 0.1385, 0.174]",True
ZJ000160,train_features/ZJ000160.jpg,S0071,1.0,0.769,"(270, 126, 44, 116)","[0.127, 0.4925, 0.1291, 0.09629]",True
ZJ000161,train_features/ZJ000161.jpg,S0022,0.0,0.289,"(241, 4, 115, 144)","[0, 0.6583, 0.2374, 0.3416]",True
ZJ000162,train_features/ZJ000162.jpg,S0071,1.0,0.801,"(242, 643, 75, 128)","[0.6656, 0.4407, 0.1416, 0.1537]",True
ZJ000163,train_features/ZJ000163.jpg,S0004,2.0,0.801,"(322, 377, 18, 72)","[0.5828, 0.8833, 0.125, 0.07222]",True
ZJ000164,train_features/ZJ000164.jpg,S0077,1.0,0.574,"(204, 439, 126, 144)","[0.6796, 0.5555, 0.2374, 0.3722]",True
ZJ000165,train_features/ZJ000165.jpg,S0001,0.0,,,,False
ZJ000166,train_features/ZJ000166.jpg,S0043,3.0,0.944,"(112, 287, 219, 152)","[0.4421, 0.3223, 0.25, 0.6776]",True
ZJ000167,train_features/ZJ000167.jpg,S0016,1.0,0.814,"(245, 300, 265, 93)","[0.3083, 0.4462, 0.1052, 0.5055]",True
ZJ000168,train_features/ZJ000168.jpg,S0008,4.0,0.0495,"(4, 5, 335, 617)","[0.001562, 0, 0.9765, 0.9527]",True
ZJ000169,train_features/ZJ000169.jpg,S0036,0.0,0.515,"(282, 450, 41, 106)","[0.6968, 0.7722, 0.1781, 0.1361]",True
ZJ000170,train_features/ZJ000170.jpg,S0063,1.0,0.964,"(337, 483, 181, 473)","[0.4989, 0.6166, 0.501, 0.3499]",True
ZJ000171,train_features/ZJ000171.jpg,S0009,0.0,0.779,"(197, 91, 65, 40)","[0.1359, 0.5361, 0.075, 0.2027]",True
ZJ000172,train_features/ZJ000172.jpg,S0036,0.0,0.0404,"(94, 482, 148, 96)","[0.7468, 0.2686, 0.1624, 0.4656]",True
ZJ000173,train_features/ZJ000173.jpg,S0026,0.0,0.694,"(135, 456, 178, 180)","[0.7062, 0.3638, 0.2937, 0.5166]",True
ZJ000174,train_features/ZJ000174.jpg,S0080,1.0,0.0184,"(54, 102, 31, 27)","[0.6125, 0.4166, 0.2187, 0.3249]",True
ZJ000175,train_features/ZJ000175.jpg,S0043,3.0,0.894,"(34, 530, 297, 106)","[0.8218, 0.08955, 0.1781, 0.9104]",True
ZJ000176,train_features/ZJ000176.jpg,S0081,1.0,0.187,"(333, 299, 37, 71)","[0.3072, 0.6092, 0.08229, 0.08333]",True
ZJ000177,train_features/ZJ000177.jpg,S0009,0.0,0.815,"(175, 338, 37, 35)","[0.5218, 0.475, 0.06718, 0.125]",True
ZJ000178,train_features/ZJ000178.jpg,S0184,0.0,0.807,"(301, 187, 144, 228)","[0.1906, 0.55, 0.2458, 0.2814]",True
ZJ000179,train_features/ZJ000179.jpg,S0084,0.0,0.971,"(4, 4, 515, 353)","[0, 0, 0.376, 0.9685]",True
ZJ000180,train_features/ZJ000180.jpg,S0027,3.0,0.0214,"(185, 4, 93, 82)","[0, 0.5027, 0.1406, 0.2805]",True
ZJ000181,train_features/ZJ000181.jpg,S0042,3.0,0.0109,"(316, 398, 32, 51)","[0.6156, 0.8666, 0.09218, 0.1111]",True
ZJ000182,train_features/ZJ000182.jpg,S0021,2.0,0.834,"(145, 412, 154, 224)","[0.6375, 0.3916, 0.3625, 0.4499]",True
ZJ000183,train_features/ZJ000183.jpg,S0179,4.0,0.105,"(177, 73, 53, 47)","[0.1916, 0.7208, 0.1527, 0.2541]",True
ZJ000184,train_features/ZJ000184.jpg,S0059,4.0,0.634,"(476, 718, 43, 135)","[0.7437, 0.874, 0.1489, 0.09444]",True
ZJ000185,train_features/ZJ000185.jpg,S0031,2.0,0.545,"(160, 4, 196, 181)","[0, 0.4333, 0.2953, 0.5666]",True
ZJ000186,train_features/ZJ000186.jpg,S0070,1.0,0.594,"(385, 312, 87, 132)","[0.3208, 0.7055, 0.1458, 0.1759]",True
ZJ000187,train_features/ZJ000187.jpg,S0023,2.0,0.199,"(241, 355, 20, 35)","[0.5484, 0.6583, 0.06718, 0.07777]",True
ZJ000188,train_features/ZJ000188.jpg,S0053,3.0,0.981,"(202, 6, 317, 380)","[0.002083, 0.3666, 0.4041, 0.6018]",True
ZJ000189,train_features/ZJ000189.jpg,S0096,3.0,0.716,"(6, 4, 348, 632)","[0, 0.005555, 1.0, 0.9888]",True
ZJ000190,train_features/ZJ000190.jpg,S0009,0.0,0.677,"(297, 482, 43, 98)","[0.7468, 0.8138, 0.1656, 0.1416]",True
ZJ000191,train_features/ZJ000191.jpg,S0069,3.0,0.0101,"(431, 670, 66, 117)","[0.6937, 0.7907, 0.1302, 0.137]",True
ZJ000192,train_features/ZJ000192.jpg,S0095,2.0,0.935,"(250, 40, 241, 183)","[0.03749, 0.4555, 0.1989, 0.4611]",True
ZJ000193,train_features/ZJ000193.jpg,S0059,4.0,0.0107,"(9, 188, 60, 50)","[0.1916, 0.009259, 0.06041, 0.1259]",True
ZJ000194,train_features/ZJ000194.jpg,S0036,0.0,0.0359,"(206, 75, 42, 48)","[0.1109, 0.5611, 0.08749, 0.1388]",True
