,id,filepath,site,split,conf,bbox,bbox_normalized,bbox_true,bbox_dino,Logits,pred_dino
71,ZJ000071,train_features/ZJ000071.jpg,S0081,1.0,0.83,"(418, 4, 99, 55)","[0, 0.7666, 0.06562, 0.1981]",True,[423   0  95  63],0.31666192412376404,animal
72,ZJ000072,train_features/ZJ000072.jpg,S0014,4.0,0.872,"(119, 278, 220, 256)","[0.4281, 0.3194, 0.4124, 0.6333]",True,,,
73,ZJ000073,train_features/ZJ000073.jpg,S0060,2.0,0.49,"(317, 307, 74, 170)","[0.3156, 0.5796, 0.1854, 0.1518]",True,[312 366  91 116],0.3031163513660431,animal
74,ZJ000074,train_features/ZJ000074.jpg,S0008,4.0,0.754,"(180, 212, 87, 44)","[0.3249, 0.4888, 0.08124, 0.2638]",True,[231   0  95 129],0.3508932292461395,bird
75,ZJ000075,train_features/ZJ000075.jpg,S0060,2.0,0.718,"(313, 712, 88, 244)","[0.7374, 0.5722, 0.2624, 0.1777]",True,,,
76,ZJ000076,train_features/ZJ000076.jpg,S0120,2.0,0.914,"(184, 649, 59, 100)","[0.6718, 0.3333, 0.1124, 0.124]",True,[179 643  71 111],0.31987881660461426,bird
77,ZJ000077,train_features/ZJ000077.jpg,S0069,3.0,0.124,"(393, 488, 126, 324)","[0.5041, 0.7203, 0.3458, 0.2481]",True,,,
78,ZJ000078,train_features/ZJ000078.jpg,S0125,2.0,0.901,"(5, 244, 514, 653)","[0.25, 0.001851, 0.6885, 0.9666]",True,[  0 237 522 667],0.42155537009239197,animal
79,ZJ000079,train_features/ZJ000079.jpg,S0008,4.0,0.256,"(4, 5, 335, 563)","[0.001562, 0, 0.8921, 0.9527]",True,,,
80,ZJ000080,train_features/ZJ000080.jpg,S0080,1.0,0.686,"(33, 86, 74, 39)","[0.5125, 0.2416, 0.2937, 0.6833]",True,[28 81 80 50],0.3843277394771576,bird
81,ZJ000081,train_features/ZJ000081.jpg,S0089,3.0,,,,False,[321   0  37  36],0.3054691553115845,civet_genet
82,ZJ000082,train_features/ZJ000082.jpg,S0110,4.0,0.109,"(171, 146, 54, 41)","[0.2218, 0.4638, 0.07656, 0.1722]",True,,,
83,ZJ000083,train_features/ZJ000083.jpg,S0127,3.0,0.0301,"(249, 80, 52, 80)","[0.1187, 0.6805, 0.1375, 0.1666]",True,,,
84,ZJ000084,train_features/ZJ000084.jpg,S0159,2.0,0.0324,"(131, 483, 180, 153)","[0.7484, 0.3527, 0.2515, 0.5222]",True,,,
85,ZJ000085,train_features/ZJ000085.jpg,S0051,4.0,0.934,"(278, 4, 139, 402)","[0, 0.5074, 0.427, 0.2722]",True,[257  31 163 378],0.3951968848705292,animal
86,ZJ000086,train_features/ZJ000086.jpg,S0112,0.0,0.901,"(98, 316, 241, 320)","[0.4874, 0.2611, 0.5124, 0.6916]",True,[ 92 316 251 323],0.6319462656974792,leopard
87,ZJ000087,train_features/ZJ000087.jpg,S0108,0.0,0.793,"(241, 33, 57, 60)","[0.04531, 0.6583, 0.1062, 0.1805]",True,[235  27  65  69],0.6200510263442993,bird
88,ZJ000088,train_features/ZJ000088.jpg,S0074,0.0,0.292,"(243, 223, 39, 57)","[0.3421, 0.6638, 0.1015, 0.1305]",True,,,
89,ZJ000089,train_features/ZJ000089.jpg,S0157,0.0,0.496,"(155, 5, 108, 67)","[0.001562, 0.4194, 0.1171, 0.3222]",True,,,
90,ZJ000090,train_features/ZJ000090.jpg,S0155,1.0,0.0143,"(57, 648, 68, 31)","[0.6708, 0.1029, 0.04062, 0.1475]",True,,,
91,ZJ000091,train_features/ZJ000091.jpg,S0122,0.0,0.0437,"(213, 477, 126, 35)","[0.739, 0.5805, 0.06718, 0.3722]",True,,,
92,ZJ000092,train_features/ZJ000092.jpg,S0089,3.0,0.0763,"(296, 410, 43, 55)","[0.6343, 0.8111, 0.09843, 0.1416]",True,,,
93,ZJ000093,train_features/ZJ000093.jpg,S0095,2.0,0.951,"(345, 378, 174, 219)","[0.3895, 0.6314, 0.2364, 0.337]",True,[341 374 182 225],0.47984179854393005,animal
94,ZJ000094,train_features/ZJ000094.jpg,S0123,0.0,0.922,"(245, 355, 78, 83)","[0.5484, 0.6694, 0.1421, 0.2388]",True,[239 347  83  92],0.4516262114048004,animal
95,ZJ000095,train_features/ZJ000095.jpg,S0071,1.0,0.666,"(369, 522, 150, 119)","[0.5395, 0.6759, 0.1322, 0.2925]",True,,,
96,ZJ000096,train_features/ZJ000096.jpg,S0014,4.0,0.255,"(5, 4, 349, 631)","[0, 0.002777, 0.9984, 0.9916]",True,,,
97,ZJ000097,train_features/ZJ000097.jpg,S0001,0.0,0.372,"(4, 5, 335, 630)","[0.001562, 0, 0.9968, 0.9527]",True,,,
98,ZJ000098,train_features/ZJ000098.jpg,S0075,4.0,0.836,"(187, 314, 52, 78)","[0.4843, 0.5083, 0.1343, 0.1666]",True,,,
99,ZJ000099,train_features/ZJ000099.jpg,S0023,2.0,0.00806,"(326, 547, 5, 33)","[0.8484, 0.9611, 0.06406, 0.0388]",True,,,
100,ZJ000100,train_features/ZJ000100.jpg,S0008,4.0,0.704,"(255, 4, 84, 142)","[0, 0.6972, 0.2343, 0.2555]",True,,,
101,ZJ000101,train_features/ZJ000101.jpg,S0149,0.0,0.924,"(131, 286, 132, 186)","[0.4406, 0.3527, 0.3031, 0.3888]",True,[127 282 135 190],0.50338214635849,antelope_duiker
102,ZJ000102,train_features/ZJ000102.jpg,S0185,0.0,0.843,"(39, 4, 316, 632)","[0, 0.09722, 1.0, 0.8999]",True,,,
103,ZJ000103,train_features/ZJ000103.jpg,S0035,3.0,0.879,"(168, 120, 141, 209)","[0.1812, 0.4555, 0.339, 0.4138]",True,[164 115 140 150],0.44016993045806885,monkey_prosimian
104,ZJ000104,train_features/ZJ000104.jpg,S0185,0.0,,,,False,,,
105,ZJ000105,train_features/ZJ000105.jpg,S0069,3.0,0.53,"(45, 511, 193, 62)","[0.5281, 0.07592, 0.07291, 0.3722]",True,,,
106,ZJ000106,train_features/ZJ000106.jpg,S0043,3.0,0.924,"(4, 482, 327, 154)","[0.7468, 0, 0.2531, 1.0]",True,,,
107,ZJ000107,train_features/ZJ000107.jpg,S0059,4.0,,,,False,,,
108,ZJ000108,train_features/ZJ000108.jpg,S0043,3.0,0.884,"(4, 480, 327, 156)","[0.7437, 0, 0.2562, 1.0]",True,[  0 471 333 167],0.3760230839252472,animal
109,ZJ000109,train_features/ZJ000109.jpg,S0159,2.0,0.478,"(82, 4, 34, 41)","[0, 0.6499, 0.3062, 0.3499]",True,[76  0 43 55],0.31040826439857483,animal
110,ZJ000110,train_features/ZJ000110.jpg,S0001,0.0,0.0227,"(5, 4, 335, 632)","[0, 0.002777, 1.0, 0.9527]",True,[322   0  36  38],0.3860214054584503,civet_genet
111,ZJ000111,train_features/ZJ000111.jpg,S0088,1.0,0.908,"(166, 337, 82, 66)","[0.5203, 0.4499, 0.1156, 0.25]",True,,,
112,ZJ000112,train_features/ZJ000112.jpg,S0130,4.0,0.144,"(242, 311, 47, 90)","[0.4796, 0.6611, 0.1531, 0.1527]",True,,,
113,ZJ000113,train_features/ZJ000113.jpg,S0060,2.0,0.941,"(397, 4, 122, 164)","[0, 0.7277, 0.1791, 0.2407]",True,[384   1 136 167],0.41719043254852295,animal
114,ZJ000114,train_features/ZJ000114.jpg,S0088,1.0,0.745,"(194, 199, 53, 27)","[0.3046, 0.5671, 0.05468, 0.182]",True,[189 192  60  37],0.5085376501083374,bird
115,ZJ000115,train_features/ZJ000115.jpg,S0186,4.0,0.879,"(398, 4, 121, 323)","[0, 0.7296, 0.3447, 0.2388]",True,[397   0 125 290],0.36011794209480286,animal
116,ZJ000116,train_features/ZJ000116.jpg,S0124,1.0,0.937,"(416, 500, 103, 455)","[0.5166, 0.7629, 0.4822, 0.2055]",True,[413 494 110 451],0.41781145334243774,animal
117,ZJ000117,train_features/ZJ000117.jpg,S0009,0.0,0.715,"(170, 310, 35, 51)","[0.4781, 0.4611, 0.09218, 0.1194]",True,[165 306  45  47],0.4901796579360962,animal
118,ZJ000118,train_features/ZJ000118.jpg,S0130,4.0,0.0172,"(243, 306, 49, 157)","[0.4718, 0.6638, 0.2578, 0.1583]",True,,,
119,ZJ000119,train_features/ZJ000119.jpg,S0023,2.0,0.0199,"(320, 4, 11, 29)","[0, 0.9432, 0.05781, 0.05671]",True,,,
120,ZJ000120,train_features/ZJ000120.jpg,S0070,1.0,0.0345,"(352, 599, 54, 127)","[0.6197, 0.6444, 0.1406, 0.1148]",True,,,
121,ZJ000121,train_features/ZJ000121.jpg,S0069,3.0,0.568,"(4, 392, 515, 82)","[0.4041, 0, 0.09375, 0.9685]",True,,,
122,ZJ000122,train_features/ZJ000122.jpg,S0009,0.0,0.316,"(242, 411, 25, 85)","[0.6359, 0.6611, 0.1453, 0.09166]",True,,,
123,ZJ000123,train_features/ZJ000123.jpg,S0021,2.0,0.818,"(171, 232, 111, 170)","[0.3562, 0.4638, 0.2781, 0.3305]",True,,,
124,ZJ000124,train_features/ZJ000124.jpg,S0108,0.0,0.701,"(130, 25, 146, 83)","[0.03281, 0.35, 0.1421, 0.4277]",True,[126  19 150  93],0.3870997726917267,animal
125,ZJ000125,train_features/ZJ000125.jpg,S0008,4.0,0.717,"(246, 4, 93, 127)","[0, 0.6722, 0.2109, 0.2805]",True,[240   0  98 133],0.3239372968673706,animal
126,ZJ000126,train_features/ZJ000126.jpg,S0043,3.0,,,,False,,,
127,ZJ000127,train_features/ZJ000127.jpg,S0031,2.0,0.905,"(203, 249, 98, 131)","[0.3828, 0.5527, 0.2171, 0.2944]",True,[199 243 105 141],0.4144858419895172,animal
128,ZJ000128,train_features/ZJ000128.jpg,S0046,2.0,0.0573,"(110, 152, -3, -4)","[0.9249, 0.8833, 0.025, 0.04166]",True,,,
129,ZJ000129,train_features/ZJ000129.jpg,S0136,0.0,,,,False,,,
130,ZJ000130,train_features/ZJ000130.jpg,S0174,1.0,0.77,"(221, 496, 66, 140)","[0.7687, 0.6027, 0.2312, 0.2055]",True,[217 498  74 140],0.3285241425037384,animal
131,ZJ000131,train_features/ZJ000131.jpg,S0056,2.0,0.0768,"(4, 4, 112, 152)","[0, 0, 1.0, 1.0]",True,,,
132,ZJ000132,train_features/ZJ000132.jpg,S0060,2.0,0.676,"(358, 559, 121, 230)","[0.5781, 0.6555, 0.2479, 0.2388]",True,,,
133,ZJ000133,train_features/ZJ000133.jpg,S0060,2.0,0.835,"(327, 163, 88, 180)","[0.1656, 0.5981, 0.1958, 0.1777]",True,,,
134,ZJ000134,train_features/ZJ000134.jpg,S0019,0.0,0.896,"(69, 4, 441, 952)","[0, 0.1203, 1.0, 0.8314]",True,,,
135,ZJ000135,train_features/ZJ000135.jpg,S0013,3.0,0.882,"(277, 361, 79, 211)","[0.5578, 0.7583, 0.3421, 0.2416]",True,[275 356  83 207],0.49039140343666077,animal
136,ZJ000136,train_features/ZJ000136.jpg,S0020,4.0,,,,False,,,
137,ZJ000137,train_features/ZJ000137.jpg,S0013,3.0,0.183,"(178, 159, 76, 121)","[0.2421, 0.4833, 0.2015, 0.2333]",True,,,
138,ZJ000138,train_features/ZJ000138.jpg,S0043,3.0,0.723,"(4, 382, 327, 254)","[0.5906, 0, 0.4093, 1.0]",True,[  0 378 334 261],0.4534183740615845,animal
139,ZJ000139,train_features/ZJ000139.jpg,S0060,2.0,0.592,"(358, 68, 107, 128)","[0.06666, 0.6555, 0.1416, 0.2129]",True,[348  63 119 135],0.300797700881958,animal
140,ZJ000140,train_features/ZJ000140.jpg,S0063,1.0,0.707,"(284, 646, 77, 47)","[0.6687, 0.5185, 0.05729, 0.1574]",True,,,
141,ZJ000141,train_features/ZJ000141.jpg,S0005,4.0,0.015,"(274, 487, 10, 24)","[0.7546, 0.7499, 0.05, 0.05]",True,,,
142,ZJ000142,train_features/ZJ000142.jpg,S0022,0.0,0.0932,"(170, 23, 59, 38)","[0.02968, 0.4611, 0.07187, 0.1861]",True,,,
143,ZJ000143,train_features/ZJ000143.jpg,S0120,2.0,0.133,"(146, 340, 45, 95)","[0.35, 0.2629, 0.1072, 0.09814]",True,,,
144,ZJ000144,train_features/ZJ000144.jpg,S0013,3.0,0.0302,"(87, 4, 165, 69)","[0, 0.2305, 0.1203, 0.4805]",True,,,
145,ZJ000145,train_features/ZJ000145.jpg,S0123,0.0,0.685,"(262, 201, 77, 157)","[0.3078, 0.7166, 0.2578, 0.2361]",True,,,
146,ZJ000146,train_features/ZJ000146.jpg,S0120,2.0,0.739,"(289, 105, 113, 212)","[0.1052, 0.5277, 0.2291, 0.224]",True,,,
147,ZJ000147,train_features/ZJ000147.jpg,S0059,4.0,0.395,"(355, 424, 38, 71)","[0.4374, 0.65, 0.08229, 0.08518]",True,,,
148,ZJ000148,train_features/ZJ000148.jpg,S0026,0.0,0.486,"(226, 20, 54, 108)","[0.02499, 0.6166, 0.1812, 0.1722]",True,,,
149,ZJ000149,train_features/ZJ000149.jpg,S0030,1.0,0.877,"(184, 841, 127, 102)","[0.8718, 0.3333, 0.1145, 0.25]",True,[178 838 105 104],0.3190719783306122,animal
150,ZJ000150,train_features/ZJ000150.jpg,S0184,0.0,0.101,"(347, 755, 63, 131)","[0.7822, 0.6351, 0.1447, 0.1314]",True,,,
151,ZJ000151,train_features/ZJ000151.jpg,S0059,4.0,0.844,"(305, 538, 178, 191)","[0.5562, 0.5574, 0.2072, 0.3444]",True,[347 537 135  72],0.3331412672996521,animal
152,ZJ000152,train_features/ZJ000152.jpg,S0063,1.0,0.553,"(222, 528, 121, 131)","[0.5458, 0.4037, 0.1447, 0.2388]",True,,,
153,ZJ000153,train_features/ZJ000153.jpg,S0008,4.0,0.574,"(260, 44, 79, 86)","[0.0625, 0.7111, 0.1468, 0.2416]",True,[254   7  86 128],0.3653998374938965,animal
154,ZJ000154,train_features/ZJ000154.jpg,S0009,0.0,0.795,"(301, 567, 38, 69)","[0.8796, 0.825, 0.1203, 0.1277]",True,,,
155,ZJ000155,train_features/ZJ000155.jpg,S0136,0.0,0.00531,"(219, 4, 109, 31)","[0, 0.5972, 0.06093, 0.3249]",True,,,
156,ZJ000156,train_features/ZJ000156.jpg,S0038,1.0,0.843,"(202, 4, 307, 952)","[0, 0.3844, 1.0, 0.6116]",True,[204   0 309 958],0.3727986514568329,animal
157,ZJ000157,train_features/ZJ000157.jpg,S0158,0.0,0.953,"(4, 4, 335, 503)","[0, 0, 0.7984, 0.9527]",True,[  0   0 342 510],0.5607361197471619,animal
158,ZJ000158,train_features/ZJ000158.jpg,S0060,2.0,0.44,"(405, 4, 112, 122)","[0, 0.7425, 0.1354, 0.2222]",True,,,
159,ZJ000159,train_features/ZJ000159.jpg,S0156,0.0,0.319,"(423, 311, 86, 125)","[0.3197, 0.7759, 0.1385, 0.174]",True,,,
160,ZJ000160,train_features/ZJ000160.jpg,S0071,1.0,0.769,"(270, 126, 44, 116)","[0.127, 0.4925, 0.1291, 0.09629]",True,[267 138  51 131],0.43682149052619934,animal
161,ZJ000161,train_features/ZJ000161.jpg,S0022,0.0,0.289,"(241, 4, 115, 144)","[0, 0.6583, 0.2374, 0.3416]",True,,,
162,ZJ000162,train_features/ZJ000162.jpg,S0071,1.0,0.801,"(242, 643, 75, 128)","[0.6656, 0.4407, 0.1416, 0.1537]",True,[237 644  82 127],0.43103718757629395,animal
163,ZJ000163,train_features/ZJ000163.jpg,S0004,2.0,0.801,"(322, 377, 18, 72)","[0.5828, 0.8833, 0.125, 0.07222]",True,,,
164,ZJ000164,train_features/ZJ000164.jpg,S0077,1.0,0.574,"(204, 439, 126, 144)","[0.6796, 0.5555, 0.2374, 0.3722]",True,,,
165,ZJ000165,train_features/ZJ000165.jpg,S0001,0.0,,,,False,,,
