id,filepath,site,conf,bbox,bbox_normalized,bbox_true
ZJ016528,test_features/ZJ016528.jpg,S0116,0.448,"(213, 352, 66, 101)","[0.5437, 0.5805, 0.1703, 0.2055]",True
ZJ016529,test_features/ZJ016529.jpg,S0082,0.403,"(272, 153, 220, 582)","[0.1552, 0.4962, 0.6145, 0.4222]",True
ZJ016530,test_features/ZJ016530.jpg,S0011,0.0201,"(206, 337, 103, 101)","[0.5203, 0.5611, 0.1703, 0.3083]",True
ZJ016531,test_features/ZJ016531.jpg,S0064,0.0052,"(499, 191, 21, 90)","[0.1947, 0.9166, 0.102, 0.0537]",True
ZJ016532,test_features/ZJ016532.jpg,S0040,0.966,"(4, 4, 421, 727)","[0, 0, 0.7656, 0.7944]",True
ZJ016533,test_features/ZJ016533.jpg,S0128,0.423,"(193, 318, 89, 65)","[0.4906, 0.5249, 0.114, 0.2694]",True
ZJ016534,test_features/ZJ016534.jpg,S0034,,,,False
ZJ016535,test_features/ZJ016535.jpg,S0091,0.821,"(324, 573, 178, 216)","[0.5927, 0.5925, 0.2333, 0.3444]",True
ZJ016536,test_features/ZJ016536.jpg,S0100,,,,False
ZJ016537,test_features/ZJ016537.jpg,S0189,0.387,"(195, 64, 40, 60)","[0.1666, 0.7958, 0.1888, 0.2]",True
ZJ016538,test_features/ZJ016538.jpg,S0037,0.779,"(210, 478, 95, 98)","[0.7406, 0.5722, 0.1656, 0.2861]",True
ZJ016539,test_features/ZJ016539.jpg,S0087,0.0183,"(88, 4, 25, 15)","[0, 0.6999, 0.1437, 0.275]",True
ZJ016540,test_features/ZJ016540.jpg,S0116,0.901,"(301, 322, 39, 62)","[0.4968, 0.825, 0.1093, 0.1305]",True
ZJ016541,test_features/ZJ016541.jpg,S0166,0.176,"(239, 346, 117, 290)","[0.5343, 0.6527, 0.4656, 0.3472]",True
ZJ016542,test_features/ZJ016542.jpg,S0162,0.0363,"(164, 923, 115, 33)","[0.9572, 0.3106, 0.0427, 0.2388]",True
ZJ016543,test_features/ZJ016543.jpg,S0040,0.949,"(218, 4, 190, 354)","[0, 0.3962, 0.377, 0.3666]",True
ZJ016544,test_features/ZJ016544.jpg,S0100,0.948,"(226, 227, 108, 163)","[0.3484, 0.6166, 0.2671, 0.3222]",True
ZJ016545,test_features/ZJ016545.jpg,S0040,0.0371,"(385, 4, 135, 300)","[0, 0.7055, 0.3208, 0.2648]",True
ZJ016546,test_features/ZJ016546.jpg,S0041,0.84,"(99, 490, 232, 122)","[0.7593, 0.2835, 0.2031, 0.7164]",True
ZJ016547,test_features/ZJ016547.jpg,S0082,0.0179,"(157, 825, 334, 131)","[0.8552, 0.2833, 0.1447, 0.6333]",True
ZJ016548,test_features/ZJ016548.jpg,S0128,0.928,"(190, 323, 92, 130)","[0.4984, 0.5166, 0.2156, 0.2777]",True
ZJ016549,test_features/ZJ016549.jpg,S0128,,,,False
ZJ016550,test_features/ZJ016550.jpg,S0040,0.892,"(202, 319, 89, 199)","[0.3281, 0.3666, 0.2156, 0.1796]",True
ZJ016551,test_features/ZJ016551.jpg,S0151,0.677,"(211, 50, 40, 35)","[0.07187, 0.5749, 0.06718, 0.1333]",True
ZJ016552,test_features/ZJ016552.jpg,S0011,0.0158,"(302, 287, 54, 45)","[0.4421, 0.8277, 0.08281, 0.1722]",True
ZJ016553,test_features/ZJ016553.jpg,S0086,0.0147,"(252, 501, 16, 36)","[0.7765, 0.7402, 0.06875, 0.07164]",True
ZJ016554,test_features/ZJ016554.jpg,S0086,0.535,"(114, 95, 41, 47)","[0.2843, 0.4583, 0.1718, 0.2041]",True
ZJ016555,test_features/ZJ016555.jpg,S0128,0.891,"(289, 510, 51, 126)","[0.7906, 0.7916, 0.2093, 0.1638]",True
ZJ016556,test_features/ZJ016556.jpg,S0086,0.563,"(75, 5, 69, 94)","[0.003124, 0.2958, 0.3187, 0.3208]",True
ZJ016557,test_features/ZJ016557.jpg,S0162,0.0676,"(318, 260, 139, 212)","[0.2666, 0.5814, 0.2291, 0.2722]",True
ZJ016558,test_features/ZJ016558.jpg,S0041,0.969,"(33, 4, 321, 632)","[0, 0.08055, 1.0, 0.9138]",True
ZJ016559,test_features/ZJ016559.jpg,S0072,0.565,"(437, 461, 71, 140)","[0.476, 0.8018, 0.1541, 0.1462]",True
ZJ016560,test_features/ZJ016560.jpg,S0086,0.232,"(70, 60, 63, 37)","[0.1749, 0.3069, 0.1406, 0.3302]",True
ZJ016561,test_features/ZJ016561.jpg,S0041,0.823,"(142, 517, 127, 119)","[0.8015, 0.3833, 0.1984, 0.375]",True
ZJ016562,test_features/ZJ016562.jpg,S0128,0.813,"(248, 386, 36, 75)","[0.5968, 0.6777, 0.1296, 0.1222]",True
ZJ016563,test_features/ZJ016563.jpg,S0040,0.825,"(279, 266, 134, 94)","[0.2729, 0.5092, 0.1062, 0.2629]",True
ZJ016564,test_features/ZJ016564.jpg,S0128,0.893,"(197, 226, 51, 27)","[0.3468, 0.5361, 0.05468, 0.1638]",True
ZJ016565,test_features/ZJ016565.jpg,S0114,0.853,"(4, 126, 326, 509)","[0.1906, 0, 0.8078, 0.997]",True
ZJ016566,test_features/ZJ016566.jpg,S0142,0.0705,"(176, 4, 55, 41)","[0, 0.4777, 0.07656, 0.1749]",True
ZJ016567,test_features/ZJ016567.jpg,S0066,0.206,"(251, 544, 72, 51)","[0.8437, 0.6861, 0.09218, 0.2222]",True
ZJ016568,test_features/ZJ016568.jpg,S0114,0.489,"(4, 5, 326, 630)","[0.001562, 0, 0.9968, 0.997]",True
ZJ016569,test_features/ZJ016569.jpg,S0041,0.213,"(155, 464, 41, 43)","[0.7187, 0.4194, 0.07968, 0.1361]",True
ZJ016570,test_features/ZJ016570.jpg,S0091,0.937,"(365, 692, 124, 182)","[0.7166, 0.6685, 0.1979, 0.2444]",True
ZJ016571,test_features/ZJ016571.jpg,S0082,,,,False
ZJ016572,test_features/ZJ016572.jpg,S0111,0.553,"(163, 346, 25, 35)","[0.5343, 0.4416, 0.06718, 0.09166]",True
ZJ016573,test_features/ZJ016573.jpg,S0087,0.00596,"(87, 4, 29, 13)","[0, 0.6916, 0.1312, 0.3083]",True
ZJ016574,test_features/ZJ016574.jpg,S0037,,,,False
ZJ016575,test_features/ZJ016575.jpg,S0011,,,,False
ZJ016576,test_features/ZJ016576.jpg,S0116,0.955,"(255, 330, 85, 103)","[0.5093, 0.6972, 0.1734, 0.2583]",True
ZJ016577,test_features/ZJ016577.jpg,S0087,0.0116,"(75, 51, 10, 15)","[0.2937, 0.5916, 0.1437, 0.15]",True
ZJ016578,test_features/ZJ016578.jpg,S0086,0.151,"(137, 271, 20, 29)","[0.8343, 0.5541, 0.1156, 0.1166]",True
ZJ016579,test_features/ZJ016579.jpg,S0151,0.578,"(246, 287, 67, 127)","[0.4421, 0.6722, 0.2109, 0.2083]",True
ZJ016580,test_features/ZJ016580.jpg,S0064,0.837,"(223, 813, 36, 127)","[0.8427, 0.4055, 0.1406, 0.08148]",True
ZJ016581,test_features/ZJ016581.jpg,S0116,0.922,"(297, 338, 43, 99)","[0.5218, 0.8138, 0.1671, 0.1416]",True
ZJ016582,test_features/ZJ016582.jpg,S0040,0.955,"(40, 4, 396, 745)","[0, 0.06666, 0.7843, 0.7481]",True
ZJ016583,test_features/ZJ016583.jpg,S0086,0.0126,"(211, 222, 25, 94)","[0.6812, 0.8624, 0.3187, 0.1375]",True
ZJ016584,test_features/ZJ016584.jpg,S0082,0.317,"(311, 586, 150, 208)","[0.6062, 0.5685, 0.2249, 0.2925]",True
ZJ016585,test_features/ZJ016585.jpg,S0114,0.669,"(4, 8, 326, 627)","[0.00625, 0, 0.9921, 0.997]",True
ZJ016586,test_features/ZJ016586.jpg,S0087,0.0977,"(79, 66, 20, 20)","[0.3874, 0.625, 0.1749, 0.2333]",True
ZJ016587,test_features/ZJ016587.jpg,S0065,0.00632,"(8, 4, 328, 632)","[0, 0.01111, 1.0, 0.9333]",True
ZJ016588,test_features/ZJ016588.jpg,S0040,0.954,"(205, 184, 138, 331)","[0.1874, 0.3722, 0.3531, 0.2703]",True
ZJ016589,test_features/ZJ016589.jpg,S0072,0.8,"(440, 590, 80, 142)","[0.6104, 0.8074, 0.1562, 0.1629]",True
ZJ016590,test_features/ZJ016590.jpg,S0162,0.713,"(264, 686, 128, 250)","[0.7104, 0.4814, 0.2687, 0.2518]",True
ZJ016591,test_features/ZJ016591.jpg,S0072,0.873,"(325, 521, 194, 151)","[0.5385, 0.5944, 0.1656, 0.374]",True
ZJ016592,test_features/ZJ016592.jpg,S0040,0.858,"(311, 4, 121, 181)","[0, 0.5685, 0.1968, 0.2388]",True
ZJ016593,test_features/ZJ016593.jpg,S0162,0.632,"(205, 576, 78, 35)","[0.5958, 0.3722, 0.04479, 0.1592]",True
ZJ016594,test_features/ZJ016594.jpg,S0040,0.741,"(471, 326, 48, 187)","[0.3354, 0.8648, 0.2031, 0.1037]",True
ZJ016595,test_features/ZJ016595.jpg,S0041,0.729,"(178, 524, 178, 112)","[0.8125, 0.4833, 0.1875, 0.5166]",True
ZJ016596,test_features/ZJ016596.jpg,S0064,0.544,"(363, 337, 116, 208)","[0.3468, 0.6648, 0.2249, 0.2296]",True
ZJ016597,test_features/ZJ016597.jpg,S0072,0.667,"(296, 610, 223, 299)","[0.6312, 0.5407, 0.3197, 0.4277]",True
ZJ016598,test_features/ZJ016598.jpg,S0040,0.974,"(30, 8, 419, 708)","[0.004166, 0.04814, 0.7458, 0.7907]",True
ZJ016599,test_features/ZJ016599.jpg,S0091,0.871,"(364, 783, 70, 172)","[0.8114, 0.6666, 0.1875, 0.1444]",True
ZJ016600,test_features/ZJ016600.jpg,S0128,0.898,"(224, 344, 115, 141)","[0.5312, 0.6111, 0.2328, 0.3416]",True
ZJ016601,test_features/ZJ016601.jpg,S0162,0.0132,"(228, 111, 42, 32)","[0.1114, 0.4148, 0.04166, 0.09259]",True
ZJ016602,test_features/ZJ016602.jpg,S0040,0.0303,"(447, 53, 73, 237)","[0.05104, 0.8203, 0.2552, 0.15]",True
ZJ016603,test_features/ZJ016603.jpg,S0162,0.949,"(117, 304, 317, 463)","[0.3125, 0.2092, 0.4906, 0.6018]",True
ZJ016604,test_features/ZJ016604.jpg,S0065,,,,False
ZJ016605,test_features/ZJ016605.jpg,S0064,0.171,"(36, 240, 389, 331)","[0.2458, 0.05925, 0.3531, 0.7351]",True
ZJ016606,test_features/ZJ016606.jpg,S0012,0.156,"(295, 409, 62, 146)","[0.4218, 0.5388, 0.1604, 0.1296]",True
ZJ016607,test_features/ZJ016607.jpg,S0033,0.922,"(73, 246, 264, 390)","[0.3781, 0.1916, 0.6218, 0.7555]",True
ZJ016608,test_features/ZJ016608.jpg,S0162,0.055,"(179, 923, 128, 33)","[0.9572, 0.3398, 0.0427, 0.264]",True
ZJ016609,test_features/ZJ016609.jpg,S0082,0.569,"(183, 330, 106, 58)","[0.3395, 0.3314, 0.06875, 0.2111]",True
ZJ016610,test_features/ZJ016610.jpg,S0162,0.104,"(470, 80, 50, 114)","[0.07916, 0.8629, 0.127, 0.1074]",True
ZJ016611,test_features/ZJ016611.jpg,S0064,0.00609,"(436, 4, 83, 129)","[0, 0.8, 0.1427, 0.1685]",True
ZJ016612,test_features/ZJ016612.jpg,S0064,0.116,"(337, 278, 87, 128)","[0.2854, 0.6166, 0.1416, 0.1759]",True
ZJ016613,test_features/ZJ016613.jpg,S0040,0.965,"(26, 207, 484, 749)","[0.2114, 0.04271, 0.7885, 0.9553]",True
ZJ016614,test_features/ZJ016614.jpg,S0040,0.788,"(216, 752, 87, 172)","[0.7791, 0.3925, 0.1875, 0.1759]",True
ZJ016615,test_features/ZJ016615.jpg,S0065,0.446,"(25, 392, 138, 109)","[0.6062, 0.05833, 0.1828, 0.4055]",True
ZJ016616,test_features/ZJ016616.jpg,S0033,0.942,"(5, 4, 334, 147)","[0, 0.002777, 0.2421, 0.9499]",True
ZJ016617,test_features/ZJ016617.jpg,S0064,0.869,"(223, 814, 36, 126)","[0.8437, 0.4055, 0.1395, 0.08148]",True
ZJ016618,test_features/ZJ016618.jpg,S0040,0.699,"(343, 4, 78, 129)","[0, 0.6277, 0.1427, 0.1592]",True
ZJ016619,test_features/ZJ016619.jpg,S0040,0.0961,"(291, 4, 227, 714)","[0, 0.5314, 0.752, 0.4351]",True
ZJ016620,test_features/ZJ016620.jpg,S0040,0.713,"(241, 566, 53, 84)","[0.5854, 0.4388, 0.09583, 0.1129]",True
ZJ016621,test_features/ZJ016621.jpg,S0040,0.519,"(247, 882, 29, 54)","[0.9145, 0.4499, 0.06458, 0.06851]",True
ZJ016622,test_features/ZJ016622.jpg,S0040,,,,False
ZJ016623,test_features/ZJ016623.jpg,S0162,0.0372,"(177, 923, 132, 33)","[0.9572, 0.3359, 0.0427, 0.2718]",True
ZJ016624,test_features/ZJ016624.jpg,S0100,0.123,"(217, 116, 118, 189)","[0.1749, 0.5916, 0.3078, 0.3499]",True
ZJ016625,test_features/ZJ016625.jpg,S0037,0.969,"(67, 115, 203, 203)","[0.1734, 0.1749, 0.3296, 0.5861]",True
ZJ016626,test_features/ZJ016626.jpg,S0040,0.675,"(288, 4, 229, 952)","[0, 0.5259, 1.0, 0.4388]",True
ZJ016627,test_features/ZJ016627.jpg,S0064,0.641,"(132, 231, 282, 487)","[0.2364, 0.237, 0.5156, 0.537]",True
ZJ016628,test_features/ZJ016628.jpg,S0091,0.937,"(245, 391, 274, 348)","[0.4031, 0.4462, 0.3708, 0.5222]",True
ZJ016629,test_features/ZJ016629.jpg,S0040,0.822,"(322, 754, 197, 202)","[0.7812, 0.5888, 0.2187, 0.3796]",True
ZJ016630,test_features/ZJ016630.jpg,S0091,0.696,"(272, 132, 247, 355)","[0.1333, 0.4962, 0.3781, 0.4722]",True
ZJ016631,test_features/ZJ016631.jpg,S0055,0.296,"(132, 194, 63, 47)","[0.2968, 0.3555, 0.08593, 0.1972]",True
ZJ016632,test_features/ZJ016632.jpg,S0040,0.341,"(295, 5, 227, 948)","[0.001041, 0.5388, 0.9958, 0.4351]",True
ZJ016633,test_features/ZJ016633.jpg,S0189,0.286,"(160, 266, 39, 32)","[0.7277, 0.6499, 0.1111, 0.1958]",True
ZJ016634,test_features/ZJ016634.jpg,S0162,0.567,"(264, 195, 75, 68)","[0.1989, 0.4814, 0.07916, 0.1537]",True
ZJ016635,test_features/ZJ016635.jpg,S0128,0.439,"(192, 319, 92, 60)","[0.4921, 0.5222, 0.1062, 0.2777]",True
ZJ016636,test_features/ZJ016636.jpg,S0066,0.389,"(229, 485, 28, 70)","[0.7515, 0.625, 0.1218, 0.1]",True
ZJ016637,test_features/ZJ016637.jpg,S0082,0.699,"(177, 323, 112, 71)","[0.3322, 0.3203, 0.08229, 0.2222]",True
ZJ016638,test_features/ZJ016638.jpg,S0040,0.85,"(322, 4, 111, 162)","[0, 0.5888, 0.177, 0.2203]",True
ZJ016639,test_features/ZJ016639.jpg,S0072,0.899,"(340, 488, 99, 114)","[0.5041, 0.6222, 0.127, 0.1981]",True
ZJ016640,test_features/ZJ016640.jpg,S0116,0.887,"(186, 370, 140, 39)","[0.5718, 0.5055, 0.07343, 0.4111]",True
ZJ016641,test_features/ZJ016641.jpg,S0040,0.572,"(257, 466, 45, 109)","[0.4812, 0.4685, 0.1218, 0.09814]",True
ZJ016642,test_features/ZJ016642.jpg,S0040,0.901,"(171, 739, 148, 134)","[0.7656, 0.3092, 0.1479, 0.2888]",True
ZJ016643,test_features/ZJ016643.jpg,S0162,0.575,"(318, 745, 114, 208)","[0.7718, 0.5814, 0.2249, 0.2259]",True
ZJ016644,test_features/ZJ016644.jpg,S0033,0.746,"(125, 540, 115, 96)","[0.8374, 0.3361, 0.1624, 0.3416]",True
ZJ016645,test_features/ZJ016645.jpg,S0072,0.96,"(313, 354, 207, 322)","[0.3645, 0.5722, 0.3437, 0.3981]",True
ZJ016646,test_features/ZJ016646.jpg,S0162,0.956,"(124, 316, 312, 447)","[0.325, 0.2222, 0.4739, 0.5925]",True
ZJ016647,test_features/ZJ016647.jpg,S0072,0.136,"(325, 243, 65, 167)","[0.2489, 0.5944, 0.1822, 0.1351]",True
ZJ016648,test_features/ZJ016648.jpg,S0116,0.414,"(281, 431, 58, 32)","[0.6671, 0.7694, 0.0625, 0.1833]",True
ZJ016649,test_features/ZJ016649.jpg,S0064,,,,False
ZJ016650,test_features/ZJ016650.jpg,S0132,0.744,"(179, 43, 92, 202)","[0.06093, 0.4861, 0.3281, 0.2777]",True
ZJ016651,test_features/ZJ016651.jpg,S0162,0.825,"(394, 4, 99, 115)","[0, 0.7222, 0.1281, 0.1981]",True
ZJ016652,test_features/ZJ016652.jpg,S0128,0.0647,"(264, 211, 15, 31)","[0.3234, 0.7761, 0.06093, 0.06865]",True
ZJ016653,test_features/ZJ016653.jpg,S0100,0.933,"(226, 267, 113, 135)","[0.4109, 0.6166, 0.2234, 0.3361]",True
ZJ016654,test_features/ZJ016654.jpg,S0086,0.629,"(141, 236, 17, 37)","[0.725, 0.5708, 0.1406, 0.1041]",True
ZJ016655,test_features/ZJ016655.jpg,S0100,0.824,"(245, 265, 77, 74)","[0.4078, 0.6694, 0.1281, 0.2361]",True
ZJ016656,test_features/ZJ016656.jpg,S0162,0.841,"(307, 322, 113, 168)","[0.3312, 0.5611, 0.1833, 0.224]",True
ZJ016657,test_features/ZJ016657.jpg,S0162,0.866,"(195, 571, 132, 168)","[0.5906, 0.3537, 0.1833, 0.2592]",True
ZJ016658,test_features/ZJ016658.jpg,S0058,0.0315,"(44, 4, 70, 78)","[0, 0.3333, 0.5375, 0.6499]",True
ZJ016659,test_features/ZJ016659.jpg,S0057,0.00671,"(5, 4, 514, 952)","[0, 0.001851, 1.0, 0.9666]",True
ZJ016660,test_features/ZJ016660.jpg,S0086,0.036,"(143, 136, 14, 6)","[0.4124, 0.5791, 0.04374, 0.09166]",True
ZJ016661,test_features/ZJ016661.jpg,S0100,0.218,"(238, 279, 33, 29)","[0.4296, 0.65, 0.05781, 0.1138]",True
ZJ016662,test_features/ZJ016662.jpg,S0033,0.894,"(177, 282, 162, 292)","[0.4343, 0.4805, 0.4687, 0.4722]",True
ZJ016663,test_features/ZJ016663.jpg,S0082,0.819,"(54, 8, 465, 865)","[0.004166, 0.09259, 0.9093, 0.8759]",True
ZJ016664,test_features/ZJ016664.jpg,S0091,0.121,"(394, 379, 72, 96)","[0.3906, 0.7222, 0.1083, 0.1481]",True
ZJ016665,test_features/ZJ016665.jpg,S0041,0.228,"(160, 452, 43, 64)","[0.7, 0.4333, 0.1124, 0.1416]",True
ZJ016666,test_features/ZJ016666.jpg,S0040,0.912,"(184, 4, 333, 591)","[0, 0.3333, 0.6239, 0.6314]",True
ZJ016667,test_features/ZJ016667.jpg,S0040,0.882,"(210, 576, 102, 79)","[0.5958, 0.3814, 0.09062, 0.2037]",True
ZJ016668,test_features/ZJ016668.jpg,S0142,0.0132,"(242, 4, 46, 15)","[0, 0.6611, 0.03593, 0.15]",True
ZJ016669,test_features/ZJ016669.jpg,S0057,0.237,"(4, 118, 494, 737)","[0.1187, 0, 0.776, 0.9296]",True
ZJ016670,test_features/ZJ016670.jpg,S0039,0.478,"(375, 231, 79, 62)","[0.2364, 0.687, 0.07291, 0.1611]",True
ZJ016671,test_features/ZJ016671.jpg,S0199,0.0186,"(137, 56, 34, 123)","[0.1444, 0.5541, 0.3638, 0.1749]",True
ZJ016672,test_features/ZJ016672.jpg,S0067,0.245,"(145, 142, 210, 453)","[0.2156, 0.3916, 0.7203, 0.6055]",True
ZJ016673,test_features/ZJ016673.jpg,S0065,,,,False
ZJ016674,test_features/ZJ016674.jpg,S0189,0.751,"(163, 142, 58, 116)","[0.3833, 0.6625, 0.3444, 0.275]",True
ZJ016675,test_features/ZJ016675.jpg,S0072,0.912,"(397, 388, 122, 171)","[0.4, 0.7277, 0.1864, 0.2407]",True
ZJ016676,test_features/ZJ016676.jpg,S0128,0.364,"(326, 544, 14, 92)","[0.8437, 0.8944, 0.1562, 0.06111]",True
ZJ016677,test_features/ZJ016677.jpg,S0040,0.828,"(186, 750, 77, 206)","[0.777, 0.337, 0.2229, 0.1574]",True
ZJ016678,test_features/ZJ016678.jpg,S0086,0.358,"(123, 183, 98, 108)","[0.5593, 0.4958, 0.3625, 0.4416]",True
ZJ016679,test_features/ZJ016679.jpg,S0072,0.468,"(402, 368, 30, 162)","[0.3791, 0.737, 0.177, 0.07037]",True
ZJ016680,test_features/ZJ016680.jpg,S0040,0.0324,"(137, 429, 83, 75)","[0.4427, 0.2462, 0.08645, 0.1685]",True
ZJ016681,test_features/ZJ016681.jpg,S0037,0.728,"(233, 337, 123, 289)","[0.5203, 0.6361, 0.464, 0.3638]",True
ZJ016682,test_features/ZJ016682.jpg,S0128,0.871,"(219, 276, 96, 36)","[0.4249, 0.5972, 0.06875, 0.2888]",True
ZJ016683,test_features/ZJ016683.jpg,S0041,0.0231,"(122, 4, 55, 18)","[0, 0.3277, 0.04062, 0.1749]",True
ZJ016684,test_features/ZJ016684.jpg,S0040,0.53,"(290, 5, 230, 951)","[0.001041, 0.5296, 0.9989, 0.4407]",True
ZJ016685,test_features/ZJ016685.jpg,S0142,0.281,"(147, 465, 109, 125)","[0.7203, 0.3972, 0.2078, 0.3249]",True
ZJ016686,test_features/ZJ016686.jpg,S0067,0.432,"(232, 348, 44, 96)","[0.5374, 0.6333, 0.1624, 0.1444]",True
ZJ016687,test_features/ZJ016687.jpg,S0194,0.487,"(4, 4, 229, 19)","[0, 0, 0.075, 0.9875]",True
ZJ016688,test_features/ZJ016688.jpg,S0072,0.608,"(295, 626, 102, 103)","[0.6479, 0.5388, 0.1156, 0.2037]",True
ZJ016689,test_features/ZJ016689.jpg,S0126,0.00713,"(389, 4, 108, 153)","[0, 0.7129, 0.1677, 0.2148]",True
ZJ016690,test_features/ZJ016690.jpg,S0064,,,,False
ZJ016691,test_features/ZJ016691.jpg,S0086,0.646,"(131, 118, 100, 50)","[0.3562, 0.5291, 0.1812, 0.4499]",True
ZJ016692,test_features/ZJ016692.jpg,S0012,0.0167,"(9, 4, 507, 947)","[0, 0.009259, 0.9947, 0.9537]",True
