index,id,filepath,site,split,max_detection_conf,category,conf,bbox,bbox_true,bbox_transformed
16,ZJ000016,train_features/ZJ000016.jpg,S0105,3.0,0.0843,animal,0.0843,"[0.002777, 0, 0.9972, 1.0]",True,"(4, 5, 207, 351)"
17,ZJ000017,train_features/ZJ000017.jpg,S0080,1.0,0.077,animal,0.077,"[0.9062, 0.375, 0.09375, 0.2249]",True,"(49, 149, 19, 7)"
18,ZJ000018,train_features/ZJ000018.jpg,S0188,3.0,,,,,False,
19,ZJ000019,train_features/ZJ000019.jpg,S0097,3.0,0.738,animal,0.738,"[0.564, 0.425, 0.1812, 0.3416]",True,"(157, 365, 115, 108)"
20,ZJ000020,train_features/ZJ000020.jpg,S0105,3.0,0.167,person,0.167,"[0, 0, 1.0, 1.0]",True,"(4, 4, 207, 352)"
21,ZJ000021,train_features/ZJ000021.jpg,S0068,1.0,0.52,animal,0.52,"[0.5687, 0.6351, 0.06145, 0.3333]",True,"(347, 550, 172, 51)"
22,ZJ000022,train_features/ZJ000022.jpg,S0077,1.0,0.951,animal,0.951,"[0.5156, 0.5694, 0.2468, 0.3833]",True,"(209, 334, 130, 150)"
23,ZJ000023,train_features/ZJ000023.jpg,S0038,1.0,0.558,animal,0.558,"[0, 0.6155, 0.9989, 0.3825]",True,"(321, 4, 189, 951)"
24,ZJ000024,train_features/ZJ000024.jpg,S0014,4.0,0.693,animal,0.693,"[0.09843, 0.5111, 0.2874, 0.2833]",True,"(188, 67, 94, 176)"
25,ZJ000025,train_features/ZJ000025.jpg,S0120,2.0,0.137,animal,0.137,"[0.4114, 0.4444, 0.06979, 0.07777]",True,"(244, 399, 34, 59)"
26,ZJ000026,train_features/ZJ000026.jpg,S0049,3.0,0.957,animal,0.957,"[0.6625, 0.4111, 0.3375, 0.4805]",True,"(152, 428, 165, 208)"
27,ZJ000027,train_features/ZJ000027.jpg,S0120,2.0,0.307,animal,0.307,"[0.4041, 0.1611, 0.1104, 0.5407]",True,"(91, 392, 284, 98)"
28,ZJ000028,train_features/ZJ000028.jpg,S0170,1.0,0.615,animal,0.615,"[0.4472, 0.6583, 0.1888, 0.1791]",True,"(162, 165, 35, 60)"
29,ZJ000029,train_features/ZJ000029.jpg,S0061,1.0,,,,,False,
30,ZJ000030,train_features/ZJ000030.jpg,S0049,3.0,0.713,animal,0.713,"[0.5234, 0.4388, 0.125, 0.2194]",True,"(162, 339, 71, 72)"
31,ZJ000031,train_features/ZJ000031.jpg,S0063,1.0,0.943,animal,0.943,"[0.5041, 0.3999, 0.2187, 0.3703]",True,"(220, 488, 192, 202)"
32,ZJ000032,train_features/ZJ000032.jpg,S0014,4.0,0.878,animal,0.878,"[0.8515, 0.4694, 0.1484, 0.3]",True,"(173, 549, 100, 87)"
33,ZJ000033,train_features/ZJ000033.jpg,S0071,1.0,0.921,animal,0.921,"[0.125, 0.6037, 0.277, 0.237]",True,"(330, 124, 120, 258)"
34,ZJ000034,train_features/ZJ000034.jpg,S0063,1.0,0.877,animal,0.877,"[0.6385, 0.5296, 0.1656, 0.3851]",True,"(290, 617, 200, 151)"
35,ZJ000035,train_features/ZJ000035.jpg,S0062,2.0,0.687,animal,0.687,"[0.3322, 0.6925, 0.1343, 0.1407]",True,"(378, 323, 68, 121)"
36,ZJ000036,train_features/ZJ000036.jpg,S0060,2.0,0.886,animal,0.886,"[0, 0.7592, 0.252, 0.2092]",True,"(414, 4, 105, 234)"
37,ZJ000037,train_features/ZJ000037.jpg,S0073,3.0,0.866,animal,0.866,"[0.4953, 0.6555, 0.2312, 0.3416]",True,"(240, 321, 115, 140)"
38,ZJ000038,train_features/ZJ000038.jpg,S0070,1.0,0.546,animal,0.546,"[0.2145, 0.6481, 0.1802, 0.3203]",True,"(354, 210, 165, 165)"
39,ZJ000039,train_features/ZJ000039.jpg,S0053,3.0,0.878,animal,0.878,"[0.2843, 0.4666, 0.05937, 0.2092]",True,"(256, 277, 105, 49)"
40,ZJ000040,train_features/ZJ000040.jpg,S0060,2.0,0.452,animal,0.452,"[0.152, 0.6185, 0.1166, 0.25]",True,"(338, 150, 127, 104)"
41,ZJ000041,train_features/ZJ000041.jpg,S0188,3.0,,,,,False,
42,ZJ000042,train_features/ZJ000042.jpg,S0171,4.0,0.242,animal,0.242,"[0.5888, 0.7125, 0.2, 0.1833]",True,"(175, 216, 36, 64)"
43,ZJ000043,train_features/ZJ000043.jpg,S0134,1.0,0.629,animal,0.629,"[0.3895, 0.6148, 0.1885, 0.1814]",True,"(336, 378, 90, 173)"
44,ZJ000044,train_features/ZJ000044.jpg,S0059,4.0,0.881,animal,0.881,"[0.7583, 0.5777, 0.2239, 0.1629]",True,"(316, 732, 80, 207)"
45,ZJ000045,train_features/ZJ000045.jpg,S0077,1.0,0.0276,animal,0.0276,"[0, 0.7333, 0.1281, 0.1555]",True,"(268, 4, 48, 74)"
46,ZJ000046,train_features/ZJ000046.jpg,S0022,0.0,0.527,animal,0.527,"[0, 0.6666, 0.2374, 0.3333]",True,"(244, 4, 112, 144)"
47,ZJ000047,train_features/ZJ000047.jpg,S0089,3.0,0.209,animal,0.209,"[0.2281, 0.7861, 0.1328, 0.1666]",True,"(287, 150, 52, 77)"
48,ZJ000048,train_features/ZJ000048.jpg,S0025,4.0,0.935,animal,0.935,"[0.1703, 0.1694, 0.3703, 0.8277]",True,"(65, 113, 290, 229)"
49,ZJ000049,train_features/ZJ000049.jpg,S0063,1.0,0.953,animal,0.953,"[0.5406, 0.4462, 0.1343, 0.3685]",True,"(245, 523, 191, 121)"
50,ZJ000050,train_features/ZJ000050.jpg,S0120,2.0,0.748,animal,0.748,"[0.0552, 0.4944, 0.1458, 0.1796]",True,"(271, 57, 89, 132)"
51,ZJ000051,train_features/ZJ000051.jpg,S0042,3.0,,,,,False,
52,ZJ000052,train_features/ZJ000052.jpg,S0170,1.0,0.786,animal,0.786,"[0.3722, 0.5208, 0.3638, 0.3874]",True,"(129, 138, 85, 123)"
53,ZJ000053,train_features/ZJ000053.jpg,S0071,1.0,,,,,False,
54,ZJ000054,train_features/ZJ000054.jpg,S0063,1.0,0.358,animal,0.358,"[0.6406, 0.7796, 0.1239, 0.1018]",True,"(425, 619, 47, 111)"
55,ZJ000055,train_features/ZJ000055.jpg,S0021,2.0,0.116,animal,0.116,"[0.5124, 0.4416, 0.1015, 0.1861]",True,"(163, 332, 59, 57)"
56,ZJ000056,train_features/ZJ000056.jpg,S0060,2.0,0.901,animal,0.901,"[0.4083, 0.5425, 0.2374, 0.2351]",True,"(297, 396, 119, 220)"
57,ZJ000057,train_features/ZJ000057.jpg,S0184,0.0,0.735,animal,0.735,"[0.2197, 0.4277, 0.0802, 0.1296]",True,"(235, 215, 62, 69)"
58,ZJ000058,train_features/ZJ000058.jpg,S0027,3.0,0.296,animal,0.296,"[0.7265, 0.4444, 0.2734, 0.4638]",True,"(164, 469, 159, 167)"
59,ZJ000059,train_features/ZJ000059.jpg,S0026,0.0,0.693,animal,0.693,"[0, 0.3333, 0.04687, 0.2638]",True,"(124, 4, 87, 22)"
60,ZJ000060,train_features/ZJ000060.jpg,S0004,2.0,0.307,animal,0.307,"[0.8625, 0.7944, 0.1, 0.1138]",True,"(290, 556, 33, 56)"
61,ZJ000061,train_features/ZJ000061.jpg,S0022,0.0,0.0275,animal,0.0275,"[0.7046, 0.7333, 0.1171, 0.1027]",True,"(268, 455, 29, 67)"
62,ZJ000062,train_features/ZJ000062.jpg,S0120,2.0,,,,,False,
63,ZJ000063,train_features/ZJ000063.jpg,S0024,2.0,0.363,animal,0.363,"[0.5093, 0.002985, 0.4906, 0.994]",True,"(5, 330, 325, 306)"
64,ZJ000064,train_features/ZJ000064.jpg,S0035,3.0,0.113,animal,0.113,"[0.9406, 0, 0.05937, 0.9888]",True,"(4, 606, 348, 30)"
65,ZJ000065,train_features/ZJ000065.jpg,S0063,1.0,0.968,animal,0.968,"[0.7645, 0.337, 0.2041, 0.6314]",True,"(186, 738, 333, 188)"
66,ZJ000066,train_features/ZJ000066.jpg,S0019,0.0,0.845,animal,0.845,"[0.09895, 0.7425, 0.6343, 0.2277]",True,"(405, 99, 115, 601)"
67,ZJ000067,train_features/ZJ000067.jpg,S0018,3.0,0.905,animal,0.905,"[0.7135, 0.637, 0.102, 0.287]",True,"(348, 689, 147, 90)"
68,ZJ000068,train_features/ZJ000068.jpg,S0069,3.0,0.726,animal,0.726,"[0.3614, 0.8425, 0.07604, 0.1277]",True,"(459, 351, 61, 65)"
69,ZJ000069,train_features/ZJ000069.jpg,S0060,2.0,0.709,animal,0.709,"[0.04791, 0.5055, 0.4083, 0.3592]",True,"(277, 50, 186, 384)"
70,ZJ000070,train_features/ZJ000070.jpg,S0008,4.0,0.0314,animal,0.0314,"[0, 0.6944, 0.2125, 0.2583]",True,"(254, 4, 85, 128)"
71,ZJ000071,train_features/ZJ000071.jpg,S0081,1.0,0.83,animal,0.83,"[0, 0.7666, 0.06562, 0.1981]",True,"(418, 4, 99, 55)"
72,ZJ000072,train_features/ZJ000072.jpg,S0014,4.0,0.872,animal,0.872,"[0.4281, 0.3194, 0.4124, 0.6333]",True,"(119, 278, 220, 256)"
73,ZJ000073,train_features/ZJ000073.jpg,S0060,2.0,0.49,animal,0.49,"[0.3156, 0.5796, 0.1854, 0.1518]",True,"(317, 307, 74, 170)"
74,ZJ000074,train_features/ZJ000074.jpg,S0008,4.0,0.754,animal,0.754,"[0.3249, 0.4888, 0.08124, 0.2638]",True,"(180, 212, 87, 44)"
75,ZJ000075,train_features/ZJ000075.jpg,S0060,2.0,0.718,animal,0.718,"[0.7374, 0.5722, 0.2624, 0.1777]",True,"(313, 712, 88, 244)"
76,ZJ000076,train_features/ZJ000076.jpg,S0120,2.0,0.914,animal,0.914,"[0.6718, 0.3333, 0.1124, 0.124]",True,"(184, 649, 59, 100)"
77,ZJ000077,train_features/ZJ000077.jpg,S0069,3.0,0.124,animal,0.124,"[0.5041, 0.7203, 0.3458, 0.2481]",True,"(393, 488, 126, 324)"
78,ZJ000078,train_features/ZJ000078.jpg,S0125,2.0,0.901,animal,0.901,"[0.25, 0.001851, 0.6885, 0.9666]",True,"(5, 244, 514, 653)"
79,ZJ000079,train_features/ZJ000079.jpg,S0008,4.0,0.256,animal,0.256,"[0.001562, 0, 0.8921, 0.9527]",True,"(4, 5, 335, 563)"
80,ZJ000080,train_features/ZJ000080.jpg,S0080,1.0,0.686,animal,0.686,"[0.5125, 0.2416, 0.2937, 0.6833]",True,"(33, 86, 74, 39)"
81,ZJ000081,train_features/ZJ000081.jpg,S0089,3.0,,,,,False,
82,ZJ000082,train_features/ZJ000082.jpg,S0110,4.0,0.109,animal,0.109,"[0.2218, 0.4638, 0.07656, 0.1722]",True,"(171, 146, 54, 41)"
83,ZJ000083,train_features/ZJ000083.jpg,S0127,3.0,0.0301,animal,0.0301,"[0.1187, 0.6805, 0.1375, 0.1666]",True,"(249, 80, 52, 80)"
84,ZJ000084,train_features/ZJ000084.jpg,S0159,2.0,0.0324,animal,0.0324,"[0.7484, 0.3527, 0.2515, 0.5222]",True,"(131, 483, 180, 153)"
85,ZJ000085,train_features/ZJ000085.jpg,S0051,4.0,0.934,animal,0.934,"[0, 0.5074, 0.427, 0.2722]",True,"(278, 4, 139, 402)"
86,ZJ000086,train_features/ZJ000086.jpg,S0112,0.0,0.901,animal,0.901,"[0.4874, 0.2611, 0.5124, 0.6916]",True,"(98, 316, 241, 320)"
87,ZJ000087,train_features/ZJ000087.jpg,S0108,0.0,0.793,animal,0.793,"[0.04531, 0.6583, 0.1062, 0.1805]",True,"(241, 33, 57, 60)"
88,ZJ000088,train_features/ZJ000088.jpg,S0074,0.0,0.292,animal,0.292,"[0.3421, 0.6638, 0.1015, 0.1305]",True,"(243, 223, 39, 57)"
89,ZJ000089,train_features/ZJ000089.jpg,S0157,0.0,0.496,person,0.496,"[0.001562, 0.4194, 0.1171, 0.3222]",True,"(155, 5, 108, 67)"
90,ZJ000090,train_features/ZJ000090.jpg,S0155,1.0,0.0143,animal,0.0143,"[0.6708, 0.1029, 0.04062, 0.1475]",True,"(57, 648, 68, 31)"
91,ZJ000091,train_features/ZJ000091.jpg,S0122,0.0,0.0437,animal,0.0437,"[0.739, 0.5805, 0.06718, 0.3722]",True,"(213, 477, 126, 35)"
92,ZJ000092,train_features/ZJ000092.jpg,S0089,3.0,0.0763,animal,0.0763,"[0.6343, 0.8111, 0.09843, 0.1416]",True,"(296, 410, 43, 55)"
93,ZJ000093,train_features/ZJ000093.jpg,S0095,2.0,0.951,animal,0.951,"[0.3895, 0.6314, 0.2364, 0.337]",True,"(345, 378, 174, 219)"
94,ZJ000094,train_features/ZJ000094.jpg,S0123,0.0,0.922,animal,0.922,"[0.5484, 0.6694, 0.1421, 0.2388]",True,"(245, 355, 78, 83)"
95,ZJ000095,train_features/ZJ000095.jpg,S0071,1.0,0.666,animal,0.666,"[0.5395, 0.6759, 0.1322, 0.2925]",True,"(369, 522, 150, 119)"
96,ZJ000096,train_features/ZJ000096.jpg,S0014,4.0,0.255,animal,0.255,"[0, 0.002777, 0.9984, 0.9916]",True,"(5, 4, 349, 631)"
97,ZJ000097,train_features/ZJ000097.jpg,S0001,0.0,0.372,animal,0.372,"[0.001562, 0, 0.9968, 0.9527]",True,"(4, 5, 335, 630)"
98,ZJ000098,train_features/ZJ000098.jpg,S0075,4.0,0.836,animal,0.836,"[0.4843, 0.5083, 0.1343, 0.1666]",True,"(187, 314, 52, 78)"
99,ZJ000099,train_features/ZJ000099.jpg,S0023,2.0,0.00806,animal,0.00806,"[0.8484, 0.9611, 0.06406, 0.0388]",True,"(326, 547, 5, 33)"
100,ZJ000100,train_features/ZJ000100.jpg,S0008,4.0,0.704,animal,0.704,"[0, 0.6972, 0.2343, 0.2555]",True,"(255, 4, 84, 142)"
101,ZJ000101,train_features/ZJ000101.jpg,S0149,0.0,0.924,animal,0.924,"[0.4406, 0.3527, 0.3031, 0.3888]",True,"(131, 286, 132, 186)"
102,ZJ000102,train_features/ZJ000102.jpg,S0185,0.0,0.843,animal,0.843,"[0, 0.09722, 1.0, 0.8999]",True,"(39, 4, 316, 632)"
103,ZJ000103,train_features/ZJ000103.jpg,S0035,3.0,0.879,animal,0.879,"[0.1812, 0.4555, 0.339, 0.4138]",True,"(168, 120, 141, 209)"
104,ZJ000104,train_features/ZJ000104.jpg,S0185,0.0,,,,,False,
105,ZJ000105,train_features/ZJ000105.jpg,S0069,3.0,0.53,animal,0.53,"[0.5281, 0.07592, 0.07291, 0.3722]",True,"(45, 511, 193, 62)"
106,ZJ000106,train_features/ZJ000106.jpg,S0043,3.0,0.924,animal,0.924,"[0.7468, 0, 0.2531, 1.0]",True,"(4, 482, 327, 154)"
107,ZJ000107,train_features/ZJ000107.jpg,S0059,4.0,,,,,False,
108,ZJ000108,train_features/ZJ000108.jpg,S0043,3.0,0.884,animal,0.884,"[0.7437, 0, 0.2562, 1.0]",True,"(4, 480, 327, 156)"
109,ZJ000109,train_features/ZJ000109.jpg,S0159,2.0,0.478,animal,0.478,"[0, 0.6499, 0.3062, 0.3499]",True,"(82, 4, 34, 41)"
110,ZJ000110,train_features/ZJ000110.jpg,S0001,0.0,0.0227,animal,0.0227,"[0, 0.002777, 1.0, 0.9527]",True,"(5, 4, 335, 632)"
111,ZJ000111,train_features/ZJ000111.jpg,S0088,1.0,0.908,animal,0.908,"[0.5203, 0.4499, 0.1156, 0.25]",True,"(166, 337, 82, 66)"
112,ZJ000112,train_features/ZJ000112.jpg,S0130,4.0,0.144,animal,0.144,"[0.4796, 0.6611, 0.1531, 0.1527]",True,"(242, 311, 47, 90)"
113,ZJ000113,train_features/ZJ000113.jpg,S0060,2.0,0.941,animal,0.941,"[0, 0.7277, 0.1791, 0.2407]",True,"(397, 4, 122, 164)"
114,ZJ000114,train_features/ZJ000114.jpg,S0088,1.0,0.745,animal,0.745,"[0.3046, 0.5671, 0.05468, 0.182]",True,"(194, 199, 53, 27)"
115,ZJ000115,train_features/ZJ000115.jpg,S0186,4.0,0.879,animal,0.879,"[0, 0.7296, 0.3447, 0.2388]",True,"(398, 4, 121, 323)"
116,ZJ000116,train_features/ZJ000116.jpg,S0124,1.0,0.937,animal,0.937,"[0.5166, 0.7629, 0.4822, 0.2055]",True,"(416, 500, 103, 455)"
117,ZJ000117,train_features/ZJ000117.jpg,S0009,0.0,0.715,animal,0.715,"[0.4781, 0.4611, 0.09218, 0.1194]",True,"(170, 310, 35, 51)"
118,ZJ000118,train_features/ZJ000118.jpg,S0130,4.0,0.0172,animal,0.0172,"[0.4718, 0.6638, 0.2578, 0.1583]",True,"(243, 306, 49, 157)"
119,ZJ000119,train_features/ZJ000119.jpg,S0023,2.0,0.0199,vehicle,0.0199,"[0, 0.9432, 0.05781, 0.05671]",True,"(320, 4, 11, 29)"
120,ZJ000120,train_features/ZJ000120.jpg,S0070,1.0,0.0345,animal,0.0345,"[0.6197, 0.6444, 0.1406, 0.1148]",True,"(352, 599, 54, 127)"
121,ZJ000121,train_features/ZJ000121.jpg,S0069,3.0,0.568,animal,0.568,"[0.4041, 0, 0.09375, 0.9685]",True,"(4, 392, 515, 82)"
122,ZJ000122,train_features/ZJ000122.jpg,S0009,0.0,0.316,animal,0.316,"[0.6359, 0.6611, 0.1453, 0.09166]",True,"(242, 411, 25, 85)"
123,ZJ000123,train_features/ZJ000123.jpg,S0021,2.0,0.818,animal,0.818,"[0.3562, 0.4638, 0.2781, 0.3305]",True,"(171, 232, 111, 170)"
124,ZJ000124,train_features/ZJ000124.jpg,S0108,0.0,0.701,animal,0.701,"[0.03281, 0.35, 0.1421, 0.4277]",True,"(130, 25, 146, 83)"
125,ZJ000125,train_features/ZJ000125.jpg,S0008,4.0,0.717,animal,0.717,"[0, 0.6722, 0.2109, 0.2805]",True,"(246, 4, 93, 127)"
126,ZJ000126,train_features/ZJ000126.jpg,S0043,3.0,,,,,False,
127,ZJ000127,train_features/ZJ000127.jpg,S0031,2.0,0.905,animal,0.905,"[0.3828, 0.5527, 0.2171, 0.2944]",True,"(203, 249, 98, 131)"
128,ZJ000128,train_features/ZJ000128.jpg,S0046,2.0,0.0573,person,0.0573,"[0.9249, 0.8833, 0.025, 0.04166]",True,"(110, 152, -3, -4)"
129,ZJ000129,train_features/ZJ000129.jpg,S0136,0.0,,,,,False,
130,ZJ000130,train_features/ZJ000130.jpg,S0174,1.0,0.77,animal,0.77,"[0.7687, 0.6027, 0.2312, 0.2055]",True,"(221, 496, 66, 140)"
131,ZJ000131,train_features/ZJ000131.jpg,S0056,2.0,0.0768,animal,0.0768,"[0, 0, 1.0, 1.0]",True,"(4, 4, 112, 152)"
132,ZJ000132,train_features/ZJ000132.jpg,S0060,2.0,0.676,animal,0.676,"[0.5781, 0.6555, 0.2479, 0.2388]",True,"(358, 559, 121, 230)"
133,ZJ000133,train_features/ZJ000133.jpg,S0060,2.0,0.835,animal,0.835,"[0.1656, 0.5981, 0.1958, 0.1777]",True,"(327, 163, 88, 180)"
134,ZJ000134,train_features/ZJ000134.jpg,S0019,0.0,0.896,animal,0.896,"[0, 0.1203, 1.0, 0.8314]",True,"(69, 4, 441, 952)"
135,ZJ000135,train_features/ZJ000135.jpg,S0013,3.0,0.882,animal,0.882,"[0.5578, 0.7583, 0.3421, 0.2416]",True,"(277, 361, 79, 211)"
136,ZJ000136,train_features/ZJ000136.jpg,S0020,4.0,,,,,False,
137,ZJ000137,train_features/ZJ000137.jpg,S0013,3.0,0.183,animal,0.183,"[0.2421, 0.4833, 0.2015, 0.2333]",True,"(178, 159, 76, 121)"
138,ZJ000138,train_features/ZJ000138.jpg,S0043,3.0,0.723,animal,0.723,"[0.5906, 0, 0.4093, 1.0]",True,"(4, 382, 327, 254)"
139,ZJ000139,train_features/ZJ000139.jpg,S0060,2.0,0.592,animal,0.592,"[0.06666, 0.6555, 0.1416, 0.2129]",True,"(358, 68, 107, 128)"
140,ZJ000140,train_features/ZJ000140.jpg,S0063,1.0,0.707,animal,0.707,"[0.6687, 0.5185, 0.05729, 0.1574]",True,"(284, 646, 77, 47)"
141,ZJ000141,train_features/ZJ000141.jpg,S0005,4.0,0.015,animal,0.015,"[0.7546, 0.7499, 0.05, 0.05]",True,"(274, 487, 10, 24)"
142,ZJ000142,train_features/ZJ000142.jpg,S0022,0.0,0.0932,animal,0.0932,"[0.02968, 0.4611, 0.07187, 0.1861]",True,"(170, 23, 59, 38)"
143,ZJ000143,train_features/ZJ000143.jpg,S0120,2.0,0.133,animal,0.133,"[0.35, 0.2629, 0.1072, 0.09814]",True,"(146, 340, 45, 95)"
144,ZJ000144,train_features/ZJ000144.jpg,S0013,3.0,0.0302,animal,0.0302,"[0, 0.2305, 0.1203, 0.4805]",True,"(87, 4, 165, 69)"
145,ZJ000145,train_features/ZJ000145.jpg,S0123,0.0,0.685,animal,0.685,"[0.3078, 0.7166, 0.2578, 0.2361]",True,"(262, 201, 77, 157)"
146,ZJ000146,train_features/ZJ000146.jpg,S0120,2.0,0.739,animal,0.739,"[0.1052, 0.5277, 0.2291, 0.224]",True,"(289, 105, 113, 212)"
147,ZJ000147,train_features/ZJ000147.jpg,S0059,4.0,0.395,animal,0.395,"[0.4374, 0.65, 0.08229, 0.08518]",True,"(355, 424, 38, 71)"
148,ZJ000148,train_features/ZJ000148.jpg,S0026,0.0,0.486,animal,0.486,"[0.02499, 0.6166, 0.1812, 0.1722]",True,"(226, 20, 54, 108)"
149,ZJ000149,train_features/ZJ000149.jpg,S0030,1.0,0.877,animal,0.877,"[0.8718, 0.3333, 0.1145, 0.25]",True,"(184, 841, 127, 102)"
150,ZJ000150,train_features/ZJ000150.jpg,S0184,0.0,0.101,animal,0.101,"[0.7822, 0.6351, 0.1447, 0.1314]",True,"(347, 755, 63, 131)"
151,ZJ000151,train_features/ZJ000151.jpg,S0059,4.0,0.844,animal,0.844,"[0.5562, 0.5574, 0.2072, 0.3444]",True,"(305, 538, 178, 191)"
152,ZJ000152,train_features/ZJ000152.jpg,S0063,1.0,0.553,animal,0.553,"[0.5458, 0.4037, 0.1447, 0.2388]",True,"(222, 528, 121, 131)"
153,ZJ000153,train_features/ZJ000153.jpg,S0008,4.0,0.574,animal,0.574,"[0.0625, 0.7111, 0.1468, 0.2416]",True,"(260, 44, 79, 86)"
154,ZJ000154,train_features/ZJ000154.jpg,S0009,0.0,0.795,animal,0.795,"[0.8796, 0.825, 0.1203, 0.1277]",True,"(301, 567, 38, 69)"
155,ZJ000155,train_features/ZJ000155.jpg,S0136,0.0,0.00531,person,0.00531,"[0, 0.5972, 0.06093, 0.3249]",True,"(219, 4, 109, 31)"
156,ZJ000156,train_features/ZJ000156.jpg,S0038,1.0,0.843,animal,0.843,"[0, 0.3844, 1.0, 0.6116]",True,"(202, 4, 307, 952)"
157,ZJ000157,train_features/ZJ000157.jpg,S0158,0.0,0.953,animal,0.953,"[0, 0, 0.7984, 0.9527]",True,"(4, 4, 335, 503)"
158,ZJ000158,train_features/ZJ000158.jpg,S0060,2.0,0.44,animal,0.44,"[0, 0.7425, 0.1354, 0.2222]",True,"(405, 4, 112, 122)"
159,ZJ000159,train_features/ZJ000159.jpg,S0156,0.0,0.319,animal,0.319,"[0.3197, 0.7759, 0.1385, 0.174]",True,"(423, 311, 86, 125)"
160,ZJ000160,train_features/ZJ000160.jpg,S0071,1.0,0.769,animal,0.769,"[0.127, 0.4925, 0.1291, 0.09629]",True,"(270, 126, 44, 116)"
161,ZJ000161,train_features/ZJ000161.jpg,S0022,0.0,0.289,animal,0.289,"[0, 0.6583, 0.2374, 0.3416]",True,"(241, 4, 115, 144)"
162,ZJ000162,train_features/ZJ000162.jpg,S0071,1.0,0.801,animal,0.801,"[0.6656, 0.4407, 0.1416, 0.1537]",True,"(242, 643, 75, 128)"
163,ZJ000163,train_features/ZJ000163.jpg,S0004,2.0,0.801,animal,0.801,"[0.5828, 0.8833, 0.125, 0.07222]",True,"(322, 377, 18, 72)"
164,ZJ000164,train_features/ZJ000164.jpg,S0077,1.0,0.574,animal,0.574,"[0.6796, 0.5555, 0.2374, 0.3722]",True,"(204, 439, 126, 144)"
165,ZJ000165,train_features/ZJ000165.jpg,S0001,0.0,,,,,False,
166,ZJ000166,train_features/ZJ000166.jpg,S0043,3.0,0.944,animal,0.944,"[0.4421, 0.3223, 0.25, 0.6776]",True,"(112, 287, 219, 152)"
167,ZJ000167,train_features/ZJ000167.jpg,S0016,1.0,0.814,animal,0.814,"[0.3083, 0.4462, 0.1052, 0.5055]",True,"(245, 300, 265, 93)"
168,ZJ000168,train_features/ZJ000168.jpg,S0008,4.0,0.0495,animal,0.0495,"[0.001562, 0, 0.9765, 0.9527]",True,"(4, 5, 335, 617)"
169,ZJ000169,train_features/ZJ000169.jpg,S0036,0.0,0.515,animal,0.515,"[0.6968, 0.7722, 0.1781, 0.1361]",True,"(282, 450, 41, 106)"
170,ZJ000170,train_features/ZJ000170.jpg,S0063,1.0,0.964,animal,0.964,"[0.4989, 0.6166, 0.501, 0.3499]",True,"(337, 483, 181, 473)"
