image_name,file,max_detection_conf,category,conf,bbox,bbox_normalized,bbox_true,bbox_im_size_224
ZJ000046,ZJ000046.jpg,0.527,animal,0.527,"(244, 4, 112, 144)","[0, 0.6666, 0.2374, 0.3333]",True,"(153, 4, 67, 45)"
ZJ000047,ZJ000047.jpg,0.209,animal,0.209,"(287, 150, 52, 77)","[0.2281, 0.7861, 0.1328, 0.1666]",True,"(180, 55, 29, 22)"
ZJ000048,ZJ000048.jpg,0.935,animal,0.935,"(65, 113, 290, 229)","[0.1703, 0.1694, 0.3703, 0.8277]",True,"(42, 42, 177, 75)"
ZJ000049,ZJ000049.jpg,0.953,animal,0.953,"(245, 523, 191, 121)","[0.5406, 0.4462, 0.1343, 0.3685]",True,"(104, 125, 75, 22)"
ZJ000050,ZJ000050.jpg,0.748,animal,0.748,"(271, 57, 89, 132)","[0.0552, 0.4944, 0.1458, 0.1796]",True,"(115, 16, 32, 25)"
ZJ000051,ZJ000051.jpg,,,,,,False,
ZJ000052,ZJ000052.jpg,0.786,animal,0.786,"(129, 138, 85, 123)","[0.3722, 0.5208, 0.3638, 0.3874]",True,"(121, 87, 79, 73)"
ZJ000053,ZJ000053.jpg,,,,,,False,
ZJ000054,ZJ000054.jpg,0.358,animal,0.358,"(425, 619, 47, 111)","[0.6406, 0.7796, 0.1239, 0.1018]",True,"(179, 147, 15, 20)"
ZJ000055,ZJ000055.jpg,0.116,animal,0.116,"(163, 332, 59, 57)","[0.5124, 0.4416, 0.1015, 0.1861]",True,"(103, 119, 34, 15)"
ZJ000056,ZJ000056.jpg,0.901,animal,0.901,"(297, 396, 119, 220)","[0.4083, 0.5425, 0.2374, 0.2351]",True,"(126, 95, 45, 45)"
ZJ000057,ZJ000057.jpg,0.735,animal,0.735,"(235, 215, 62, 69)","[0.2197, 0.4277, 0.0802, 0.1296]",True,"(100, 53, 21, 10)"
ZJ000058,ZJ000058.jpg,0.296,animal,0.296,"(164, 469, 159, 167)","[0.7265, 0.4444, 0.2734, 0.4638]",True,"(104, 167, 96, 53)"
ZJ000059,ZJ000059.jpg,0.693,animal,0.693,"(124, 4, 87, 22)","[0, 0.3333, 0.04687, 0.2638]",True,"(79, 4, 51, 2)"
ZJ000060,ZJ000060.jpg,0.307,animal,0.307,"(290, 556, 33, 56)","[0.8625, 0.7944, 0.1, 0.1138]",True,"(182, 197, 17, 14)"
ZJ000061,ZJ000061.jpg,0.0275,animal,0.0275,"(268, 455, 29, 67)","[0.7046, 0.7333, 0.1171, 0.1027]",True,"(168, 162, 15, 18)"
ZJ000062,ZJ000062.jpg,,,,,,False,
ZJ000063,ZJ000063.jpg,0.363,animal,0.363,"(5, 330, 325, 306)","[0.5093, 0.002985, 0.4906, 0.994]",True,"(5, 118, 215, 102)"
ZJ000064,ZJ000064.jpg,0.113,animal,0.113,"(4, 606, 348, 30)","[0.9406, 0, 0.05937, 0.9888]",True,"(4, 215, 213, 5)"
ZJ000065,ZJ000065.jpg,0.968,animal,0.968,"(186, 738, 333, 188)","[0.7645, 0.337, 0.2041, 0.6314]",True,"(79, 175, 133, 38)"
ZJ000066,ZJ000066.jpg,0.845,animal,0.845,"(405, 99, 115, 601)","[0.09895, 0.7425, 0.6343, 0.2277]",True,"(170, 26, 43, 134)"
ZJ000067,ZJ000067.jpg,0.905,animal,0.905,"(348, 689, 147, 90)","[0.7135, 0.637, 0.102, 0.287]",True,"(147, 164, 56, 15)"
ZJ000068,ZJ000068.jpg,0.726,animal,0.726,"(459, 351, 61, 65)","[0.3614, 0.8425, 0.07604, 0.1277]",True,"(193, 85, 21, 9)"
ZJ000069,ZJ000069.jpg,0.709,animal,0.709,"(277, 50, 186, 384)","[0.04791, 0.5055, 0.4083, 0.3592]",True,"(117, 15, 72, 83)"
ZJ000070,ZJ000070.jpg,0.0314,animal,0.0314,"(254, 4, 85, 128)","[0, 0.6944, 0.2125, 0.2583]",True,"(160, 4, 50, 40)"
ZJ000071,ZJ000071.jpg,0.83,animal,0.83,"(418, 4, 99, 55)","[0, 0.7666, 0.06562, 0.1981]",True,"(176, 4, 36, 7)"
ZJ000072,ZJ000072.jpg,0.872,animal,0.872,"(119, 278, 220, 256)","[0.4281, 0.3194, 0.4124, 0.6333]",True,"(76, 100, 134, 84)"
ZJ000073,ZJ000073.jpg,0.49,animal,0.49,"(317, 307, 74, 170)","[0.3156, 0.5796, 0.1854, 0.1518]",True,"(134, 75, 26, 34)"
ZJ000074,ZJ000074.jpg,0.754,animal,0.754,"(180, 212, 87, 44)","[0.3249, 0.4888, 0.08124, 0.2638]",True,"(113, 77, 51, 10)"
ZJ000075,ZJ000075.jpg,0.718,animal,0.718,"(313, 712, 88, 244)","[0.7374, 0.5722, 0.2624, 0.1777]",True,"(132, 169, 32, 51)"
ZJ000076,ZJ000076.jpg,0.914,animal,0.914,"(184, 649, 59, 100)","[0.6718, 0.3333, 0.1124, 0.124]",True,"(79, 154, 20, 17)"
ZJ000077,ZJ000077.jpg,0.124,animal,0.124,"(393, 488, 126, 324)","[0.5041, 0.7203, 0.3458, 0.2481]",True,"(165, 117, 48, 69)"
ZJ000078,ZJ000078.jpg,0.901,animal,0.901,"(5, 244, 514, 653)","[0.25, 0.001851, 0.6885, 0.9666]",True,"(4, 60, 209, 146)"
ZJ000079,ZJ000079.jpg,0.256,animal,0.256,"(4, 5, 335, 563)","[0.001562, 0, 0.8921, 0.9527]",True,"(4, 4, 205, 192)"
ZJ000080,ZJ000080.jpg,0.686,animal,0.686,"(33, 86, 74, 39)","[0.5125, 0.2416, 0.2937, 0.6833]",True,"(58, 119, 145, 58)"
ZJ000081,ZJ000081.jpg,,,,,,False,
ZJ000082,ZJ000082.jpg,0.109,animal,0.109,"(171, 146, 54, 41)","[0.2218, 0.4638, 0.07656, 0.1722]",True,"(108, 54, 31, 9)"
ZJ000083,ZJ000083.jpg,0.0301,animal,0.0301,"(249, 80, 52, 80)","[0.1187, 0.6805, 0.1375, 0.1666]",True,"(156, 31, 29, 23)"
ZJ000084,ZJ000084.jpg,0.0324,animal,0.0324,"(131, 483, 180, 153)","[0.7484, 0.3527, 0.2515, 0.5222]",True,"(83, 172, 109, 48)"
ZJ000085,ZJ000085.jpg,0.934,animal,0.934,"(278, 4, 139, 402)","[0, 0.5074, 0.427, 0.2722]",True,"(118, 4, 53, 88)"
ZJ000086,ZJ000086.jpg,0.901,animal,0.901,"(98, 316, 241, 320)","[0.4874, 0.2611, 0.5124, 0.6916]",True,"(62, 113, 147, 107)"
ZJ000087,ZJ000087.jpg,0.793,animal,0.793,"(241, 33, 57, 60)","[0.04531, 0.6583, 0.1062, 0.1805]",True,"(151, 14, 32, 16)"
ZJ000088,ZJ000088.jpg,0.292,animal,0.292,"(243, 223, 39, 57)","[0.3421, 0.6638, 0.1015, 0.1305]",True,"(153, 81, 21, 15)"
ZJ000089,ZJ000089.jpg,0.496,person,0.496,"(155, 5, 108, 67)","[0.001562, 0.4194, 0.1171, 0.3222]",True,"(98, 4, 64, 18)"
ZJ000090,ZJ000090.jpg,0.0143,animal,0.0143,"(57, 648, 68, 31)","[0.6708, 0.1029, 0.04062, 0.1475]",True,"(27, 154, 25, 1)"
ZJ000091,ZJ000091.jpg,0.0437,animal,0.0437,"(213, 477, 126, 35)","[0.739, 0.5805, 0.06718, 0.3722]",True,"(134, 170, 75, 7)"
ZJ000092,ZJ000092.jpg,0.0763,animal,0.0763,"(296, 410, 43, 55)","[0.6343, 0.8111, 0.09843, 0.1416]",True,"(186, 146, 24, 14)"
ZJ000093,ZJ000093.jpg,0.951,animal,0.951,"(345, 378, 174, 219)","[0.3895, 0.6314, 0.2364, 0.337]",True,"(145, 91, 67, 45)"
ZJ000094,ZJ000094.jpg,0.922,animal,0.922,"(245, 355, 78, 83)","[0.5484, 0.6694, 0.1421, 0.2388]",True,"(154, 127, 45, 24)"
ZJ000095,ZJ000095.jpg,0.666,animal,0.666,"(369, 522, 150, 119)","[0.5395, 0.6759, 0.1322, 0.2925]",True,"(155, 125, 58, 22)"
ZJ000096,ZJ000096.jpg,0.255,animal,0.255,"(5, 4, 349, 631)","[0, 0.002777, 0.9984, 0.9916]",True,"(5, 4, 214, 216)"
ZJ000097,ZJ000097.jpg,0.372,animal,0.372,"(4, 5, 335, 630)","[0.001562, 0, 0.9968, 0.9527]",True,"(4, 4, 205, 215)"
ZJ000098,ZJ000098.jpg,0.836,animal,0.836,"(187, 314, 52, 78)","[0.4843, 0.5083, 0.1343, 0.1666]",True,"(118, 112, 29, 22)"
ZJ000099,ZJ000099.jpg,0.00806,animal,0.00806,"(326, 547, 5, 33)","[0.8484, 0.9611, 0.06406, 0.0388]",True,"(219, 194, 1, 6)"
ZJ000100,ZJ000100.jpg,0.704,animal,0.704,"(255, 4, 84, 142)","[0, 0.6972, 0.2343, 0.2555]",True,"(160, 4, 49, 44)"
ZJ000101,ZJ000101.jpg,0.924,animal,0.924,"(131, 286, 132, 186)","[0.4406, 0.3527, 0.3031, 0.3888]",True,"(83, 103, 79, 60)"
ZJ000102,ZJ000102.jpg,0.843,animal,0.843,"(39, 4, 316, 632)","[0, 0.09722, 1.0, 0.8999]",True,"(26, 4, 194, 216)"
ZJ000103,ZJ000103.jpg,0.879,animal,0.879,"(168, 120, 141, 209)","[0.1812, 0.4555, 0.339, 0.4138]",True,"(106, 45, 85, 68)"
ZJ000104,ZJ000104.jpg,,,,,,False,
ZJ000105,ZJ000105.jpg,0.53,animal,0.53,"(45, 511, 193, 62)","[0.5281, 0.07592, 0.07291, 0.3722]",True,"(21, 122, 75, 8)"
ZJ000106,ZJ000106.jpg,0.924,animal,0.924,"(4, 482, 327, 154)","[0.7468, 0, 0.2531, 1.0]",True,"(4, 171, 216, 49)"
ZJ000107,ZJ000107.jpg,,,,,,False,
ZJ000108,ZJ000108.jpg,0.884,animal,0.884,"(4, 480, 327, 156)","[0.7437, 0, 0.2562, 1.0]",True,"(4, 171, 216, 49)"
ZJ000109,ZJ000109.jpg,0.478,animal,0.478,"(82, 4, 34, 41)","[0, 0.6499, 0.3062, 0.3499]",True,"(150, 4, 70, 61)"
ZJ000110,ZJ000110.jpg,0.0227,animal,0.0227,"(5, 4, 335, 632)","[0, 0.002777, 1.0, 0.9527]",True,"(5, 4, 205, 216)"
ZJ000111,ZJ000111.jpg,0.908,animal,0.908,"(166, 337, 82, 66)","[0.5203, 0.4499, 0.1156, 0.25]",True,"(105, 121, 48, 18)"
ZJ000112,ZJ000112.jpg,0.144,animal,0.144,"(242, 311, 47, 90)","[0.4796, 0.6611, 0.1531, 0.1527]",True,"(152, 111, 26, 26)"
ZJ000113,ZJ000113.jpg,0.941,animal,0.941,"(397, 4, 122, 164)","[0, 0.7277, 0.1791, 0.2407]",True,"(167, 4, 46, 32)"
ZJ000114,ZJ000114.jpg,0.745,animal,0.745,"(194, 199, 53, 27)","[0.3046, 0.5671, 0.05468, 0.182]",True,"(131, 72, 33, 4)"
ZJ000115,ZJ000115.jpg,0.879,animal,0.879,"(398, 4, 121, 323)","[0, 0.7296, 0.3447, 0.2388]",True,"(167, 4, 45, 69)"
ZJ000116,ZJ000116.jpg,0.937,animal,0.937,"(416, 500, 103, 455)","[0.5166, 0.7629, 0.4822, 0.2055]",True,"(175, 120, 38, 100)"
ZJ000117,ZJ000117.jpg,0.715,animal,0.715,"(170, 310, 35, 51)","[0.4781, 0.4611, 0.09218, 0.1194]",True,"(107, 111, 19, 13)"
ZJ000118,ZJ000118.jpg,0.0172,animal,0.0172,"(243, 306, 49, 157)","[0.4718, 0.6638, 0.2578, 0.1583]",True,"(153, 110, 27, 50)"
ZJ000119,ZJ000119.jpg,0.0199,vehicle,0.0199,"(320, 4, 11, 29)","[0, 0.9432, 0.05781, 0.05671]",True,"(215, 4, 5, 5)"
ZJ000120,ZJ000120.jpg,0.0345,animal,0.0345,"(352, 599, 54, 127)","[0.6197, 0.6444, 0.1406, 0.1148]",True,"(148, 143, 18, 23)"
ZJ000121,ZJ000121.jpg,0.568,animal,0.568,"(4, 392, 515, 82)","[0.4041, 0, 0.09375, 0.9685]",True,"(4, 95, 209, 13)"
ZJ000122,ZJ000122.jpg,0.316,animal,0.316,"(242, 411, 25, 85)","[0.6359, 0.6611, 0.1453, 0.09166]",True,"(152, 146, 13, 25)"
ZJ000123,ZJ000123.jpg,0.818,animal,0.818,"(171, 232, 111, 170)","[0.3562, 0.4638, 0.2781, 0.3305]",True,"(108, 84, 66, 54)"
ZJ000124,ZJ000124.jpg,0.701,animal,0.701,"(130, 25, 146, 83)","[0.03281, 0.35, 0.1421, 0.4277]",True,"(82, 11, 88, 24)"
ZJ000125,ZJ000125.jpg,0.717,animal,0.717,"(246, 4, 93, 127)","[0, 0.6722, 0.2109, 0.2805]",True,"(155, 4, 55, 39)"
ZJ000126,ZJ000126.jpg,,,,,,False,
ZJ000127,ZJ000127.jpg,0.905,animal,0.905,"(203, 249, 98, 131)","[0.3828, 0.5527, 0.2171, 0.2944]",True,"(128, 90, 58, 41)"
ZJ000128,ZJ000128.jpg,0.0573,person,0.0573,"(110, 152, -3, -4)","[0.9249, 0.8833, 0.025, 0.04166]",True,"(202, 211, 1, -2)"
ZJ000129,ZJ000129.jpg,,,,,,False,
ZJ000130,ZJ000130.jpg,0.77,animal,0.77,"(221, 496, 66, 140)","[0.7687, 0.6027, 0.2312, 0.2055]",True,"(139, 176, 38, 44)"
ZJ000131,ZJ000131.jpg,0.0768,animal,0.0768,"(4, 4, 112, 152)","[0, 0, 1.0, 1.0]",True,"(4, 4, 216, 216)"
ZJ000132,ZJ000132.jpg,0.676,animal,0.676,"(358, 559, 121, 230)","[0.5781, 0.6555, 0.2479, 0.2388]",True,"(151, 133, 45, 48)"
ZJ000133,ZJ000133.jpg,0.835,animal,0.835,"(327, 163, 88, 180)","[0.1656, 0.5981, 0.1958, 0.1777]",True,"(138, 41, 32, 36)"
ZJ000134,ZJ000134.jpg,0.896,animal,0.896,"(69, 4, 441, 952)","[0, 0.1203, 1.0, 0.8314]",True,"(31, 4, 178, 216)"
ZJ000135,ZJ000135.jpg,0.882,animal,0.882,"(277, 361, 79, 211)","[0.5578, 0.7583, 0.3421, 0.2416]",True,"(174, 129, 46, 69)"
ZJ000136,ZJ000136.jpg,,,,,,False,
ZJ000137,ZJ000137.jpg,0.183,animal,0.183,"(178, 159, 76, 121)","[0.2421, 0.4833, 0.2015, 0.2333]",True,"(112, 58, 44, 37)"
ZJ000138,ZJ000138.jpg,0.723,animal,0.723,"(4, 382, 327, 254)","[0.5906, 0, 0.4093, 1.0]",True,"(4, 136, 216, 84)"
ZJ000139,ZJ000139.jpg,0.592,animal,0.592,"(358, 68, 107, 128)","[0.06666, 0.6555, 0.1416, 0.2129]",True,"(151, 19, 40, 24)"
ZJ000140,ZJ000140.jpg,0.707,animal,0.707,"(284, 646, 77, 47)","[0.6687, 0.5185, 0.05729, 0.1574]",True,"(120, 154, 27, 5)"
ZJ000141,ZJ000141.jpg,0.015,animal,0.015,"(274, 487, 10, 24)","[0.7546, 0.7499, 0.05, 0.05]",True,"(172, 173, 3, 3)"
ZJ000142,ZJ000142.jpg,0.0932,animal,0.0932,"(170, 23, 59, 38)","[0.02968, 0.4611, 0.07187, 0.1861]",True,"(107, 11, 34, 8)"
ZJ000143,ZJ000143.jpg,0.133,animal,0.133,"(146, 340, 45, 95)","[0.35, 0.2629, 0.1072, 0.09814]",True,"(63, 82, 14, 16)"
ZJ000144,ZJ000144.jpg,0.0302,animal,0.0302,"(87, 4, 165, 69)","[0, 0.2305, 0.1203, 0.4805]",True,"(56, 4, 100, 19)"
ZJ000145,ZJ000145.jpg,0.685,animal,0.685,"(262, 201, 77, 157)","[0.3078, 0.7166, 0.2578, 0.2361]",True,"(165, 73, 45, 50)"
ZJ000146,ZJ000146.jpg,0.739,animal,0.739,"(289, 105, 113, 212)","[0.1052, 0.5277, 0.2291, 0.224]",True,"(122, 28, 42, 43)"
ZJ000147,ZJ000147.jpg,0.395,animal,0.395,"(355, 424, 38, 71)","[0.4374, 0.65, 0.08229, 0.08518]",True,"(150, 102, 11, 10)"
ZJ000148,ZJ000148.jpg,0.486,animal,0.486,"(226, 20, 54, 108)","[0.02499, 0.6166, 0.1812, 0.1722]",True,"(142, 10, 31, 33)"
ZJ000149,ZJ000149.jpg,0.877,animal,0.877,"(184, 841, 127, 102)","[0.8718, 0.3333, 0.1145, 0.25]",True,"(79, 199, 48, 18)"
ZJ000150,ZJ000150.jpg,0.101,animal,0.101,"(347, 755, 63, 131)","[0.7822, 0.6351, 0.1447, 0.1314]",True,"(146, 179, 21, 24)"
ZJ000151,ZJ000151.jpg,0.844,animal,0.844,"(305, 538, 178, 191)","[0.5562, 0.5574, 0.2072, 0.3444]",True,"(129, 129, 69, 38)"
ZJ000152,ZJ000152.jpg,0.553,animal,0.553,"(222, 528, 121, 131)","[0.5458, 0.4037, 0.1447, 0.2388]",True,"(94, 126, 45, 24)"
ZJ000153,ZJ000153.jpg,0.574,animal,0.574,"(260, 44, 79, 86)","[0.0625, 0.7111, 0.1468, 0.2416]",True,"(163, 18, 46, 25)"
ZJ000154,ZJ000154.jpg,0.795,animal,0.795,"(301, 567, 38, 69)","[0.8796, 0.825, 0.1203, 0.1277]",True,"(189, 201, 21, 19)"
ZJ000155,ZJ000155.jpg,0.00531,person,0.00531,"(219, 4, 109, 31)","[0, 0.5972, 0.06093, 0.3249]",True,"(138, 4, 65, 6)"
ZJ000156,ZJ000156.jpg,0.843,animal,0.843,"(202, 4, 307, 952)","[0, 0.3844, 1.0, 0.6116]",True,"(90, 4, 129, 216)"
ZJ000157,ZJ000157.jpg,0.953,animal,0.953,"(4, 4, 335, 503)","[0, 0, 0.7984, 0.9527]",True,"(4, 4, 205, 171)"
ZJ000158,ZJ000158.jpg,0.44,animal,0.44,"(405, 4, 112, 122)","[0, 0.7425, 0.1354, 0.2222]",True,"(170, 4, 42, 22)"
ZJ000159,ZJ000159.jpg,0.319,animal,0.319,"(423, 311, 86, 125)","[0.3197, 0.7759, 0.1385, 0.174]",True,"(178, 76, 31, 23)"
ZJ000160,ZJ000160.jpg,0.769,animal,0.769,"(270, 126, 44, 116)","[0.127, 0.4925, 0.1291, 0.09629]",True,"(114, 32, 14, 21)"
ZJ000161,ZJ000161.jpg,0.289,animal,0.289,"(241, 4, 115, 144)","[0, 0.6583, 0.2374, 0.3416]",True,"(151, 4, 69, 45)"
ZJ000162,ZJ000162.jpg,0.801,animal,0.801,"(242, 643, 75, 128)","[0.6656, 0.4407, 0.1416, 0.1537]",True,"(103, 153, 26, 24)"
ZJ000163,ZJ000163.jpg,0.801,animal,0.801,"(322, 377, 18, 72)","[0.5828, 0.8833, 0.125, 0.07222]",True,"(202, 135, 8, 20)"
ZJ000164,ZJ000164.jpg,0.574,animal,0.574,"(204, 439, 126, 144)","[0.6796, 0.5555, 0.2374, 0.3722]",True,"(128, 156, 75, 45)"
ZJ000165,ZJ000165.jpg,,,,,,False,
ZJ000166,ZJ000166.jpg,0.944,animal,0.944,"(112, 287, 219, 152)","[0.4421, 0.3223, 0.25, 0.6776]",True,"(76, 103, 144, 48)"
ZJ000167,ZJ000167.jpg,0.814,animal,0.814,"(245, 300, 265, 93)","[0.3083, 0.4462, 0.1052, 0.5055]",True,"(104, 73, 105, 16)"
ZJ000168,ZJ000168.jpg,0.0495,animal,0.0495,"(4, 5, 335, 617)","[0.001562, 0, 0.9765, 0.9527]",True,"(4, 4, 205, 211)"
ZJ000169,ZJ000169.jpg,0.515,animal,0.515,"(282, 450, 41, 106)","[0.6968, 0.7722, 0.1781, 0.1361]",True,"(177, 160, 22, 32)"
ZJ000170,ZJ000170.jpg,0.964,animal,0.964,"(337, 483, 181, 473)","[0.4989, 0.6166, 0.501, 0.3499]",True,"(142, 116, 70, 104)"
ZJ000171,ZJ000171.jpg,0.779,animal,0.779,"(197, 91, 65, 40)","[0.1359, 0.5361, 0.075, 0.2027]",True,"(124, 34, 37, 9)"
ZJ000172,ZJ000172.jpg,0.0404,animal,0.0404,"(94, 482, 148, 96)","[0.7468, 0.2686, 0.1624, 0.4656]",True,"(64, 171, 96, 28)"
ZJ000173,ZJ000173.jpg,0.694,animal,0.694,"(135, 456, 178, 180)","[0.7062, 0.3638, 0.2937, 0.5166]",True,"(85, 162, 108, 58)"
