id,filepath,site,split,max_detection_conf,category,conf,bbox,bbox_true
ZJ000044,train_features/ZJ000044.jpg,S0059,4.0,0.881,animal,0.881,"[0.7583, 0.5777, 0.2239, 0.1629]",True
ZJ000045,train_features/ZJ000045.jpg,S0077,1.0,0.0276,animal,0.0276,"[0, 0.7333, 0.1281, 0.1555]",True
ZJ000046,train_features/ZJ000046.jpg,S0022,0.0,0.527,animal,0.527,"[0, 0.6666, 0.2374, 0.3333]",True
ZJ000047,train_features/ZJ000047.jpg,S0089,3.0,0.209,animal,0.209,"[0.2281, 0.7861, 0.1328, 0.1666]",True
ZJ000048,train_features/ZJ000048.jpg,S0025,4.0,0.935,animal,0.935,"[0.1703, 0.1694, 0.3703, 0.8277]",True
ZJ000049,train_features/ZJ000049.jpg,S0063,1.0,0.953,animal,0.953,"[0.5406, 0.4462, 0.1343, 0.3685]",True
ZJ000050,train_features/ZJ000050.jpg,S0120,2.0,0.748,animal,0.748,"[0.0552, 0.4944, 0.1458, 0.1796]",True
ZJ000051,train_features/ZJ000051.jpg,S0042,3.0,,,,,False
ZJ000052,train_features/ZJ000052.jpg,S0170,1.0,0.786,animal,0.786,"[0.3722, 0.5208, 0.3638, 0.3874]",True
ZJ000053,train_features/ZJ000053.jpg,S0071,1.0,,,,,False
ZJ000054,train_features/ZJ000054.jpg,S0063,1.0,0.358,animal,0.358,"[0.6406, 0.7796, 0.1239, 0.1018]",True
ZJ000055,train_features/ZJ000055.jpg,S0021,2.0,0.116,animal,0.116,"[0.5124, 0.4416, 0.1015, 0.1861]",True
ZJ000056,train_features/ZJ000056.jpg,S0060,2.0,0.901,animal,0.901,"[0.4083, 0.5425, 0.2374, 0.2351]",True
ZJ000057,train_features/ZJ000057.jpg,S0184,0.0,0.735,animal,0.735,"[0.2197, 0.4277, 0.0802, 0.1296]",True
ZJ000058,train_features/ZJ000058.jpg,S0027,3.0,0.296,animal,0.296,"[0.7265, 0.4444, 0.2734, 0.4638]",True
ZJ000059,train_features/ZJ000059.jpg,S0026,0.0,0.693,animal,0.693,"[0, 0.3333, 0.04687, 0.2638]",True
ZJ000060,train_features/ZJ000060.jpg,S0004,2.0,0.307,animal,0.307,"[0.8625, 0.7944, 0.1, 0.1138]",True
ZJ000061,train_features/ZJ000061.jpg,S0022,0.0,0.0275,animal,0.0275,"[0.7046, 0.7333, 0.1171, 0.1027]",True
ZJ000062,train_features/ZJ000062.jpg,S0120,2.0,,,,,False
ZJ000063,train_features/ZJ000063.jpg,S0024,2.0,0.363,animal,0.363,"[0.5093, 0.002985, 0.4906, 0.994]",True
ZJ000064,train_features/ZJ000064.jpg,S0035,3.0,0.113,animal,0.113,"[0.9406, 0, 0.05937, 0.9888]",True
ZJ000065,train_features/ZJ000065.jpg,S0063,1.0,0.968,animal,0.968,"[0.7645, 0.337, 0.2041, 0.6314]",True
ZJ000066,train_features/ZJ000066.jpg,S0019,0.0,0.845,animal,0.845,"[0.09895, 0.7425, 0.6343, 0.2277]",True
ZJ000067,train_features/ZJ000067.jpg,S0018,3.0,0.905,animal,0.905,"[0.7135, 0.637, 0.102, 0.287]",True
ZJ000068,train_features/ZJ000068.jpg,S0069,3.0,0.726,animal,0.726,"[0.3614, 0.8425, 0.07604, 0.1277]",True
ZJ000069,train_features/ZJ000069.jpg,S0060,2.0,0.709,animal,0.709,"[0.04791, 0.5055, 0.4083, 0.3592]",True
ZJ000070,train_features/ZJ000070.jpg,S0008,4.0,0.0314,animal,0.0314,"[0, 0.6944, 0.2125, 0.2583]",True
ZJ000071,train_features/ZJ000071.jpg,S0081,1.0,0.83,animal,0.83,"[0, 0.7666, 0.06562, 0.1981]",True
ZJ000072,train_features/ZJ000072.jpg,S0014,4.0,0.872,animal,0.872,"[0.4281, 0.3194, 0.4124, 0.6333]",True
ZJ000073,train_features/ZJ000073.jpg,S0060,2.0,0.49,animal,0.49,"[0.3156, 0.5796, 0.1854, 0.1518]",True
ZJ000074,train_features/ZJ000074.jpg,S0008,4.0,0.754,animal,0.754,"[0.3249, 0.4888, 0.08124, 0.2638]",True
ZJ000075,train_features/ZJ000075.jpg,S0060,2.0,0.718,animal,0.718,"[0.7374, 0.5722, 0.2624, 0.1777]",True
ZJ000076,train_features/ZJ000076.jpg,S0120,2.0,0.914,animal,0.914,"[0.6718, 0.3333, 0.1124, 0.124]",True
ZJ000077,train_features/ZJ000077.jpg,S0069,3.0,0.124,animal,0.124,"[0.5041, 0.7203, 0.3458, 0.2481]",True
ZJ000078,train_features/ZJ000078.jpg,S0125,2.0,0.901,animal,0.901,"[0.25, 0.001851, 0.6885, 0.9666]",True
ZJ000079,train_features/ZJ000079.jpg,S0008,4.0,0.256,animal,0.256,"[0.001562, 0, 0.8921, 0.9527]",True
ZJ000080,train_features/ZJ000080.jpg,S0080,1.0,0.686,animal,0.686,"[0.5125, 0.2416, 0.2937, 0.6833]",True
ZJ000081,train_features/ZJ000081.jpg,S0089,3.0,,,,,False
ZJ000082,train_features/ZJ000082.jpg,S0110,4.0,0.109,animal,0.109,"[0.2218, 0.4638, 0.07656, 0.1722]",True
ZJ000083,train_features/ZJ000083.jpg,S0127,3.0,0.0301,animal,0.0301,"[0.1187, 0.6805, 0.1375, 0.1666]",True
ZJ000084,train_features/ZJ000084.jpg,S0159,2.0,0.0324,animal,0.0324,"[0.7484, 0.3527, 0.2515, 0.5222]",True
ZJ000085,train_features/ZJ000085.jpg,S0051,4.0,0.934,animal,0.934,"[0, 0.5074, 0.427, 0.2722]",True
ZJ000086,train_features/ZJ000086.jpg,S0112,0.0,0.901,animal,0.901,"[0.4874, 0.2611, 0.5124, 0.6916]",True
ZJ000087,train_features/ZJ000087.jpg,S0108,0.0,0.793,animal,0.793,"[0.04531, 0.6583, 0.1062, 0.1805]",True
ZJ000088,train_features/ZJ000088.jpg,S0074,0.0,0.292,animal,0.292,"[0.3421, 0.6638, 0.1015, 0.1305]",True
ZJ000089,train_features/ZJ000089.jpg,S0157,0.0,0.496,person,0.496,"[0.001562, 0.4194, 0.1171, 0.3222]",True
ZJ000090,train_features/ZJ000090.jpg,S0155,1.0,0.0143,animal,0.0143,"[0.6708, 0.1029, 0.04062, 0.1475]",True
ZJ000091,train_features/ZJ000091.jpg,S0122,0.0,0.0437,animal,0.0437,"[0.739, 0.5805, 0.06718, 0.3722]",True
ZJ000092,train_features/ZJ000092.jpg,S0089,3.0,0.0763,animal,0.0763,"[0.6343, 0.8111, 0.09843, 0.1416]",True
ZJ000093,train_features/ZJ000093.jpg,S0095,2.0,0.951,animal,0.951,"[0.3895, 0.6314, 0.2364, 0.337]",True
ZJ000094,train_features/ZJ000094.jpg,S0123,0.0,0.922,animal,0.922,"[0.5484, 0.6694, 0.1421, 0.2388]",True
ZJ000095,train_features/ZJ000095.jpg,S0071,1.0,0.666,animal,0.666,"[0.5395, 0.6759, 0.1322, 0.2925]",True
ZJ000096,train_features/ZJ000096.jpg,S0014,4.0,0.255,animal,0.255,"[0, 0.002777, 0.9984, 0.9916]",True
ZJ000097,train_features/ZJ000097.jpg,S0001,0.0,0.372,animal,0.372,"[0.001562, 0, 0.9968, 0.9527]",True
ZJ000098,train_features/ZJ000098.jpg,S0075,4.0,0.836,animal,0.836,"[0.4843, 0.5083, 0.1343, 0.1666]",True
ZJ000099,train_features/ZJ000099.jpg,S0023,2.0,0.00806,animal,0.00806,"[0.8484, 0.9611, 0.06406, 0.0388]",True
ZJ000100,train_features/ZJ000100.jpg,S0008,4.0,0.704,animal,0.704,"[0, 0.6972, 0.2343, 0.2555]",True
ZJ000101,train_features/ZJ000101.jpg,S0149,0.0,0.924,animal,0.924,"[0.4406, 0.3527, 0.3031, 0.3888]",True
ZJ000102,train_features/ZJ000102.jpg,S0185,0.0,0.843,animal,0.843,"[0, 0.09722, 1.0, 0.8999]",True
ZJ000103,train_features/ZJ000103.jpg,S0035,3.0,0.879,animal,0.879,"[0.1812, 0.4555, 0.339, 0.4138]",True
ZJ000104,train_features/ZJ000104.jpg,S0185,0.0,,,,,False
ZJ000105,train_features/ZJ000105.jpg,S0069,3.0,0.53,animal,0.53,"[0.5281, 0.07592, 0.07291, 0.3722]",True
ZJ000106,train_features/ZJ000106.jpg,S0043,3.0,0.924,animal,0.924,"[0.7468, 0, 0.2531, 1.0]",True
ZJ000107,train_features/ZJ000107.jpg,S0059,4.0,,,,,False
ZJ000108,train_features/ZJ000108.jpg,S0043,3.0,0.884,animal,0.884,"[0.7437, 0, 0.2562, 1.0]",True
ZJ000109,train_features/ZJ000109.jpg,S0159,2.0,0.478,animal,0.478,"[0, 0.6499, 0.3062, 0.3499]",True
ZJ000110,train_features/ZJ000110.jpg,S0001,0.0,0.0227,animal,0.0227,"[0, 0.002777, 1.0, 0.9527]",True
ZJ000111,train_features/ZJ000111.jpg,S0088,1.0,0.908,animal,0.908,"[0.5203, 0.4499, 0.1156, 0.25]",True
ZJ000112,train_features/ZJ000112.jpg,S0130,4.0,0.144,animal,0.144,"[0.4796, 0.6611, 0.1531, 0.1527]",True
ZJ000113,train_features/ZJ000113.jpg,S0060,2.0,0.941,animal,0.941,"[0, 0.7277, 0.1791, 0.2407]",True
ZJ000114,train_features/ZJ000114.jpg,S0088,1.0,0.745,animal,0.745,"[0.3046, 0.5671, 0.05468, 0.182]",True
ZJ000115,train_features/ZJ000115.jpg,S0186,4.0,0.879,animal,0.879,"[0, 0.7296, 0.3447, 0.2388]",True
ZJ000116,train_features/ZJ000116.jpg,S0124,1.0,0.937,animal,0.937,"[0.5166, 0.7629, 0.4822, 0.2055]",True
ZJ000117,train_features/ZJ000117.jpg,S0009,0.0,0.715,animal,0.715,"[0.4781, 0.4611, 0.09218, 0.1194]",True
ZJ000118,train_features/ZJ000118.jpg,S0130,4.0,0.0172,animal,0.0172,"[0.4718, 0.6638, 0.2578, 0.1583]",True
ZJ000119,train_features/ZJ000119.jpg,S0023,2.0,0.0199,vehicle,0.0199,"[0, 0.9432, 0.05781, 0.05671]",True
ZJ000120,train_features/ZJ000120.jpg,S0070,1.0,0.0345,animal,0.0345,"[0.6197, 0.6444, 0.1406, 0.1148]",True
ZJ000121,train_features/ZJ000121.jpg,S0069,3.0,0.568,animal,0.568,"[0.4041, 0, 0.09375, 0.9685]",True
ZJ000122,train_features/ZJ000122.jpg,S0009,0.0,0.316,animal,0.316,"[0.6359, 0.6611, 0.1453, 0.09166]",True
ZJ000123,train_features/ZJ000123.jpg,S0021,2.0,0.818,animal,0.818,"[0.3562, 0.4638, 0.2781, 0.3305]",True
ZJ000124,train_features/ZJ000124.jpg,S0108,0.0,0.701,animal,0.701,"[0.03281, 0.35, 0.1421, 0.4277]",True
ZJ000125,train_features/ZJ000125.jpg,S0008,4.0,0.717,animal,0.717,"[0, 0.6722, 0.2109, 0.2805]",True
ZJ000126,train_features/ZJ000126.jpg,S0043,3.0,,,,,False
ZJ000127,train_features/ZJ000127.jpg,S0031,2.0,0.905,animal,0.905,"[0.3828, 0.5527, 0.2171, 0.2944]",True
ZJ000128,train_features/ZJ000128.jpg,S0046,2.0,0.0573,person,0.0573,"[0.9249, 0.8833, 0.025, 0.04166]",True
ZJ000129,train_features/ZJ000129.jpg,S0136,0.0,,,,,False
ZJ000130,train_features/ZJ000130.jpg,S0174,1.0,0.77,animal,0.77,"[0.7687, 0.6027, 0.2312, 0.2055]",True
ZJ000131,train_features/ZJ000131.jpg,S0056,2.0,0.0768,animal,0.0768,"[0, 0, 1.0, 1.0]",True
ZJ000132,train_features/ZJ000132.jpg,S0060,2.0,0.676,animal,0.676,"[0.5781, 0.6555, 0.2479, 0.2388]",True
ZJ000133,train_features/ZJ000133.jpg,S0060,2.0,0.835,animal,0.835,"[0.1656, 0.5981, 0.1958, 0.1777]",True
ZJ000134,train_features/ZJ000134.jpg,S0019,0.0,0.896,animal,0.896,"[0, 0.1203, 1.0, 0.8314]",True
ZJ000135,train_features/ZJ000135.jpg,S0013,3.0,0.882,animal,0.882,"[0.5578, 0.7583, 0.3421, 0.2416]",True
ZJ000136,train_features/ZJ000136.jpg,S0020,4.0,,,,,False
ZJ000137,train_features/ZJ000137.jpg,S0013,3.0,0.183,animal,0.183,"[0.2421, 0.4833, 0.2015, 0.2333]",True
ZJ000138,train_features/ZJ000138.jpg,S0043,3.0,0.723,animal,0.723,"[0.5906, 0, 0.4093, 1.0]",True
ZJ000139,train_features/ZJ000139.jpg,S0060,2.0,0.592,animal,0.592,"[0.06666, 0.6555, 0.1416, 0.2129]",True
ZJ000140,train_features/ZJ000140.jpg,S0063,1.0,0.707,animal,0.707,"[0.6687, 0.5185, 0.05729, 0.1574]",True
ZJ000141,train_features/ZJ000141.jpg,S0005,4.0,0.015,animal,0.015,"[0.7546, 0.7499, 0.05, 0.05]",True
ZJ000142,train_features/ZJ000142.jpg,S0022,0.0,0.0932,animal,0.0932,"[0.02968, 0.4611, 0.07187, 0.1861]",True
ZJ000143,train_features/ZJ000143.jpg,S0120,2.0,0.133,animal,0.133,"[0.35, 0.2629, 0.1072, 0.09814]",True
ZJ000144,train_features/ZJ000144.jpg,S0013,3.0,0.0302,animal,0.0302,"[0, 0.2305, 0.1203, 0.4805]",True
ZJ000145,train_features/ZJ000145.jpg,S0123,0.0,0.685,animal,0.685,"[0.3078, 0.7166, 0.2578, 0.2361]",True
ZJ000146,train_features/ZJ000146.jpg,S0120,2.0,0.739,animal,0.739,"[0.1052, 0.5277, 0.2291, 0.224]",True
ZJ000147,train_features/ZJ000147.jpg,S0059,4.0,0.395,animal,0.395,"[0.4374, 0.65, 0.08229, 0.08518]",True
ZJ000148,train_features/ZJ000148.jpg,S0026,0.0,0.486,animal,0.486,"[0.02499, 0.6166, 0.1812, 0.1722]",True
ZJ000149,train_features/ZJ000149.jpg,S0030,1.0,0.877,animal,0.877,"[0.8718, 0.3333, 0.1145, 0.25]",True
ZJ000150,train_features/ZJ000150.jpg,S0184,0.0,0.101,animal,0.101,"[0.7822, 0.6351, 0.1447, 0.1314]",True
ZJ000151,train_features/ZJ000151.jpg,S0059,4.0,0.844,animal,0.844,"[0.5562, 0.5574, 0.2072, 0.3444]",True
ZJ000152,train_features/ZJ000152.jpg,S0063,1.0,0.553,animal,0.553,"[0.5458, 0.4037, 0.1447, 0.2388]",True
ZJ000153,train_features/ZJ000153.jpg,S0008,4.0,0.574,animal,0.574,"[0.0625, 0.7111, 0.1468, 0.2416]",True
ZJ000154,train_features/ZJ000154.jpg,S0009,0.0,0.795,animal,0.795,"[0.8796, 0.825, 0.1203, 0.1277]",True
ZJ000155,train_features/ZJ000155.jpg,S0136,0.0,0.00531,person,0.00531,"[0, 0.5972, 0.06093, 0.3249]",True
ZJ000156,train_features/ZJ000156.jpg,S0038,1.0,0.843,animal,0.843,"[0, 0.3844, 1.0, 0.6116]",True
ZJ000157,train_features/ZJ000157.jpg,S0158,0.0,0.953,animal,0.953,"[0, 0, 0.7984, 0.9527]",True
ZJ000158,train_features/ZJ000158.jpg,S0060,2.0,0.44,animal,0.44,"[0, 0.7425, 0.1354, 0.2222]",True
ZJ000159,train_features/ZJ000159.jpg,S0156,0.0,0.319,animal,0.319,"[0.3197, 0.7759, 0.1385, 0.174]",True
ZJ000160,train_features/ZJ000160.jpg,S0071,1.0,0.769,animal,0.769,"[0.127, 0.4925, 0.1291, 0.09629]",True
ZJ000161,train_features/ZJ000161.jpg,S0022,0.0,0.289,animal,0.289,"[0, 0.6583, 0.2374, 0.3416]",True
ZJ000162,train_features/ZJ000162.jpg,S0071,1.0,0.801,animal,0.801,"[0.6656, 0.4407, 0.1416, 0.1537]",True
ZJ000163,train_features/ZJ000163.jpg,S0004,2.0,0.801,animal,0.801,"[0.5828, 0.8833, 0.125, 0.07222]",True
ZJ000164,train_features/ZJ000164.jpg,S0077,1.0,0.574,animal,0.574,"[0.6796, 0.5555, 0.2374, 0.3722]",True
ZJ000165,train_features/ZJ000165.jpg,S0001,0.0,,,,,False
ZJ000166,train_features/ZJ000166.jpg,S0043,3.0,0.944,animal,0.944,"[0.4421, 0.3223, 0.25, 0.6776]",True
ZJ000167,train_features/ZJ000167.jpg,S0016,1.0,0.814,animal,0.814,"[0.3083, 0.4462, 0.1052, 0.5055]",True
ZJ000168,train_features/ZJ000168.jpg,S0008,4.0,0.0495,animal,0.0495,"[0.001562, 0, 0.9765, 0.9527]",True
ZJ000169,train_features/ZJ000169.jpg,S0036,0.0,0.515,animal,0.515,"[0.6968, 0.7722, 0.1781, 0.1361]",True
ZJ000170,train_features/ZJ000170.jpg,S0063,1.0,0.964,animal,0.964,"[0.4989, 0.6166, 0.501, 0.3499]",True
ZJ000171,train_features/ZJ000171.jpg,S0009,0.0,0.779,animal,0.779,"[0.1359, 0.5361, 0.075, 0.2027]",True
ZJ000172,train_features/ZJ000172.jpg,S0036,0.0,0.0404,animal,0.0404,"[0.7468, 0.2686, 0.1624, 0.4656]",True
ZJ000173,train_features/ZJ000173.jpg,S0026,0.0,0.694,animal,0.694,"[0.7062, 0.3638, 0.2937, 0.5166]",True
ZJ000174,train_features/ZJ000174.jpg,S0080,1.0,0.0184,animal,0.0184,"[0.6125, 0.4166, 0.2187, 0.3249]",True
ZJ000175,train_features/ZJ000175.jpg,S0043,3.0,0.894,animal,0.894,"[0.8218, 0.08955, 0.1781, 0.9104]",True
ZJ000176,train_features/ZJ000176.jpg,S0081,1.0,0.187,animal,0.187,"[0.3072, 0.6092, 0.08229, 0.08333]",True
ZJ000177,train_features/ZJ000177.jpg,S0009,0.0,0.815,animal,0.815,"[0.5218, 0.475, 0.06718, 0.125]",True
ZJ000178,train_features/ZJ000178.jpg,S0184,0.0,0.807,animal,0.807,"[0.1906, 0.55, 0.2458, 0.2814]",True
ZJ000179,train_features/ZJ000179.jpg,S0084,0.0,0.971,animal,0.971,"[0, 0, 0.376, 0.9685]",True
ZJ000180,train_features/ZJ000180.jpg,S0027,3.0,0.0214,animal,0.0214,"[0, 0.5027, 0.1406, 0.2805]",True
ZJ000181,train_features/ZJ000181.jpg,S0042,3.0,0.0109,animal,0.0109,"[0.6156, 0.8666, 0.09218, 0.1111]",True
ZJ000182,train_features/ZJ000182.jpg,S0021,2.0,0.834,animal,0.834,"[0.6375, 0.3916, 0.3625, 0.4499]",True
ZJ000183,train_features/ZJ000183.jpg,S0179,4.0,0.105,animal,0.105,"[0.1916, 0.7208, 0.1527, 0.2541]",True
ZJ000184,train_features/ZJ000184.jpg,S0059,4.0,0.634,animal,0.634,"[0.7437, 0.874, 0.1489, 0.09444]",True
ZJ000185,train_features/ZJ000185.jpg,S0031,2.0,0.545,animal,0.545,"[0, 0.4333, 0.2953, 0.5666]",True
ZJ000186,train_features/ZJ000186.jpg,S0070,1.0,0.594,animal,0.594,"[0.3208, 0.7055, 0.1458, 0.1759]",True
ZJ000187,train_features/ZJ000187.jpg,S0023,2.0,0.199,animal,0.199,"[0.5484, 0.6583, 0.06718, 0.07777]",True
ZJ000188,train_features/ZJ000188.jpg,S0053,3.0,0.981,animal,0.981,"[0.002083, 0.3666, 0.4041, 0.6018]",True
ZJ000189,train_features/ZJ000189.jpg,S0096,3.0,0.716,animal,0.716,"[0, 0.005555, 1.0, 0.9888]",True
ZJ000190,train_features/ZJ000190.jpg,S0009,0.0,0.677,animal,0.677,"[0.7468, 0.8138, 0.1656, 0.1416]",True
ZJ000191,train_features/ZJ000191.jpg,S0069,3.0,0.0101,animal,0.0101,"[0.6937, 0.7907, 0.1302, 0.137]",True
ZJ000192,train_features/ZJ000192.jpg,S0095,2.0,0.935,animal,0.935,"[0.03749, 0.4555, 0.1989, 0.4611]",True
ZJ000193,train_features/ZJ000193.jpg,S0059,4.0,0.0107,animal,0.0107,"[0.1916, 0.009259, 0.06041, 0.1259]",True
ZJ000194,train_features/ZJ000194.jpg,S0036,0.0,0.0359,animal,0.0359,"[0.1109, 0.5611, 0.08749, 0.1388]",True
ZJ000195,train_features/ZJ000195.jpg,S0022,0.0,0.0201,animal,0.0201,"[0, 0.6555, 0.04531, 0.1749]",True
ZJ000196,train_features/ZJ000196.jpg,S0110,4.0,0.0793,animal,0.0793,"[0.4218, 0.725, 0.1156, 0.08055]",True
ZJ000197,train_features/ZJ000197.jpg,S0123,0.0,0.913,animal,0.913,"[0.2328, 0.6361, 0.1656, 0.1805]",True
ZJ000198,train_features/ZJ000198.jpg,S0137,2.0,0.439,animal,0.439,"[0.3296, 0.6833, 0.275, 0.2694]",True
ZJ000199,train_features/ZJ000199.jpg,S0163,2.0,0.396,animal,0.396,"[0, 0.625, 0.6593, 0.375]",True
ZJ000200,train_features/ZJ000200.jpg,S0073,3.0,0.295,animal,0.295,"[0.6593, 0.7527, 0.07031, 0.1972]",True
ZJ000201,train_features/ZJ000201.jpg,S0121,4.0,0.159,animal,0.159,"[0.9078, 0.6416, 0.09218, 0.3138]",True
ZJ000202,train_features/ZJ000202.jpg,S0071,1.0,0.931,animal,0.931,"[0.2906, 0.6129, 0.4729, 0.3037]",True
ZJ000203,train_features/ZJ000203.jpg,S0063,1.0,0.493,animal,0.493,"[0.3312, 0.6629, 0.2583, 0.1277]",True
ZJ000204,train_features/ZJ000204.jpg,S0063,1.0,0.00676,animal,0.00676,"[0.6541, 0.7703, 0.03437, 0.09444]",True
ZJ000205,train_features/ZJ000205.jpg,S0088,1.0,0.458,animal,0.458,"[0.4703, 0.5861, 0.2031, 0.09166]",True
ZJ000206,train_features/ZJ000206.jpg,S0062,2.0,0.853,animal,0.853,"[0.6906, 0.5185, 0.1791, 0.1037]",True
ZJ000207,train_features/ZJ000207.jpg,S0029,4.0,0.637,animal,0.637,"[0.8781, 0.6685, 0.1218, 0.1722]",True
ZJ000208,train_features/ZJ000208.jpg,S0009,0.0,,,,,False
ZJ000209,train_features/ZJ000209.jpg,S0071,1.0,,,,,False
ZJ000210,train_features/ZJ000210.jpg,S0029,4.0,0.895,animal,0.895,"[0.8729, 0.8518, 0.08124, 0.1166]",True
