image_name,file,max_detection_conf,category,conf,bbox,conf_th
ZJ000024,ZJ000024.jpg,0.693,animal,0.693,"[0.09843, 0.5111, 0.2874, 0.2833]",True
ZJ000025,ZJ000025.jpg,0.137,animal,0.137,"[0.4114, 0.4444, 0.06979, 0.07777]",False
ZJ000026,ZJ000026.jpg,0.957,animal,0.957,"[0.6625, 0.4111, 0.3375, 0.4805]",True
ZJ000027,ZJ000027.jpg,0.307,animal,0.307,"[0.4041, 0.1611, 0.1104, 0.5407]",False
ZJ000028,ZJ000028.jpg,0.615,animal,0.615,"[0.4472, 0.6583, 0.1888, 0.1791]",True
ZJ000029,ZJ000029.jpg,,,,,False
ZJ000030,ZJ000030.jpg,0.713,animal,0.713,"[0.5234, 0.4388, 0.125, 0.2194]",True
ZJ000031,ZJ000031.jpg,0.943,animal,0.943,"[0.5041, 0.3999, 0.2187, 0.3703]",True
ZJ000032,ZJ000032.jpg,0.878,animal,0.878,"[0.8515, 0.4694, 0.1484, 0.3]",True
ZJ000033,ZJ000033.jpg,0.921,animal,0.921,"[0.125, 0.6037, 0.277, 0.237]",True
ZJ000034,ZJ000034.jpg,0.877,animal,0.877,"[0.6385, 0.5296, 0.1656, 0.3851]",True
ZJ000035,ZJ000035.jpg,0.687,animal,0.687,"[0.3322, 0.6925, 0.1343, 0.1407]",True
ZJ000036,ZJ000036.jpg,0.886,animal,0.886,"[0, 0.7592, 0.252, 0.2092]",True
ZJ000037,ZJ000037.jpg,0.866,animal,0.866,"[0.4953, 0.6555, 0.2312, 0.3416]",True
ZJ000038,ZJ000038.jpg,0.546,animal,0.546,"[0.2145, 0.6481, 0.1802, 0.3203]",False
ZJ000039,ZJ000039.jpg,0.878,animal,0.878,"[0.2843, 0.4666, 0.05937, 0.2092]",True
ZJ000040,ZJ000040.jpg,0.452,animal,0.452,"[0.152, 0.6185, 0.1166, 0.25]",False
ZJ000041,ZJ000041.jpg,,,,,False
ZJ000042,ZJ000042.jpg,0.242,animal,0.242,"[0.5888, 0.7125, 0.2, 0.1833]",False
ZJ000043,ZJ000043.jpg,0.629,animal,0.629,"[0.3895, 0.6148, 0.1885, 0.1814]",True
ZJ000044,ZJ000044.jpg,0.881,animal,0.881,"[0.7583, 0.5777, 0.2239, 0.1629]",True
ZJ000045,ZJ000045.jpg,0.0276,animal,0.0276,"[0, 0.7333, 0.1281, 0.1555]",False
ZJ000046,ZJ000046.jpg,0.527,animal,0.527,"[0, 0.6666, 0.2374, 0.3333]",False
ZJ000047,ZJ000047.jpg,0.209,animal,0.209,"[0.2281, 0.7861, 0.1328, 0.1666]",False
ZJ000048,ZJ000048.jpg,0.935,animal,0.935,"[0.1703, 0.1694, 0.3703, 0.8277]",True
ZJ000049,ZJ000049.jpg,0.953,animal,0.953,"[0.5406, 0.4462, 0.1343, 0.3685]",True
ZJ000050,ZJ000050.jpg,0.748,animal,0.748,"[0.0552, 0.4944, 0.1458, 0.1796]",True
ZJ000051,ZJ000051.jpg,,,,,False
ZJ000052,ZJ000052.jpg,0.786,animal,0.786,"[0.3722, 0.5208, 0.3638, 0.3874]",True
ZJ000053,ZJ000053.jpg,,,,,False
ZJ000054,ZJ000054.jpg,0.358,animal,0.358,"[0.6406, 0.7796, 0.1239, 0.1018]",False
ZJ000055,ZJ000055.jpg,0.116,animal,0.116,"[0.5124, 0.4416, 0.1015, 0.1861]",False
ZJ000056,ZJ000056.jpg,0.901,animal,0.901,"[0.4083, 0.5425, 0.2374, 0.2351]",True
ZJ000057,ZJ000057.jpg,0.735,animal,0.735,"[0.2197, 0.4277, 0.0802, 0.1296]",True
ZJ000058,ZJ000058.jpg,0.296,animal,0.296,"[0.7265, 0.4444, 0.2734, 0.4638]",False
ZJ000059,ZJ000059.jpg,0.693,animal,0.693,"[0, 0.3333, 0.04687, 0.2638]",True
ZJ000060,ZJ000060.jpg,0.307,animal,0.307,"[0.8625, 0.7944, 0.1, 0.1138]",False
ZJ000061,ZJ000061.jpg,0.0275,animal,0.0275,"[0.7046, 0.7333, 0.1171, 0.1027]",False
ZJ000062,ZJ000062.jpg,,,,,False
ZJ000063,ZJ000063.jpg,0.363,animal,0.363,"[0.5093, 0.002985, 0.4906, 0.994]",False
ZJ000064,ZJ000064.jpg,0.113,animal,0.113,"[0.9406, 0, 0.05937, 0.9888]",False
ZJ000065,ZJ000065.jpg,0.968,animal,0.968,"[0.7645, 0.337, 0.2041, 0.6314]",True
ZJ000066,ZJ000066.jpg,0.845,animal,0.845,"[0.09895, 0.7425, 0.6343, 0.2277]",True
ZJ000067,ZJ000067.jpg,0.905,animal,0.905,"[0.7135, 0.637, 0.102, 0.287]",True
ZJ000068,ZJ000068.jpg,0.726,animal,0.726,"[0.3614, 0.8425, 0.07604, 0.1277]",True
ZJ000069,ZJ000069.jpg,0.709,animal,0.709,"[0.04791, 0.5055, 0.4083, 0.3592]",True
ZJ000070,ZJ000070.jpg,0.0314,animal,0.0314,"[0, 0.6944, 0.2125, 0.2583]",False
ZJ000071,ZJ000071.jpg,0.83,animal,0.83,"[0, 0.7666, 0.06562, 0.1981]",True
ZJ000072,ZJ000072.jpg,0.872,animal,0.872,"[0.4281, 0.3194, 0.4124, 0.6333]",True
ZJ000073,ZJ000073.jpg,0.49,animal,0.49,"[0.3156, 0.5796, 0.1854, 0.1518]",False
ZJ000074,ZJ000074.jpg,0.754,animal,0.754,"[0.3249, 0.4888, 0.08124, 0.2638]",True
ZJ000075,ZJ000075.jpg,0.718,animal,0.718,"[0.7374, 0.5722, 0.2624, 0.1777]",True
ZJ000076,ZJ000076.jpg,0.914,animal,0.914,"[0.6718, 0.3333, 0.1124, 0.124]",True
ZJ000077,ZJ000077.jpg,0.124,animal,0.124,"[0.5041, 0.7203, 0.3458, 0.2481]",False
ZJ000078,ZJ000078.jpg,0.901,animal,0.901,"[0.25, 0.001851, 0.6885, 0.9666]",True
ZJ000079,ZJ000079.jpg,0.256,animal,0.256,"[0.001562, 0, 0.8921, 0.9527]",False
ZJ000080,ZJ000080.jpg,0.686,animal,0.686,"[0.5125, 0.2416, 0.2937, 0.6833]",True
ZJ000081,ZJ000081.jpg,,,,,False
ZJ000082,ZJ000082.jpg,0.109,animal,0.109,"[0.2218, 0.4638, 0.07656, 0.1722]",False
ZJ000083,ZJ000083.jpg,0.0301,animal,0.0301,"[0.1187, 0.6805, 0.1375, 0.1666]",False
ZJ000084,ZJ000084.jpg,0.0324,animal,0.0324,"[0.7484, 0.3527, 0.2515, 0.5222]",False
ZJ000085,ZJ000085.jpg,0.934,animal,0.934,"[0, 0.5074, 0.427, 0.2722]",True
ZJ000086,ZJ000086.jpg,0.901,animal,0.901,"[0.4874, 0.2611, 0.5124, 0.6916]",True
ZJ000087,ZJ000087.jpg,0.793,animal,0.793,"[0.04531, 0.6583, 0.1062, 0.1805]",True
ZJ000088,ZJ000088.jpg,0.292,animal,0.292,"[0.3421, 0.6638, 0.1015, 0.1305]",False
ZJ000089,ZJ000089.jpg,0.496,person,0.496,"[0.001562, 0.4194, 0.1171, 0.3222]",False
ZJ000090,ZJ000090.jpg,0.0143,animal,0.0143,"[0.6708, 0.1029, 0.04062, 0.1475]",False
ZJ000091,ZJ000091.jpg,0.0437,animal,0.0437,"[0.739, 0.5805, 0.06718, 0.3722]",False
ZJ000092,ZJ000092.jpg,0.0763,animal,0.0763,"[0.6343, 0.8111, 0.09843, 0.1416]",False
ZJ000093,ZJ000093.jpg,0.951,animal,0.951,"[0.3895, 0.6314, 0.2364, 0.337]",True
ZJ000094,ZJ000094.jpg,0.922,animal,0.922,"[0.5484, 0.6694, 0.1421, 0.2388]",True
ZJ000095,ZJ000095.jpg,0.666,animal,0.666,"[0.5395, 0.6759, 0.1322, 0.2925]",True
ZJ000096,ZJ000096.jpg,0.255,animal,0.255,"[0, 0.002777, 0.9984, 0.9916]",False
ZJ000097,ZJ000097.jpg,0.372,animal,0.372,"[0.001562, 0, 0.9968, 0.9527]",False
ZJ000098,ZJ000098.jpg,0.836,animal,0.836,"[0.4843, 0.5083, 0.1343, 0.1666]",True
ZJ000099,ZJ000099.jpg,0.00806,animal,0.00806,"[0.8484, 0.9611, 0.06406, 0.0388]",False
ZJ000100,ZJ000100.jpg,0.704,animal,0.704,"[0, 0.6972, 0.2343, 0.2555]",True
ZJ000101,ZJ000101.jpg,0.924,animal,0.924,"[0.4406, 0.3527, 0.3031, 0.3888]",True
ZJ000102,ZJ000102.jpg,0.843,animal,0.843,"[0, 0.09722, 1.0, 0.8999]",True
ZJ000103,ZJ000103.jpg,0.879,animal,0.879,"[0.1812, 0.4555, 0.339, 0.4138]",True
ZJ000104,ZJ000104.jpg,,,,,False
ZJ000105,ZJ000105.jpg,0.53,animal,0.53,"[0.5281, 0.07592, 0.07291, 0.3722]",False
ZJ000106,ZJ000106.jpg,0.924,animal,0.924,"[0.7468, 0, 0.2531, 1.0]",True
ZJ000107,ZJ000107.jpg,,,,,False
ZJ000108,ZJ000108.jpg,0.884,animal,0.884,"[0.7437, 0, 0.2562, 1.0]",True
ZJ000109,ZJ000109.jpg,0.478,animal,0.478,"[0, 0.6499, 0.3062, 0.3499]",False
ZJ000110,ZJ000110.jpg,0.0227,animal,0.0227,"[0, 0.002777, 1.0, 0.9527]",False
ZJ000111,ZJ000111.jpg,0.908,animal,0.908,"[0.5203, 0.4499, 0.1156, 0.25]",True
ZJ000112,ZJ000112.jpg,0.144,animal,0.144,"[0.4796, 0.6611, 0.1531, 0.1527]",False
ZJ000113,ZJ000113.jpg,0.941,animal,0.941,"[0, 0.7277, 0.1791, 0.2407]",True
ZJ000114,ZJ000114.jpg,0.745,animal,0.745,"[0.3046, 0.5671, 0.05468, 0.182]",True
ZJ000115,ZJ000115.jpg,0.879,animal,0.879,"[0, 0.7296, 0.3447, 0.2388]",True
ZJ000116,ZJ000116.jpg,0.937,animal,0.937,"[0.5166, 0.7629, 0.4822, 0.2055]",True
ZJ000117,ZJ000117.jpg,0.715,animal,0.715,"[0.4781, 0.4611, 0.09218, 0.1194]",True
ZJ000118,ZJ000118.jpg,0.0172,animal,0.0172,"[0.4718, 0.6638, 0.2578, 0.1583]",False
ZJ000119,ZJ000119.jpg,0.0199,vehicle,0.0199,"[0, 0.9432, 0.05781, 0.05671]",False
ZJ000120,ZJ000120.jpg,0.0345,animal,0.0345,"[0.6197, 0.6444, 0.1406, 0.1148]",False
ZJ000121,ZJ000121.jpg,0.568,animal,0.568,"[0.4041, 0, 0.09375, 0.9685]",False
ZJ000122,ZJ000122.jpg,0.316,animal,0.316,"[0.6359, 0.6611, 0.1453, 0.09166]",False
ZJ000123,ZJ000123.jpg,0.818,animal,0.818,"[0.3562, 0.4638, 0.2781, 0.3305]",True
ZJ000124,ZJ000124.jpg,0.701,animal,0.701,"[0.03281, 0.35, 0.1421, 0.4277]",True
ZJ000125,ZJ000125.jpg,0.717,animal,0.717,"[0, 0.6722, 0.2109, 0.2805]",True
ZJ000126,ZJ000126.jpg,,,,,False
ZJ000127,ZJ000127.jpg,0.905,animal,0.905,"[0.3828, 0.5527, 0.2171, 0.2944]",True
ZJ000128,ZJ000128.jpg,0.0573,person,0.0573,"[0.9249, 0.8833, 0.025, 0.04166]",False
ZJ000129,ZJ000129.jpg,,,,,False
ZJ000130,ZJ000130.jpg,0.77,animal,0.77,"[0.7687, 0.6027, 0.2312, 0.2055]",True
ZJ000131,ZJ000131.jpg,0.0768,animal,0.0768,"[0, 0, 1.0, 1.0]",False
ZJ000132,ZJ000132.jpg,0.676,animal,0.676,"[0.5781, 0.6555, 0.2479, 0.2388]",True
ZJ000133,ZJ000133.jpg,0.835,animal,0.835,"[0.1656, 0.5981, 0.1958, 0.1777]",True
ZJ000134,ZJ000134.jpg,0.896,animal,0.896,"[0, 0.1203, 1.0, 0.8314]",True
ZJ000135,ZJ000135.jpg,0.882,animal,0.882,"[0.5578, 0.7583, 0.3421, 0.2416]",True
ZJ000136,ZJ000136.jpg,,,,,False
ZJ000137,ZJ000137.jpg,0.183,animal,0.183,"[0.2421, 0.4833, 0.2015, 0.2333]",False
ZJ000138,ZJ000138.jpg,0.723,animal,0.723,"[0.5906, 0, 0.4093, 1.0]",True
ZJ000139,ZJ000139.jpg,0.592,animal,0.592,"[0.06666, 0.6555, 0.1416, 0.2129]",False
ZJ000140,ZJ000140.jpg,0.707,animal,0.707,"[0.6687, 0.5185, 0.05729, 0.1574]",True
ZJ000141,ZJ000141.jpg,0.015,animal,0.015,"[0.7546, 0.7499, 0.05, 0.05]",False
ZJ000142,ZJ000142.jpg,0.0932,animal,0.0932,"[0.02968, 0.4611, 0.07187, 0.1861]",False
ZJ000143,ZJ000143.jpg,0.133,animal,0.133,"[0.35, 0.2629, 0.1072, 0.09814]",False
ZJ000144,ZJ000144.jpg,0.0302,animal,0.0302,"[0, 0.2305, 0.1203, 0.4805]",False
ZJ000145,ZJ000145.jpg,0.685,animal,0.685,"[0.3078, 0.7166, 0.2578, 0.2361]",True
ZJ000146,ZJ000146.jpg,0.739,animal,0.739,"[0.1052, 0.5277, 0.2291, 0.224]",True
ZJ000147,ZJ000147.jpg,0.395,animal,0.395,"[0.4374, 0.65, 0.08229, 0.08518]",False
ZJ000148,ZJ000148.jpg,0.486,animal,0.486,"[0.02499, 0.6166, 0.1812, 0.1722]",False
ZJ000149,ZJ000149.jpg,0.877,animal,0.877,"[0.8718, 0.3333, 0.1145, 0.25]",True
ZJ000150,ZJ000150.jpg,0.101,animal,0.101,"[0.7822, 0.6351, 0.1447, 0.1314]",False
ZJ000151,ZJ000151.jpg,0.844,animal,0.844,"[0.5562, 0.5574, 0.2072, 0.3444]",True
ZJ000152,ZJ000152.jpg,0.553,animal,0.553,"[0.5458, 0.4037, 0.1447, 0.2388]",False
ZJ000153,ZJ000153.jpg,0.574,animal,0.574,"[0.0625, 0.7111, 0.1468, 0.2416]",False
ZJ000154,ZJ000154.jpg,0.795,animal,0.795,"[0.8796, 0.825, 0.1203, 0.1277]",True
ZJ000155,ZJ000155.jpg,0.00531,person,0.00531,"[0, 0.5972, 0.06093, 0.3249]",False
ZJ000156,ZJ000156.jpg,0.843,animal,0.843,"[0, 0.3844, 1.0, 0.6116]",True
ZJ000157,ZJ000157.jpg,0.953,animal,0.953,"[0, 0, 0.7984, 0.9527]",True
ZJ000158,ZJ000158.jpg,0.44,animal,0.44,"[0, 0.7425, 0.1354, 0.2222]",False
ZJ000159,ZJ000159.jpg,0.319,animal,0.319,"[0.3197, 0.7759, 0.1385, 0.174]",False
ZJ000160,ZJ000160.jpg,0.769,animal,0.769,"[0.127, 0.4925, 0.1291, 0.09629]",True
ZJ000161,ZJ000161.jpg,0.289,animal,0.289,"[0, 0.6583, 0.2374, 0.3416]",False
ZJ000162,ZJ000162.jpg,0.801,animal,0.801,"[0.6656, 0.4407, 0.1416, 0.1537]",True
ZJ000163,ZJ000163.jpg,0.801,animal,0.801,"[0.5828, 0.8833, 0.125, 0.07222]",True
ZJ000164,ZJ000164.jpg,0.574,animal,0.574,"[0.6796, 0.5555, 0.2374, 0.3722]",False
ZJ000165,ZJ000165.jpg,,,,,False
ZJ000166,ZJ000166.jpg,0.944,animal,0.944,"[0.4421, 0.3223, 0.25, 0.6776]",True
ZJ000167,ZJ000167.jpg,0.814,animal,0.814,"[0.3083, 0.4462, 0.1052, 0.5055]",True
ZJ000168,ZJ000168.jpg,0.0495,animal,0.0495,"[0.001562, 0, 0.9765, 0.9527]",False
ZJ000169,ZJ000169.jpg,0.515,animal,0.515,"[0.6968, 0.7722, 0.1781, 0.1361]",False
ZJ000170,ZJ000170.jpg,0.964,animal,0.964,"[0.4989, 0.6166, 0.501, 0.3499]",True
ZJ000171,ZJ000171.jpg,0.779,animal,0.779,"[0.1359, 0.5361, 0.075, 0.2027]",True
ZJ000172,ZJ000172.jpg,0.0404,animal,0.0404,"[0.7468, 0.2686, 0.1624, 0.4656]",False
ZJ000173,ZJ000173.jpg,0.694,animal,0.694,"[0.7062, 0.3638, 0.2937, 0.5166]",True
ZJ000174,ZJ000174.jpg,0.0184,animal,0.0184,"[0.6125, 0.4166, 0.2187, 0.3249]",False
ZJ000175,ZJ000175.jpg,0.894,animal,0.894,"[0.8218, 0.08955, 0.1781, 0.9104]",True
ZJ000176,ZJ000176.jpg,0.187,animal,0.187,"[0.3072, 0.6092, 0.08229, 0.08333]",False
ZJ000177,ZJ000177.jpg,0.815,animal,0.815,"[0.5218, 0.475, 0.06718, 0.125]",True
ZJ000178,ZJ000178.jpg,0.807,animal,0.807,"[0.1906, 0.55, 0.2458, 0.2814]",True
ZJ000179,ZJ000179.jpg,0.971,animal,0.971,"[0, 0, 0.376, 0.9685]",True
ZJ000180,ZJ000180.jpg,0.0214,animal,0.0214,"[0, 0.5027, 0.1406, 0.2805]",False
ZJ000181,ZJ000181.jpg,0.0109,animal,0.0109,"[0.6156, 0.8666, 0.09218, 0.1111]",False
ZJ000182,ZJ000182.jpg,0.834,animal,0.834,"[0.6375, 0.3916, 0.3625, 0.4499]",True
ZJ000183,ZJ000183.jpg,0.105,animal,0.105,"[0.1916, 0.7208, 0.1527, 0.2541]",False
ZJ000184,ZJ000184.jpg,0.634,animal,0.634,"[0.7437, 0.874, 0.1489, 0.09444]",True
ZJ000185,ZJ000185.jpg,0.545,animal,0.545,"[0, 0.4333, 0.2953, 0.5666]",False
ZJ000186,ZJ000186.jpg,0.594,animal,0.594,"[0.3208, 0.7055, 0.1458, 0.1759]",False
ZJ000187,ZJ000187.jpg,0.199,animal,0.199,"[0.5484, 0.6583, 0.06718, 0.07777]",False
ZJ000188,ZJ000188.jpg,0.981,animal,0.981,"[0.002083, 0.3666, 0.4041, 0.6018]",True
ZJ000189,ZJ000189.jpg,0.716,animal,0.716,"[0, 0.005555, 1.0, 0.9888]",True
ZJ000190,ZJ000190.jpg,0.677,animal,0.677,"[0.7468, 0.8138, 0.1656, 0.1416]",True
ZJ000191,ZJ000191.jpg,0.0101,animal,0.0101,"[0.6937, 0.7907, 0.1302, 0.137]",False
ZJ000192,ZJ000192.jpg,0.935,animal,0.935,"[0.03749, 0.4555, 0.1989, 0.4611]",True
ZJ000193,ZJ000193.jpg,0.0107,animal,0.0107,"[0.1916, 0.009259, 0.06041, 0.1259]",False
ZJ000194,ZJ000194.jpg,0.0359,animal,0.0359,"[0.1109, 0.5611, 0.08749, 0.1388]",False
ZJ000195,ZJ000195.jpg,0.0201,animal,0.0201,"[0, 0.6555, 0.04531, 0.1749]",False
ZJ000196,ZJ000196.jpg,0.0793,animal,0.0793,"[0.4218, 0.725, 0.1156, 0.08055]",False
ZJ000197,ZJ000197.jpg,0.913,animal,0.913,"[0.2328, 0.6361, 0.1656, 0.1805]",True
ZJ000198,ZJ000198.jpg,0.439,animal,0.439,"[0.3296, 0.6833, 0.275, 0.2694]",False
ZJ000199,ZJ000199.jpg,0.396,animal,0.396,"[0, 0.625, 0.6593, 0.375]",False
ZJ000200,ZJ000200.jpg,0.295,animal,0.295,"[0.6593, 0.7527, 0.07031, 0.1972]",False
ZJ000201,ZJ000201.jpg,0.159,animal,0.159,"[0.9078, 0.6416, 0.09218, 0.3138]",False
ZJ000202,ZJ000202.jpg,0.931,animal,0.931,"[0.2906, 0.6129, 0.4729, 0.3037]",True
ZJ000203,ZJ000203.jpg,0.493,animal,0.493,"[0.3312, 0.6629, 0.2583, 0.1277]",False
ZJ000204,ZJ000204.jpg,0.00676,animal,0.00676,"[0.6541, 0.7703, 0.03437, 0.09444]",False
ZJ000205,ZJ000205.jpg,0.458,animal,0.458,"[0.4703, 0.5861, 0.2031, 0.09166]",False
ZJ000206,ZJ000206.jpg,0.853,animal,0.853,"[0.6906, 0.5185, 0.1791, 0.1037]",True
ZJ000207,ZJ000207.jpg,0.637,animal,0.637,"[0.8781, 0.6685, 0.1218, 0.1722]",True
ZJ000208,ZJ000208.jpg,,,,,False
ZJ000209,ZJ000209.jpg,,,,,False
ZJ000210,ZJ000210.jpg,0.895,animal,0.895,"[0.8729, 0.8518, 0.08124, 0.1166]",True
ZJ000211,ZJ000211.jpg,0.5,animal,0.5,"[0.4437, 0.8222, 0.1187, 0.1305]",False
ZJ000212,ZJ000212.jpg,0.469,animal,0.469,"[0.1697, 0.8629, 0.1562, 0.08518]",False
ZJ000213,ZJ000213.jpg,0.371,animal,0.371,"[0, 0, 1.0, 0.9972]",False
ZJ000214,ZJ000214.jpg,0.849,animal,0.849,"[0.5604, 0, 0.1322, 0.9666]",True
ZJ000215,ZJ000215.jpg,0.594,animal,0.594,"[0.001562, 0.4611, 0.725, 0.5361]",False
ZJ000216,ZJ000216.jpg,0.351,animal,0.351,"[0.6052, 0.4203, 0.08958, 0.1185]",False
ZJ000217,ZJ000217.jpg,0.091,animal,0.091,"[0, 0.7166, 0.1406, 0.1305]",False
ZJ000218,ZJ000218.jpg,0.0355,animal,0.0355,"[0.6322, 0.5777, 0.1833, 0.1666]",False
ZJ000219,ZJ000219.jpg,0.0147,animal,0.0147,"[0.1124, 0.4416, 0.1, 0.1666]",False
ZJ000220,ZJ000220.jpg,0.87,animal,0.87,"[0.1114, 0.4407, 0.1395, 0.3572]",True
ZJ000221,ZJ000221.jpg,0.568,animal,0.568,"[0.3562, 0.5083, 0.08593, 0.1194]",False
ZJ000222,ZJ000222.jpg,0.917,animal,0.917,"[0.5739, 0.4777, 0.301, 0.4166]",True
ZJ000223,ZJ000223.jpg,0.074,animal,0.074,"[0.1859, 0.7388, 0.5578, 0.2166]",False
ZJ000224,ZJ000224.jpg,0.314,animal,0.314,"[0.3328, 0.6749, 0.1156, 0.075]",False
ZJ000225,ZJ000225.jpg,0.405,animal,0.405,"[0.1895, 0.3666, 0.1406, 0.1296]",False
ZJ000226,ZJ000226.jpg,0.528,animal,0.528,"[0.1578, 0.7194, 0.08281, 0.1361]",False
ZJ000227,ZJ000227.jpg,0.7,animal,0.7,"[0.2624, 0.5027, 0.3234, 0.3527]",True
ZJ000228,ZJ000228.jpg,0.642,animal,0.642,"[0.3531, 0.6138, 0.09218, 0.2888]",True
ZJ000229,ZJ000229.jpg,0.588,animal,0.588,"[0, 0.001851, 0.4677, 0.9666]",False
ZJ000230,ZJ000230.jpg,0.954,animal,0.954,"[0.1499, 0.4833, 0.3416, 0.3481]",True
ZJ000231,ZJ000231.jpg,0.883,animal,0.883,"[0.875, 0.5305, 0.125, 0.4694]",True
ZJ000232,ZJ000232.jpg,0.00955,animal,0.00955,"[0.4027, 0.3541, 0.5472, 0.3583]",False
ZJ000233,ZJ000233.jpg,0.184,animal,0.184,"[0, 0.4138, 0.05624, 0.3888]",False
ZJ000234,ZJ000234.jpg,0.698,animal,0.698,"[0.7958, 0.6444, 0.1927, 0.2759]",True
ZJ000235,ZJ000235.jpg,0.242,animal,0.242,"[0, 0.6611, 0.239, 0.3361]",False
ZJ000236,ZJ000236.jpg,0.0558,animal,0.0558,"[0.1734, 0.02222, 0.8249, 0.975]",False
ZJ000237,ZJ000237.jpg,0.484,animal,0.484,"[0, 0.6027, 0.2437, 0.3972]",False
ZJ000238,ZJ000238.jpg,0.821,animal,0.821,"[0.6078, 0.8305, 0.2968, 0.125]",True
ZJ000239,ZJ000239.jpg,0.736,animal,0.736,"[0.2541, 0.07407, 0.1687, 0.4259]",True
ZJ000240,ZJ000240.jpg,0.836,animal,0.836,"[0.1333, 0.5925, 0.276, 0.1907]",True
ZJ000241,ZJ000241.jpg,,,,,False
ZJ000242,ZJ000242.jpg,0.556,animal,0.556,"[0.5822, 0.7518, 0.2218, 0.1981]",False
ZJ000243,ZJ000243.jpg,0.344,animal,0.344,"[0.7395, 0.6703, 0.07916, 0.07037]",False
ZJ000244,ZJ000244.jpg,0.00591,animal,0.00591,"[0.7854, 0.4524, 0.2145, 0.5475]",False
ZJ000245,ZJ000245.jpg,0.866,animal,0.866,"[0.6625, 0.5333, 0.3375, 0.2444]",True
ZJ000246,ZJ000246.jpg,0.551,animal,0.551,"[0.2218, 0.7611, 0.07187, 0.1472]",False
ZJ000247,ZJ000247.jpg,0.0362,animal,0.0362,"[0.5156, 0, 0.1395, 0.9666]",False
ZJ000248,ZJ000248.jpg,0.188,animal,0.188,"[0.1805, 0.3291, 0.1361, 0.2083]",False
ZJ000249,ZJ000249.jpg,0.106,animal,0.106,"[0.4437, 0.6416, 0.075, 0.1666]",False
ZJ000250,ZJ000250.jpg,,,,,False
ZJ000251,ZJ000251.jpg,0.788,animal,0.788,"[0.3812, 0.6601, 0.275, 0.3029]",True
ZJ000252,ZJ000252.jpg,,,,,False
ZJ000253,ZJ000253.jpg,0.446,animal,0.446,"[0.2546, 0.4749, 0.1812, 0.5222]",False
ZJ000254,ZJ000254.jpg,0.981,animal,0.981,"[0, 0.424, 0.4572, 0.5444]",True
ZJ000255,ZJ000255.jpg,0.409,person,0.409,"[0.9218, 0.6722, 0.07812, 0.2638]",False
ZJ000256,ZJ000256.jpg,0.778,animal,0.778,"[0.5812, 0.8277, 0.2489, 0.1407]",True
ZJ000257,ZJ000257.jpg,0.279,animal,0.279,"[0, 0.6361, 0.2046, 0.3]",False
ZJ000258,ZJ000258.jpg,0.596,animal,0.596,"[0.3968, 0.5518, 0.1031, 0.2074]",False
